row ID,row m/z,row retention time,row ion mobility,row ion mobility unit,row CCS,correlation group ID,annotation network number,best ion,auto MS2 verify,identified by n=,partners,neutral M mass,2024_NEG_Y-6MSAS_2_Run109.mzML Peak area,2024_NEG_Y-EV_1_CTRL_Run89.mzML Peak area,2024_NEG_Y-6MSAS_3_Run136.mzML Peak area,2024_NEG_Y-6MSAS_1_Run92.mzML Peak area,2024_NEG_Y-EV_3_CTRL_Run139.mzML Peak area,2024_NEG_Y-EV_2_CTRL_Run118.mzML Peak area,
85,85.02942498271604,0.55588204,,,,8,,,,,,,876081.1,2167861.2,1802064.6,910380.5,559091.25,2023626.4,
33,85.02943461961333,0.3870624,,,,4,,,,,,,868991.75,1332960.4,693596.4,1058957.1,952515.9,1059721.9,
173,85.06588279464835,3.1325552,,,,,,,,,,,309159.8,200423.47,119433.805,235849.1,428468.75,234140.6,
36,87.00862232766592,0.38885704,,,,4,,,,,,,890890.1,881645.94,731407.25,797082.6,1186008.9,900738.25,
78,87.00862364533968,0.53742963,,,,8,,,,,,,1924712.1,973430.9,1119340.2,399523.2,1682582.2,1781740.6,
513,89.0244114838269,9.824344,,,,,,,,,,,6257172.5,5976888.0,1214233.1,6323171.5,1253072.0,1281513.9,
514,89.0244121241757,9.97482,,,,,,,,,,,1248302.2,1256348.4,6444865.0,1277879.0,6124960.5,6460971.5,
503,89.0244155968063,8.978178,,,,,,,,,,,812377.2,623249.25,1679256.5,1573729.4,1799351.2,1553249.5,
7,92.92803027494641,0.34242156,,,,,,,,,,,153626.36,129087.43,139852.25,122114.41,295466.34,133467.64,
563,96.96012722473859,10.623276,,,,,,,,,,,8527320.0,8486505.0,2617984.5,2665016.5,8677302.0,3694926.5,
4,96.96014893890697,0.3233672,,,,,,,,,,,674658.06,567085.0,711561.94,800526.6,646148.06,668463.2,
5,96.96963215856698,0.33116218,,,,,,,,,,,1960938.0,1613287.5,1742565.4,1782312.8,1521483.4,1939389.8,
486,100.93365108411444,8.43385,,,,,,,,,,,2409849.0,371033.4,1167850.5,497050.84,874049.56,313244.03,
500,100.93365019048242,8.828873,,,,,,,,,,,407864.38,557022.94,163653.44,2205582.2,2992499.5,471762.0,
489,100.93365102071016,8.536611,,,,,,,,,,,750179.75,259101.08,691489.1,894719.2,452373.84,313244.03,
459,100.93365262205356,8.068488,,,,,,,,,,,1395100.6,1167684.6,616011.94,672985.2,485824.72,477862.25,
462,100.93365292145018,8.127578,,,,,,,,,,,755849.25,3975952.5,493750.62,672985.2,479332.1,668905.4,
467,100.93365318432306,8.235182,,,,,,,,,,,652999.8,1087178.4,1289707.1,178063.17,450149.7,1006923.8,
449,100.93365335127864,7.9354224,,,,55,,,,,,,2783069.5,381411.9,572426.0,796000.94,652849.2,1072795.1,
515,100.93365519862847,10.217704,,,,,,,,,,,1409060.2,1448070.4,774972.8,1318946.8,587081.5,333885.62,
469,100.93365364099816,8.2724905,,,,,,,,,,,1293235.4,1417400.0,2190280.5,559365.5,666276.5,2047086.9,
433,100.93365555810102,7.8372636,,,,,,,,,,,1096808.2,1271478.2,623309.56,331393.66,453735.34,1150849.9,
537,100.9336619506311,10.274625,,,,,,,,,,,520939.06,1128499.0,324224.12,293448.0,345047.38,223536.67,
9,102.95686003959378,0.3443419,,,,7,,,,,,,383448.97,377074.2,401628.56,334636.62,573377.75,365040.6,
79,111.00883306630966,0.5330436,,,,8,,,,,,,2.346586E7,1.2126495E7,1.4101159E7,2.103379E7,2.5884776E7,2.195469E7,
37,111.00884029654485,0.38885704,,,,4,,,,,,,8766145.0,7592627.5,7486262.0,8126729.5,1.2294356E7,9212510.0,
34,112.0121884830264,0.38347295,,,,,,,,,,,458214.25,407722.72,404237.12,504328.3,630465.06,382384.4,
11,112.98567460174543,0.34991607,,,,7,,,,,,,1186843.5,1240679.5,1307795.5,1097879.5,1389233.0,1186654.0,
534,112.98567416474127,10.281979,,,,,,,,,,,3123076.8,3818942.2,3493902.0,1596745.4,1897721.2,3771856.0,
176,113.06084602358264,3.132514,,,,,,,,,,,64109.266,37502.145,18512.49,50391.48,91464.484,41764.9,
153,113.06085849971322,2.7997115,,,,,,,,,,,540174.1,313835.66,252043.97,332832.25,720924.5,351036.4,
484,115.92074958619101,8.459941,,,,,,,,,,,2447365.0,2218319.2,3151339.5,4712235.5,2199949.0,3052021.8,
501,115.92075122056501,8.820987,,,,,,,,,,,963072.0,1088393.5,361493.3,4203057.0,1962684.5,4090532.0,
475,115.92075291400813,8.280881,,,,,,,,,,,1957759.8,1783379.1,2020106.1,1778126.5,2740897.8,1.0993412E7,
465,115.92075330177052,8.14255,,,,,,,,,,,1616000.6,1.5589761E7,1532483.8,1936593.2,2434756.0,2897094.8,
440,115.92075516992027,7.841667,,,,24,,,,,,,5826866.5,2061448.5,1963210.8,2252986.2,2443409.5,1938771.2,
454,115.92075667027508,7.942095,,,,,,,,,,,1552532.8,2352779.5,1715432.5,1567741.5,2104493.5,1588231.2,
518,115.92075884429642,10.216643,,,,6,,,,,,,3284613.2,4106015.0,3895427.5,2286409.8,3673958.8,3961647.5,
439,116.92856669037768,7.8416505,,,,,,,,,,,7468764.0,1.0945287E7,5680407.5,5249412.5,5038330.0,6527461.0,
538,116.92856792907195,10.358627,,,,,,,,,,,1555229.0,1693864.1,1558310.2,1080496.1,1367544.5,1620666.6,
100,117.01933526581462,0.65531754,,,,,,,,,,,3864125.0,2589090.2,2412723.0,1764358.0,4921846.0,2500304.0,
129,117.05576263157168,2.1235473,,,,21,,,,,,,3407239.8,2737682.0,2283121.8,2393960.5,5628634.0,3140698.2,
562,128.03534487897105,10.61897,,,,,,,,,,,2699484.2,2201193.0,2549571.5,3011837.2,3250581.8,2937577.5,
89,128.03535537458419,0.6134326,,,,,,,,,,,2685463.5,2988915.0,2805957.5,2816664.2,4522505.0,2294682.8,
51,128.03536317652416,0.40529928,,,,,,,,,,,844590.06,628474.2,751368.44,791683.3,1769616.9,870518.0,
83,129.0193656107609,0.5538532,,,,8,,,,,,,5747683.5,6093642.5,3331238.8,5995194.0,6017221.0,6498432.0,
43,129.01936945693748,0.3889003,,,,4,,,,,,,2668439.0,4233665.0,2090562.4,3410222.5,2602403.0,3499771.0,
137,129.0557455055101,2.4366045,,,,46,,,,,,,2181105.8,821257.75,1320216.5,871958.3,7938902.5,1109955.6,
161,131.07140382619795,2.9253862,,,,,,,,,,,5368838.5,4909828.0,4158496.8,4328811.0,8910363.0,5368762.5,
109,132.03024253841815,0.7548461,,,,,,,,,,,31722.566,75474.72,563857.2,662355.3,520636.4,91541.4,
90,132.03024500381431,0.64730984,,,,,,,,,,,415633.7,224569.45,117827.05,55994.14,14365.707,568549.7,
14,132.03025210688966,0.35750437,,,,27,,,,,,,552917.25,597256.44,511342.47,609328.06,415305.94,688869.75,
268,132.86785581371913,5.9249177,,,,,,,,,,,194229.02,178595.38,170913.69,176359.17,638650.56,105897.945,
481,132.86786121893874,8.462333,,,,,,,,,,,166771.84,75139.33,83204.94,60980.52,156024.1,142024.44,
516,132.8678622746519,10.211158,,,,,,,,,,,101548.42,221110.73,179526.66,107948.0,162863.33,166446.5,
552,132.86786930769514,10.480819,,,,,,,,,,,1265372.8,846102.0,238070.4,1401772.1,1317733.0,402300.03,
101,133.01424862684277,0.65450406,,,,,,,,,,,728716.6,1097659.5,299276.78,892680.9,648936.1,1064056.0,
48,133.01426682247381,0.39894617,,,,36,,,,,,,1848647.5,1909259.9,1640048.8,1919826.2,2591198.0,1856834.1,
483,134.8946621858712,8.409129,,,,,,,,,,,1501671.9,2330416.0,1319977.1,511192.84,583123.6,1374920.5,
417,134.89466652603525,7.4443626,,,,,,,,,,,759994.0,902922.1,727556.6,553037.0,651587.7,1122907.0,
472,134.89466692657564,8.280961,,,,,,,,,,,1264684.1,3362314.5,1693521.4,350950.53,991368.3,1365443.9,
423,134.89466714089903,7.536663,,,,,,,,,,,1136533.4,233570.0,557198.06,487457.03,428367.53,785435.4,
438,134.89466766839575,7.839539,,,,24,,,,,,,1934315.8,5039524.5,1190242.9,1283455.0,1363928.6,1353587.1,
455,134.89467109958517,7.9435062,,,,55,,,,,,,1248183.1,1670277.4,835866.44,1019702.7,1082014.0,632510.6,
156,136.04042668828808,2.8282788,,,,,,,,,,,4964485.0,5554352.5,5322649.0,5473441.0,9360481.0,6091058.5,
186,144.04549318431535,3.3953025,,,,,,,,,,,204341.67,206891.5,222434.52,231738.27,350988.0,207629.9,
441,144.92346358249753,7.8546643,,,,24,,,,,,,1739628.5,2226930.2,1081631.2,1274129.4,1402086.4,1481279.8,
517,144.9234643812191,10.213312,,,,6,,,,,,,1967032.5,2468152.5,2221179.5,1431143.4,1817820.1,2186462.0,
463,144.92346512684958,8.130066,,,,,,,,,,,1919215.6,9539415.0,1772936.1,1639078.8,1555028.6,1734851.9,
482,144.92346591673595,8.417401,,,,,,,,,,,1935543.8,2331105.0,1828040.8,1531483.4,1171282.0,1792110.6,
473,144.92346619219543,8.269629,,,,,,,,,,,1941417.4,2788523.2,1856170.8,1449433.1,2872249.8,2883870.5,
456,144.9234664353585,7.95894,,,,,,,,,,,5471284.0,2729978.5,3287675.5,2858684.2,1021217.5,1176081.8,
118,145.05066071169176,0.97683716,,,,,,,,,,,678121.0,692384.0,630771.6,690830.25,2386216.0,662588.44,
96,146.0459023027595,0.6491992,,,,,,,,,,,1189802.4,1536500.5,2118153.2,1965320.1,204566.47,1461411.4,
15,146.04590550727013,0.35937214,,,,27,,,,,,,1433517.0,1593750.1,1670402.0,947580.44,1837515.4,907113.5,
505,146.96593990809762,9.005852,,,,,,,,,,,930241.0,1252229.8,877091.9,614125.44,529836.2,693242.25,
499,146.9659446944153,8.776107,,,,,,,,,,,6939497.5,8647813.0,6865961.0,3090224.0,2955383.0,6455144.5,
204,151.04006598450368,3.8252506,,,,,,,,,,,1256545.0,0,1368017.9,2447550.8,0,0,
8,154.0622073698557,0.34335813,,,,7,,,,,,,594333.56,589537.75,585914.25,589459.56,417909.9,645132.25,
125,156.06662900666038,2.0598152,,,,,,,,,,,1728253.4,1941036.9,664302.8,1524809.4,2666349.5,2403060.0,
