"","filter","Yeast_HE_D5-Ctrl_a_pos_20190515_Run37.mzML","Yeast_HE_D5-Ctrl_b_pos_20190515_Run40.mzML","Yeast_HE_D5-Ctrl_c_pos_20190515_Run43.mzML","POS_D5-227-C2-a_Run247.mzML","POS_D5-227-C2-b_Run250.mzML","POS_D5-227-C2-c_Run253.mzML"
"33/217.1048mz/2.25min",1040646.55,873157.44,1119584.6,874888.25,983007.3,1311962.6,1098285.8
"34/140.0683mz/2.43min",87997.1,43240.918,86922.38,86683.18,89071.82,159090.55,131412.2
"35/316.2117mz/2.52min",172034.53,378905,172567.9,192132.47,102334.48,158303.8,171501.16
"36/316.2117mz/2.67min",283302.695,483951.94,316461.5,108783.01,141770.12,250143.89,369898.9
"37/89.0598mz/2.74min",710814.38,1227202.5,453200.8,361792.6,485499.66,936129.1,1215461.8
"38/272.1856mz/2.75min",301325.11,457010.9,316054.78,286595.44,196863.94,274579.1,347602.8
"39/217.1072mz/2.8min",318367.13,302399.5,251867.11,562677.25,317652.88,319081.38,338471.84
"40/257.0996mz/2.8min",893248.925,635531,551323.1,1194898,895416.25,891081.6,1174118.8
"42/138.0551mz/2.83min",947333.45,729429,699165.94,635383.44,1165237.9,1641100.8,1883367.2
"43/120.0445mz/2.83min",3278517.25,2561646,2504766,2225040,3995388.5,5728800,6447383.5
"44/171.0993mz/2.87min",1660487.475,498830.28,498949.75,267178.84,2822025.2,2845295.8,2993351.2
"45/183.0919mz/2.88min",207965.61,117735.86,237163.77,77984.47,178767.45,504158.34,580789
"48/345.1519mz/3.13min",272362.75,252543.84,184725.34,539637.94,243927.11,292181.66,375490.2
"49/194.1154mz/3.19min",6589542,5550690,5608868.5,5752086.5,7628396.5,8018167.5,7426997.5
"50/212.1259mz/3.19min",675659.45,545879.25,531660.56,551343.1,799975.8,813570.56,801151.3
"51/172.1334mz/3.19min",1148693.5,1050209.2,1000862.06,1013033.6,1247177.8,1272770.2,1251381
"52/217.1072mz/3.35min",106549.035,87067.195,85421.49,84089.23,126030.875,739650.75,315445.03
"53/239.0891mz/3.35min",1066780.35,585025.5,621064.56,785703.9,1347856.8,6021011.5,2952654.2
"54/219.0571mz/3.52min",528411.09,472468.16,704063.7,571939.8,484882.38,687480.06,429401.8
"55/233.0727mz/3.55min",113072.007,111962.734,61915.23,174515.22,114181.28,80228.555,140237.67
"56/255.0546mz/3.56min",125286.9325,103437.08,40652.473,154486.44,146377.81,104196.055,182810.06
"57/201.0597mz/3.66min",259686.575,183206.77,150574.69,383144.03,260586.67,258786.48,321398.4
"58/217.1072mz/3.65min",166879.975,123977.27,96024.46,165238.33,170832.7,168521.62,197337.81
"59/385.1467mz/3.65min",448707.44,311265.3,259329.77,648033.3,458378.72,439036.16,556801
"60/345.1543mz/3.66min",77712.4,50080.805,46512.25,134678.56,79689.42,75735.38,100940.016
"61/140.0683mz/3.75min",106714.13,70989.58,104845.33,104798.42,131750.28,108582.93,123242.47
"62/322.0967mz/3.77min",83418.22,60915.984,55392.29,106577.98,85453.2,81383.24,97133.13
"63/302.1304mz/3.8min",890196.95,955356.5,634986.25,1293005.6,825037.4,703788.06,967601.3
"64/324.1123mz/3.8min",2470443.75,2224620.2,1698226.6,3029360.2,2671614.5,2269273,3240629
"65/468.2438mz/3.84min",227313.68,326846.06,266037.78,521222.72,133929,140882.86,188589.58
"66/217.1072mz/3.84min",91591.84,77007.41,56348.49,150358.2,87495.03,95688.65,123861.03
"67/433.2065mz/3.85min",162350.555,140299.77,108370.22,256059.61,158055.72,166645.39,212355.39
"68/451.2172mz/3.85min",638251.05,556432.06,477445.4,979511.1,630604.7,645897.4,861565.6
"69/473.1993mz/3.85min",2280267.8,2087157.5,1775188.2,3451053.8,2233641.8,2326893.8,3010812.2
