Filename,GF_MC_RCG_Ctrl_1_pos_20210511_Run67.mzML,GF_MC_RCG_Ctrl_2_pos_20210511_Run146.mzML,GF_MC_RCG_Ctrl_3_pos_20210511_Run158.mzML,GF_CC_MC_RCG_1_pos_20210511_Run75.mzML,GF_CC_MC_RCG_2_pos_20210511_Run111.mzML,GF_CC_MC_RCG_3_pos_20210511_Run176.mzML
Class,CTRL,CTRL,CTRL,EXP,EXP,EXP
6409/267.1338mz/4.02min,269458.47,184237.81,373225.47,533767.44,403021.66,447187.03
6413/678.3975mz/4.04min,334444.7,139461.48,69428.016,607436.8,506153.7,211570.31
6417/645.3216mz/4.03min,221004.03,220749.34,293806.6,235219.08,376028.25,348421.4
6418/623.3398mz/4.03min,1911528.1,1343827.4,2560284.5,3886309.0,3317516.5,3420395.2
6419/473.2757mz/4.03min,1533547.4,1229695.8,1464926.2,1046218.2,1019916.7,864144.7
6420/365.1243mz/4.03min,9810.569,0.0,7926.797,997280.5,994793.56,812594.75
6422/669.3603mz/4.03min,243659.22,141970.34,276539.16,337093.6,295517.6,218226.2
6424/376.1865mz/4.03min,320952.7,250352.42,323810.3,335066.12,329323.72,317442.12
6425/406.1947mz/4.03min,733587.6,760191.3,826245.5,703584.0,691897.8,688785.25
6426/747.3711mz/4.03min,3361351.5,2614354.0,3556627.5,4582119.0,3948718.0,4366296.5
6427/384.2127mz/4.04min,5982511.5,4341477.0,6529141.5,6605500.5,6149991.0,5762653.0
6429/385.2162mz/4.04min,1059820.6,773064.94,1176831.2,1187747.6,1122045.1,996934.9
6431/557.2969mz/4.04min,136834.8,85728.16,203014.62,268787.5,253955.33,219433.78
6432/430.2002mz/4.04min,1067998.8,713798.7,1578744.2,2886671.5,2279087.0,2335697.5
6435/370.2699mz/4.04min,440043.62,297971.66,441647.53,257790.73,186936.36,240834.06
6437/339.7024mz/4.05min,1711862.2,1053147.1,1254787.9,1679231.6,1694564.0,1163749.8
6445/660.8815mz/4.07min,500762.62,134452.67,587398.06,788639.4,640451.4,824283.4
6448/331.1862mz/4.07min,299860.44,203856.75,407960.16,526317.6,468909.94,493820.9
6451/398.2284mz/4.08min,1958503.2,1336319.5,2157784.2,2471302.0,2304093.2,2149957.8
6452/501.2707mz/4.08min,290619.0,192500.39,289063.62,371025.25,383521.38,338437.75
6456/550.3599mz/4.08min,795786.06,537333.75,880746.44,943748.4,914189.44,860184.0
6458/510.2926mz/4.09min,356024.06,246045.89,373065.16,411201.16,385291.12,381873.03
6462/216.1595mz/4.09min,389349.84,236694.62,481984.2,673609.8,451324.66,462343.25
6467/526.2946mz/4.1min,362383.34,304778.78,461254.2,303285.3,269522.6,304309.5
6468/177.0547mz/4.1min,435520.75,256904.0,514979.3,335613.84,310496.28,398835.25
6470/410.2283mz/4.1min,381868.6,267376.6,429115.62,573254.8,584110.44,531246.3
6472/510.3281mz/4.1min,365970.12,288624.97,345342.56,416301.66,385008.1,269785.56
6473/352.1693mz/4.11min,459876.78,300001.25,399544.2,165334.81,170272.83,203315.81
6474/458.2521mz/4.12min,473779.66,368122.12,494869.0,99377.93,96256.5,148266.81
6476/120.0444mz/4.11min,357692.56,269951.03,418970.12,413079.44,355981.38,411503.75
6477/428.2541mz/4.11min,270584.38,231584.33,219296.58,215924.23,230363.78,157013.75
6478/360.1915mz/4.11min,1206261.0,747232.94,1050884.1,1268578.2,1132089.5,1300132.2
6481/372.2491mz/4.11min,418152.97,331601.7,588456.44,582297.0,435637.2,476293.12
6484/453.7575mz/4.12min,1375800.4,1174786.0,1046402.2,824018.3,977661.44,575189.3
6486/230.1135mz/4.14min,1089507.4,780521.94,1196683.6,1256093.0,1213113.0,1108830.1
6489/683.3607mz/4.15min,1059081.1,713157.9,1445147.0,2053986.4,1635436.0,1888174.9
6492/234.0219mz/4.15min,3478278.5,3039854.5,4904287.0,6115515.0,5237212.5,6273317.0
6494/727.4022mz/4.15min,417222.62,306861.47,468046.22,409059.25,281135.4,372577.53
6495/364.2044mz/4.15min,1116649.4,917673.7,1177533.6,776268.3,682844.75,711326.06
6499/271.0712mz/4.16min,236439.78,169994.77,396226.72,533589.9,432895.6,620212.75
6500/515.2866mz/4.17min,383322.16,234650.89,365378.9,576986.8,518527.47,409066.9
6501/349.1906mz/4.17min,504346.0,324733.47,552386.1,436178.38,355216.9,379166.56
6505/239.1025mz/4.17min,244152.55,101479.266,471079.7,615080.44,376875.38,660577.56
6508/377.2261mz/4.19min,401081.94,297279.4,363584.22,394049.72,347209.38,344200.38
6509/376.2228mz/4.19min,1949052.5,1513861.9,2007758.4,2036592.9,1694364.9,1751074.8
6510/237.1596mz/4.19min,250527.34,192637.48,232779.16,285530.66,287510.25,268230.12
6513/245.1131mz/4.2min,905216.25,1309852.6,1724356.9,1646338.6,951609.56,1687423.4
6514/987.0621mz/4.2min,609580.94,457479.78,594659.7,852918.5,653617.7,822227.6
6518/353.7283mz/4.2min,1231227.2,1107905.9,1118882.0,865723.06,902304.4,772891.7
6519/717.3868mz/4.2min,485755.53,436355.75,477986.03,707428.44,527220.6,695134.5
6520/706.4491mz/4.21min,322296.62,247993.1,288987.6,282627.53,239198.36,248090.47
6521/658.377mz/4.21min,843873.94,681256.5,860923.8,1080317.0,900368.06,1148682.8
6523/658.0428mz/4.21min,756865.5,580624.1,790357.25,943040.6,811973.25,975280.06
6525/915.497mz/4.21min,307537.9,103987.22,155518.95,170352.22,105681.28,182281.33
6526/335.1387mz/4.21min,816261.6,604538.5,1011359.0,1208292.5,970840.1,896077.9
6527/458.2519mz/4.21min,560697.3,415674.03,628134.06,223065.2,172911.52,247000.48
6530/342.2384mz/4.22min,426133.97,365352.28,424520.12,467303.5,464360.06,387657.7
6533/273.0326mz/4.23min,213696.31,159852.94,340962.75,479546.97,347209.62,387153.6
6537/454.3102mz/4.23min,1405263.8,1217316.2,1260936.6,944616.75,898866.06,848390.2
6539/453.3068mz/4.23min,5836330.0,5082613.0,5249282.5,3985349.8,3797744.0,3589050.0
6543/356.2541mz/4.24min,11995174.0,9871211.0,12399261.0,14199043.0,13325305.0,12922396.0
6544/395.175mz/4.24min,311477.6,304597.1,238719.97,58879.25,72333.26,45035.92
6546/479.3225mz/4.24min,374403.8,270529.06,299783.7,369344.4,348511.22,244778.0
6547/384.2126mz/4.2min,333357.34,221381.89,332356.1,168740.02,381398.62,105546.49
6548/511.2548mz/4.25min,567311.75,537985.25,373428.72,406893.84,547610.7,361370.1
6552/192.1382mz/4.25min,679005.8,442118.06,696027.5,780379.4,707154.8,733204.06
6556/301.1544mz/4.25min,658078.1,405024.03,922730.06,1314281.0,984216.0,1029421.9
6557/379.2519mz/4.29min,614881.4,277160.38,301144.44,693091.6,447116.0,211187.92
6562/270.1123mz/4.27min,424791.7,388766.28,521742.6,410978.66,382649.7,396422.88
6563/614.3292mz/4.27min,942563.44,865402.9,1307624.6,1024286.7,997251.06,1475687.2
6564/473.2755mz/4.28min,1795983.1,1485609.5,1642265.8,1053564.4,1084305.1,975845.25
6565/376.2228mz/4.28min,1321022.0,1075958.9,1358847.1,1147807.5,1232091.9,1121614.2
6568/323.1387mz/4.28min,389764.25,313429.34,514994.06,458369.34,418873.75,415232.16
6574/250.1436mz/4.28min,3189698.5,2516204.8,3900152.2,3633312.2,3071433.2,3056949.2
