row ID,row m/z,row retention time,row ion mobility,row ion mobility unit,row CCS,correlation group ID,annotation network number,best ion,auto MS2 verify,identified by n=,partners,neutral M mass,2024_NEG_Y-p10_3_Run145.mzML Peak area,2024_NEG_Y-EV_1_CTRL_Run89.mzML Peak area,2024_NEG_Y-p10_1_Run104.mzML Peak area,2024_NEG_Y-p10_2_Run130.mzML Peak area,2024_NEG_Y-EV_2_CTRL_Run118.mzML Peak area,2024_NEG_Y-EV_3_CTRL_Run139.mzML Peak area,
92,85.02941983706036,0.56118476,,,,6,,,,,,,1921597.5,2167861.2,1724212.6,1649282.6,2023626.4,559091.25,
30,85.02943282605732,0.38347247,,,,7,1,[M+H]+,,2,40;30,84.02157,985953.7,1332960.4,1053931.2,1013800.3,1059721.9,952515.9,
189,85.06588448195343,3.131444,,,,,,,,,,,177905.7,200423.47,87265.414,31060.836,234140.6,428468.75,
44,87.00861752675415,0.3870627,,,,7,,,,,,,850915.9,881645.94,947295.8,905933.6,900738.25,1186008.9,
83,87.00862378095117,0.5363675,,,,6,,,,,,,1245426.4,973430.9,1327557.9,2157183.8,1781740.6,1682582.2,
515,89.0244148115274,9.97196,,,,,,,,,,,1162043.1,1256348.4,6076271.5,6427031.0,6460971.5,6124960.5,
514,89.02441485840357,9.816628,,,,,,,,,,,6256896.5,5976888.0,1201088.8,1215316.5,1273390.0,1273370.5,
502,89.02441793140105,8.966887,,,,,,,,,,,849722.5,662958.06,1651220.1,768740.44,1553249.5,1799351.2,
8,92.9280328843091,0.340361,,,,,,,,,,,166357.16,129087.43,189167.16,198642.16,133467.64,295466.34,
562,96.96012798230511,10.621151,,,,,,,,,,,8171078.5,8486505.0,9076936.0,9064067.0,3694926.5,8677302.0,
4,96.9601507904229,0.3215035,,,,,,,,,,,725957.56,567085.0,625472.5,653235.25,668463.2,646148.06,
5,96.96963460573573,0.32939413,,,,,,,,,,,1842814.9,1613287.5,2029781.6,2393411.5,1939389.8,1521483.4,
499,100.93364967527974,8.856369,,,,,,,,,,,707062.7,721615.2,429570.06,577303.75,662212.06,2992499.5,
487,100.93365258800884,8.531516,,,,,,,,,,,184782.64,259101.08,470506.16,658159.7,313244.03,452373.84,
486,100.93365329096878,8.445028,,,,,,,,,,,563141.5,371033.4,1282970.0,732487.1,313244.03,874049.56,
436,100.9336538826508,7.8362637,,,,,,,,,,,361888.0,1271478.2,144373.16,131052.84,1150849.9,453735.34,
459,100.93365404479096,8.107725,,,,,,,,,,,340119.88,1167684.6,530389.5,249109.33,315357.94,485824.72,
450,100.93365451899763,7.9468956,,,,,,,,,,,547734.94,639161.1,558539.44,520577.38,1072795.1,652849.2,
460,100.93365457492972,8.148555,,,,,,,,,,,250972.97,3975952.5,481282.66,403343.5,668905.4,479332.1,
465,100.93365572637195,8.259052,,,,,,,,,,,3872332.8,1087178.4,1247894.8,686998.7,2047086.9,666276.5,
517,100.93365854508475,10.216779,,,,,,,,,,,1132331.9,1448070.4,345595.97,1337314.8,333885.62,587081.5,
9,102.9568624720403,0.3422135,,,,9,,,,,,,383894.28,377074.2,401936.1,368244.75,365040.6,573377.75,
84,111.00883618494203,0.5320125,,,,6,,,,,,,1.882084E7,1.2126495E7,1.4005841E7,2.160077E7,2.195469E7,2.5884776E7,
33,111.00884095990442,0.3852683,,,,7,,,,,,,8818568.0,7592627.5,9802145.0,9940215.0,9212510.0,1.2294356E7,
39,112.01219288340434,0.38167617,,,,,,,,,,,170896.97,407722.72,305902.88,571237.8,382384.4,630465.06,
536,112.98567534591926,10.280476,,,,,,,,,,,3592693.5,3818942.2,3501965.0,2508784.8,3771856.0,1897721.2,
506,112.98567608389321,9.033779,,,,,,,,,,,262587.38,418583.78,391562.16,428124.16,472812.66,390934.75,
11,112.98567881848913,0.3477596,,,,9,0,[M-H+2Na]+,,2,11;6,68.01436,1193201.6,1240679.5,1216046.1,1147425.0,1186654.0,1389233.0,
190,113.06084174792254,3.1317492,,,,,,,,,,,30893.566,37502.145,5064.709,0,41764.9,91464.484,
167,113.0608562349994,2.800025,,,,,,,,,,,279342.22,313835.66,172501.39,134219.78,351036.4,720924.5,
500,115.92075200821085,8.841958,,,,,,,,,,,4516271.5,1795836.0,1631028.0,4526246.0,4090532.0,2208193.0,
483,115.92075309825337,8.441688,,,,,,,,,,,2400885.2,2218319.2,4207728.5,2288652.5,3183338.8,2199949.0,
474,115.9207551684712,8.283475,,,,47,,,,,,,5139023.5,1783379.1,4362651.5,5556432.5,1.0993412E7,2740897.8,
463,115.92075523623829,8.138341,,,,,,,,,,,837968.3,1.5589761E7,1355811.6,758807.8,2897094.8,2434756.0,
457,115.92075689907153,7.950558,,,,53,,,,,,,3073781.0,2352779.5,2479707.8,1443195.0,1588231.2,2104493.5,
437,115.92075703069702,7.835865,,,,48,,,,,,,883610.0,2061448.5,1440256.1,1731579.0,1938771.2,2443409.5,
518,115.92076304263357,10.208383,,,,10,,,,,,,3917191.5,4106015.0,3720742.2,2913729.0,3961647.5,3673958.8,
438,116.92856919747989,7.8369503,,,,33,,,,,,,5480293.5,1.0945287E7,5442454.0,5118043.0,6527461.0,5038330.0,
539,116.92857070038617,10.352859,,,,,,,,,,,1644137.8,1693864.1,1512783.0,1292745.8,1620666.6,1367544.5,
107,117.01935948615316,0.65341526,,,,,,,,,,,8354541.0,2589090.2,6317294.0,1.971213E7,2500304.0,4921846.0,
138,117.05576453576595,2.1228213,,,,17,,,,,,,2048397.6,2737682.0,2507972.2,3574398.0,3140698.2,5628634.0,
18,118.05101071360566,0.35718688,,,,,,,,,,,1699861.9,121723.06,189954.22,4793821.0,136772.75,119116.25,
561,128.03534681917566,10.619209,,,,,,,,,,,2326272.0,2201193.0,2685941.0,4147770.5,2937577.5,3250581.8,
94,128.03535644137682,0.6127891,,,,,,,,,,,4440249.5,2988915.0,4291377.5,3348440.0,2294682.8,4522505.0,
56,128.0353634391332,0.40326202,,,,,,,,,,,1247873.1,628474.2,1194350.5,2460486.5,870518.0,1769616.9,
88,129.01936663253153,0.54987794,,,,6,,,,,,,7308497.0,6093642.5,4359092.5,3808082.5,6498432.0,6017221.0,
38,129.01937112261533,0.3853115,,,,7,,,,,,,3224763.0,4233665.0,3201615.8,3197637.0,3499771.0,2602403.0,
149,129.05574920296763,2.4350016,,,,30,,,,,,,2223998.5,821257.75,1757962.0,1368336.4,1109955.6,7938902.5,
175,131.0714046567277,2.9238026,,,,,,,,,,,3505393.2,4909828.0,4855076.5,5321027.0,5368762.5,8910363.0,
14,132.03025615571974,0.35432518,,,,31,,,,,,,420556.7,597256.44,450119.97,229393.33,688869.75,415305.94,
96,132.03026980185288,0.6383443,,,,,,,,,,,365145.3,224569.45,32135.766,6205.326,568549.7,14365.707,
279,132.86785779328508,5.9219728,,,,,,,,,,,174595.78,178595.38,170422.39,165619.94,105897.945,638650.56,
481,132.8678607165323,8.474378,,,,,,,,,,,130430.35,75139.33,126119.44,29773.676,142024.44,156024.1,
554,132.8678736963998,10.481963,,,,,,,,,,,282446.8,781053.2,363083.3,961680.9,286843.28,1317733.0,
105,133.01426046682772,0.64286566,,,,,,,,,,,1936842.6,1097659.5,1682141.0,1040542.3,1064056.0,676022.2,
54,133.01427136275979,0.39892066,,,,45,,,,,,,2266816.2,1909259.9,2148914.5,4013708.5,1856834.1,2591198.0,
97,133.05063668948137,0.6293151,,,,,,,,,,,315207.38,41337.09,144487.47,2071323.4,134934.61,189295.56,
516,134.89465061226912,10.2001505,,,,,,,,,,,160938.05,199631.44,117721.71,128295.42,168424.02,116290.28,
423,134.89466536110945,7.532889,,,,,,,,,,,376365.12,233570.0,542290.8,588020.3,785435.4,428367.53,
478,134.89466556352633,8.404068,,,,,,,,,,,1471526.1,2330416.0,1758867.8,1596693.2,1374920.5,583123.6,
415,134.8946662101732,7.438865,,,,,,,,,,,692702.06,922817.9,662779.1,642868.4,1122907.0,651587.7,
439,134.89466644345842,7.837151,,,,33,,,,,,,1257594.0,5039524.5,993206.56,1127299.9,1353587.1,1363928.6,
452,134.89466842710377,7.9403267,,,,,,,,,,,588218.3,1670277.4,756573.8,680203.9,632510.6,1082014.0,
471,134.89466854745234,8.279984,,,,47,,,,,,,1278134.6,3362314.5,1130604.4,1690923.8,1365443.9,991368.3,
170,136.04042690672384,2.828264,,,,,,,,,,,3652392.8,5554352.5,3943217.8,963261.25,6091058.5,9360481.0,
200,144.04549203992613,3.394147,,,,,,,,,,,171581.28,206891.5,204465.77,309918.56,207629.9,350988.0,
444,144.9234645397656,7.8512816,,,,48,,,,,,,811942.8,2206755.0,917722.94,848964.9,1481279.8,1402086.4,
519,144.9234658942249,10.210847,,,,10,,,,,,,2209145.8,2468152.5,2032208.4,1735828.4,2186462.0,1817820.1,
