sample_name,filepath
2024_POS_CC_1_Run20.mzML,2024_POS_CC_1_Run20.mzML
2024_POS_CC_2_Run47.mzML,2024_POS_CC_2_Run47.mzML
2024_POS_CC_3_Run61.mzML,2024_POS_CC_3_Run61.mzML
2024_POS_CC-Media_1_Run17.mzML,2024_POS_CC-Media_1_Run17.mzML
2024_POS_CC-Media_2_Run53.mzML,2024_POS_CC-Media_2_Run53.mzML
2024_POS_CC-Media_3_Run73.mzML,2024_POS_CC-Media_3_Run73.mzML
GF_CC_MC_RCG_1_pos_20210511_Run75.mzML,GF_CC_MC_RCG_1_pos_20210511_Run75.mzML
GF_CC_MC_RCG_2_pos_20210511_Run111.mzML,GF_CC_MC_RCG_2_pos_20210511_Run111.mzML
GF_CC_MC_RCG_3_pos_20210511_Run176.mzML,GF_CC_MC_RCG_3_pos_20210511_Run176.mzML
GF_MC_RCG_Ctrl_1_pos_20210511_Run67.mzML,GF_MC_RCG_Ctrl_1_pos_20210511_Run67.mzML
GF_MC_RCG_Ctrl_2_pos_20210511_Run146.mzML,GF_MC_RCG_Ctrl_2_pos_20210511_Run146.mzML
GF_MC_RCG_Ctrl_3_pos_20210511_Run158.mzML,GF_MC_RCG_Ctrl_3_pos_20210511_Run158.mzML
