"","Filename","GF_MC_RCG_Ctrl_1_pos_20210511_Run67.mzML","GF_MC_RCG_Ctrl_2_pos_20210511_Run146.mzML","GF_MC_RCG_Ctrl_3_pos_20210511_Run158.mzML","GF_S4_MC_RCG_1_pos_20210511_Run70.mzML","GF_S4_MC_RCG_2_pos_20210511_Run90.mzML","GF_S4_MC_RCG_3_pos_20210511_Run170.mzML"
"1","Class","CTRL","CTRL","CTRL","EXP","EXP","EXP"
"78","7133/614.3293mz/4.27min","942563.44","865402.9","1307624.6","1126989.5","1044462.7","1537897.5"
"79","7134/473.2755mz/4.27min","1795983.1","1485609.5","1642265.8","452106.06","682241.94","552960.44"
"80","7136/376.2228mz/4.27min","1321022.0","1075958.9","1358847.1","255380.34","352651.75","282771.12"
"81","7138/323.1387mz/4.28min","389764.25","311525.75","514994.06","0.0","0.0","0.0"
"82","7140/250.1437mz/4.24min","3189698.5","2516204.8","3900152.2","89535.2","132343.11","91677.56"
"83","7142/584.3445mz/4.32min","617333.3","361921.84","190844.0","289692.28","362371.34","465734.12"
"84","7143/1051.5821mz/4.29min","426556.56","294963.75","497879.28","136052.45","67463.68","127326.98"
"85","7145/332.1642mz/4.29min","576087.4","484283.38","374306.22","109881.82","118473.53","134887.55"
"86","7148/526.2946mz/4.29min","2083325.9","1772865.0","2400079.5","571261.4","802940.1","698725.8"
"87","7149/575.8287mz/4.29min","419531.1","346835.06","482759.94","39822.17","112389.41","80295.8"
"88","7152/382.2697mz/4.3min","380325.28","306738.34","343536.03","0.0","0.0","0.0"
"89","7155/195.138mz/4.31min","398596.5","331338.8","386512.22","741198.06","636547.0","620289.0"
"90","7156/275.2004mz/4.31min","1086616.2","854541.7","1010206.25","2141491.2","1920374.5","1785509.2"
"91","7157/293.2109mz/4.31min","1069367.9","879919.9","1073412.6","2243715.2","1977216.6","1843185.0"
"92","7162/406.731mz/4.32min","559200.8","492794.25","607704.44","291058.25","429236.84","368953.38"
"93","7165/291.1952mz/4.32min","512706.94","217832.56","258091.89","1115576.8","929265.5","945466.5"
"94","7169/149.1325mz/4.32min","182785.64","155336.8","201110.77","554255.0","492110.2","474234.84"
"95","7170/351.2142mz/4.32min","382254.1","490242.84","494726.3","1155798.6","865826.8","871564.4"
"96","7171/167.1431mz/4.32min","69485.91","50181.035","67675.8","420201.3","373643.22","366917.12"
"97","7174/691.4mz/4.32min","570325.56","282479.47","607269.5","203634.36","199689.61","459888.53"
"98","7179/370.2697mz/4.34min","1613467.5","1308322.6","1685481.8","57364.75","64604.85","59000.746"
"99","7181/390.2385mz/4.35min","362824.97","291185.47","410639.88","230294.36","260876.3","251938.48"
"100","7182/370.7204mz/4.35min","732031.94","626619.2","656353.8","74707.28","230342.69","158641.14"
