"","filter","GF_MC_RCG_Ctrl_1_pos_20210511_Run67.mzML","GF_MC_RCG_Ctrl_2_pos_20210511_Run146.mzML","GF_MC_RCG_Ctrl_3_pos_20210511_Run158.mzML","GF_S4_MC_RCG_1_pos_20210511_Run70.mzML","GF_S4_MC_RCG_2_pos_20210511_Run90.mzML","GF_S4_MC_RCG_3_pos_20210511_Run170.mzML"
"6966/549.2968mz/4.01min",171294.9725,2847.689,2847.689,14238.445,388789.1,328351.5,386043.47
"6972/623.34mz/4.02min",1881453.6,1911528.1,1343827.4,2560284.5,1732534.6,2444298.5,1851379.1
"6974/385.7442mz/4.02min",362918.4225,19986.945,3834.0684,3541.609,905264.5,705849.9,787447.56
"6975/770.481mz/4.03min",322747.86,107582.62,107582.62,107582.62,597025.94,537913.1,548643.75
"6977/473.2757mz/4.03min",902028.62,1533547.4,1229695.8,1464926.2,439154.1,574361.44,438774.03
"6978/669.3604mz/4.03min",222865.56,243659.22,141970.34,276539.16,202071.9,250218.58,178291.53
"6983/365.1243mz/4.03min",296514.0645,9810.569,1585.3594,7926.797,583217.56,910276.44,628913.75
"6984/678.3974mz/4.05min",236953.09,334444.7,139461.48,69428.016,430514.62,536703.25,129221.766
"6985/209.1537mz/4.04min",181812.405,74567.56,54397.38,69311.09,417317.9,289057.25,341423.6
"6988/376.1866mz/4.04min",322381.5,320952.7,250352.42,323810.3,345428.97,325887.12,302891.72
"6989/406.1947mz/4.04min",626581.91,733587.6,760191.3,826245.5,382901.22,519576.22,469581.2
"6990/747.3711mz/4.04min",3587303.85,3361351.5,2614354,3556627.5,3969933.5,4058004.8,3617980.2
"6992/384.2127mz/4.04min",4531229,5982511.5,4341477,6529141.5,3432895.2,4720981,3856697.2
"6995/385.2163mz/4.04min",801002.425,1066848.5,778357.25,1184510.1,601523.8,823647.6,680472.2
"6996/430.2002mz/4.04min",472369.405,1067998.8,713798.7,1578744.2,230940.11,214926.92,152668.03
"6997/370.2699mz/4.04min",178782.996,440043.62,297971.66,441647.53,59594.332,59594.332,59594.332
"6999/557.297mz/4.05min",137267.22,136834.8,85728.16,203014.62,136747.31,213598.2,137699.64
"7002/467.2864mz/4.05min",304031.49,223910.86,178804.47,203237.58,395801.5,436320.25,384152.12
"7003/671.4124mz/4.03min",242675.4913,644.63652,644.63652,3223.1826,540109.44,482127.8,537656.75
"7004/339.7024mz/4.05min",1303945.25,1711862.2,1053147.1,1254787.9,1365643.2,1353102.6,809869.94
"7005/211.1693mz/4.05min",251573.785,89162.57,80880.305,71577.22,535578.94,413985,457222.97
"7009/660.8815mz/4.07min",552925.25,500762.62,134452.67,587398.06,566648.5,539202,580795.44
"7012/586.3242mz/4.07min",275863.46,78010.44,53150.96,84892.32,477199.94,482066.44,466834.6
"7015/501.2707mz/4.08min",645485.375,290619,192500.39,289063.62,1243014.5,1558422,1000351.75
"7018/398.2284mz/4.08min",1315330.05,1958503.2,1336319.5,2157784.2,854141.06,1294340.6,993640.8
"7020/510.2926mz/4.09min",243839.79,356024.06,246045.89,373065.16,204843.86,233084.77,241633.69
"7021/550.3599mz/4.09min",431580.64,795786.06,537333.75,880746.44,214507.72,325827.53,121888.04
"7022/207.1381mz/4.09min",411419.71,319680.12,306379.16,156907.97,675949.7,503159.3,533792.94
"7026/216.1595mz/4.1min",211309.32,389349.84,236694.62,481984.2,185924.02,136389.9,169984.52
"7029/526.2947mz/4.1min",218070.97,362383.34,304778.78,461254.2,81762.016,131363.16,115502.43
"7030/177.0547mz/4.11min",216207.28,435520.75,256904,514979.3,175510.56,92415.055,171594.06
"7032/352.1694mz/4.12min",180000.75,459876.78,300001.25,399544.2,60000.25,60000.25,60000.25
