"MetaboAnalyst_ID","GF_MC_RCG_Ctrl_1_pos_20210511_Run67.mzML","GF_MC_RCG_Ctrl_2_pos_20210511_Run146.mzML","GF_MC_RCG_Ctrl_3_pos_20210511_Run158.mzML","GF_S4_MC_RCG_1_pos_20210511_Run70.mzML","GF_S4_MC_RCG_2_pos_20210511_Run90.mzML","GF_S4_MC_RCG_3_pos_20210511_Run170.mzML","shared_name"
"7185/244.1906mz/4.36min",2.23441723623707,2.09836986184595,2.24532073809316,2.51466546861443,2.43484579752871,2.30362754927209,"7185"
"7187/766.9212mz/4.36min",2.42964967718609,2.26937811567644,2.42514248206093,2.66238089804797,2.6739026423368,2.60881725090382,"7187"
"7188/235.1691mz/4.36min",2.18042115094381,2.09375549457048,2.25722412208576,2.75746883977855,2.70760245074794,2.63315632605575,"7188"
"7193/284.128mz/4.38min",3.43978414550854,3.23846489027572,3.45790390464511,1.81216323524051,1.91037909580853,1.93775277836499,"7193"
"7195/364.2043mz/4.38min",2.41728722166892,2.25345586074897,2.45148034296344,2.14544028553775,2.20918031452408,2.32203451653444,"7195"
"7196/727.4022mz/4.38min",2.27412249160036,2.04746133470927,2.29114262015301,2.05276859039067,2.1397280361154,2.20931267399018,"7196"
"7201/210.1025mz/4.39min",2.39382821830956,1.87618535371328,2.21257859538203,2.93477448981495,3.06616133320177,2.95878280615966,"7201"
"7202/244.1291mz/4.39min",2.73136378194539,2.47599663195918,2.74592088205272,2.62826918149535,2.69797107931148,2.65257122638545,"7202"
"7203/651.3708mz/4.39min",2.8228650612234,2.55645132573843,2.87176593969554,2.82317770217698,2.93633347030796,2.8592021694989,"7203"
"7205/673.3527mz/4.39min",2.41712096195523,2.28749907616278,2.45853397244578,2.38524791117836,2.52155443845419,2.43415608850203,"7205"
"7206/479.3224mz/4.41min",2.94771857284031,2.7360757670232,2.88667595271585,2.82364296142542,2.81844438640978,2.93906964037787,"7206"
"7207/720.4649mz/4.41min",2.98009670148225,2.77879279160419,2.93269173745052,2.79917040801129,2.82748298096026,2.87454373898556,"7207"
"7208/360.736mz/4.41min",3.49835555114776,3.33063235065429,3.46569960009458,3.29798791437999,3.29866511928479,3.37908742870699,"7208"
"7213/509.144mz/4.42min",1.61238854171534,1.56576587640254,2.01312012105412,2.69646762990511,2.7075942656201,2.62278026295658,"7213"
