row ID,row m/z,row retention time,row ion mobility,row ion mobility unit,row CCS,correlation group ID,annotation network number,best ion,auto MS2 verify,identified by n=,partners,neutral M mass,Anid_HE_TJG15pt3_EV_alcA_CTRL_2_YT_neg_20210511_Run103.mzML Peak area,Anid_HE_TJG15pt3_EV_alcA_CTRL_3_YT_neg_20210511_Run213.mzML Peak area,NEG_TJGIp4_2_Run88.mzML Peak area,NEG_TJGIp4_3_Run183.mzML Peak area,NEG_TJGIp4_1_Run59.mzML Peak area,Anid_HE_TJG15pt3_EV_alcA_CTRL_1_YT_neg_20210511_Run47.mzML Peak area,
101,88.0402795377862,0.5247301,,,,,,,,,,,91295.27,338619.9,172700.55,835576.4,518685.94,90010.97,
130,88.04030425541039,0.7193623,,,,81,,,,,,,456383.2,989112.2,1477369.8,1992773.9,1299646.4,585715.7,
1975,89.02427186164533,10.107031,,,,,,,,,,,163013.06,149071.67,175945.69,0,0,182463.03,
100,89.02430319122186,0.51008886,,,,,,,,,,,1660261.8,830452.7,224124.25,1840028.8,1232707.5,1366710.8,
86,89.02430902306993,0.45120037,,,,178,,,,,,,1174496.8,866953.44,460953.72,1003612.8,719762.06,355789.0,
77,96.96007569812532,0.39628163,,,,13,,,,,,,2541781.2,2650324.5,5005056.5,2423286.5,2825422.5,3260733.2,
2074,96.96007503434515,11.009742,,,,,,,,,,,4050748.8,4104334.0,3804134.2,4032935.0,3807555.8,3889300.5,
32,96.96955387412828,0.3706398,,,,13,,,,,,,1625291.4,4728973.5,3755396.8,3619673.5,3126820.5,2893399.2,
79,99.00873482989401,0.42046484,,,,,,,,,,,109571.92,40211.63,109932.016,572386.9,155542.3,125312.55,
119,99.008755226321,0.64917505,,,,,,,,,,,329095.25,175951.55,186290.53,1019799.8,205209.31,437197.9,
1989,99.92573797712566,10.20861,,,,,,,,,,,1649868.4,2710582.2,3108270.2,2382979.5,2741869.5,2433098.2,
1820,99.92576357383683,8.133946,,,,,,,,,,,4715713.0,6474376.5,7018356.0,3.0580846E7,5587419.0,4688848.0,
1881,99.92576629402178,8.447771,,,,,,,,,,,2.9042012E7,3.5411612E7,3.5489484E7,5027134.5,3.1334398E7,3.24225E7,
105,102.01966277454711,0.4796172,,,,,,,,,,,1193524.8,370650.84,1165182.6,2502010.0,1228315.8,1204904.2,
59,102.01966621475135,0.3826401,,,,13,,,,,,,1873820.6,2772828.2,1726299.6,3084591.0,2314895.8,1789286.1,
72,103.00368448410948,0.38946262,,,,13,,,,,,,2939115.0,2716860.8,2979665.8,3878378.0,3024874.0,2961933.8,
120,103.04010005054546,0.7419681,,,,,,,,,,,217561.81,150474.89,36704.023,1001670.8,1219587.2,328715.12,
47,104.03532326465387,0.37434396,,,,13,,,,,,,150388.44,1636392.5,822725.06,1773618.1,240082.03,378608.88,
1979,106.04101061975466,10.154992,,,,,,,,,,,106008.625,742379.5,404018.75,133729.28,12130.422,45287.03,
1875,106.04102165155982,8.429146,,,,,,,,,,,108235.11,237947.67,59322.68,27075.082,0,0,
1974,106.04102519495946,10.016674,,,,,,,,,,,114440.38,593398.25,35798.6,12328.597,7728.158,17473.604,
1888,106.04103696751575,8.546997,,,,,,,,,,,57854.9,33491.09,550812.1,67832.11,0,0,
1954,106.0410517468729,9.464901,,,,,,,,,,,39555.54,414620.0,37815.99,30604.904,9674.727,29295.402,
1962,106.04106038058352,9.779158,,,,,,,,,,,55972.906,567960.06,19494.842,37632.95,6762.7725,5405.612,
271,107.05024732320011,2.7628765,,,,30,,,,,,,500641.3,457783.1,576741.8,568576.44,736142.1,552512.7,
98,111.01998266461906,0.43693385,,,,,,,,,,,2124405.0,1271950.8,5460254.5,4333944.5,4852221.0,4645060.5,
64,111.01998380839991,0.3849043,,,,13,,,,,,,5517305.5,1.7275846E7,7890156.5,2.8733116E7,1.014528E7,5733625.0,
230,111.02002998725905,2.5021987,,,,,,,,,,,23186.646,77343.69,316271.44,44286.574,46941.207,0,
203,111.0200312576873,2.2224648,,,,,,,,,,,42644.79,91616.734,499451.3,145537.72,253792.47,0,
167,111.02003887519473,1.1376157,,,,,,,,,,,58131.332,203613.23,144221.9,352703.62,182924.1,0,
162,111.02004649096735,1.0519038,,,,106,,,,,,,398535.03,160359.77,100559.59,110631.375,92009.02,0,
2020,112.98558348698593,10.240631,,,,,,,,,,,6945334.0,7635184.5,8090528.5,5998793.5,5828786.0,7058290.5,
2050,112.9856093273264,10.462701,,,,,,,,,,,4320333.0,5078801.0,4040794.2,3795285.5,5686472.5,4717210.0,
1994,113.92617656747393,10.209477,,,,,,,,,,,492191.2,508610.88,578878.0,466353.25,480761.0,367509.0,
1650,113.92620118688934,7.729326,,,,42,,,,,,,1775670.1,1341043.2,1536185.1,7880618.5,1833262.9,1181205.2,
1821,113.92622194500093,8.142643,,,,49,18,[M+K]+,,2,1821;1791,74.9632,861133.06,8885451.0,9335823.0,1123897.1,1259535.4,5631155.0,
1858,113.92624212179406,8.293602,,,,,,,,,,,1163229.9,1479178.6,1686159.5,1251656.9,5782143.0,1230492.8,
1589,114.93404411468441,7.6852894,,,,66,17,[M+K]+,,2,1589;1590,75.97102,2572508.8,2439002.0,1495467.1,2328360.0,1123614.0,1231952.9,
