row ID,row m/z,row retention time,row ion mobility,row ion mobility unit,row CCS,correlation group ID,annotation network number,best ion,auto MS2 verify,identified by n=,partners,neutral M mass,Anid_HE_TJG15pt3_EV_alcA_CTRL_2_YT_neg_20210511_Run103.mzML Peak area,Anid_HE_TJG15pt3_EV_alcA_CTRL_3_YT_neg_20210511_Run213.mzML Peak area,NEG_TJGIp1_3_Run180.mzML Peak area,NEG_TJGIp1_1_Run50.mzML Peak area,Anid_HE_TJG15pt3_EV_alcA_CTRL_1_YT_neg_20210511_Run47.mzML Peak area,NEG_TJGIp1_2_Run106.mzML Peak area,Unnamed: 19
96,88.04026362199335,0.538752,,,,,,,,,,,91295.27,338619.9,857664.25,72486.19,90010.97,203997.9,
116,88.04029166849384,0.71804446,,,,,,,,,,,456383.2,989112.2,993846.4,498015.1,585715.7,539442.06,
87,89.02429029637865,0.49199542,,,,,,,,,,,1660261.8,830452.7,1309102.9,1392260.1,1366710.8,495635.22,
1869,89.02429039208273,10.104989999999999,,,,,,,,,,,163013.06,149071.67,217666.1,81860.01,182463.03,135101.22,
863,96.96001056762708,5.9127746,,,,,,,,,,,126501.34,177104.88,87316.94,354689.12,283255.4,387646.7,
76,96.96005476994856,0.3952256,,,,9.0,,,,,,,2541781.2,2650324.5,2845091.0,3062168.8,3260733.2,2887424.2,
1959,96.96007281040191,11.014944999999999,,,,,,,,,,,4050748.8,4104334.0,4023127.5,3799044.2,3889300.5,3999893.2,
39,96.96953794356516,0.37621948,,,,9.0,,,,,,,1625291.4,4728973.5,2973941.2,1946706.6,2893399.2,2103070.2,
1883,99.92574700531272,10.202954,,,,44.0,,,,,,,1649868.4,2710582.2,2420310.8,2345116.5,2433098.2,2828225.5,
1701,99.92575714552237,8.131375,,,,,,,,,,,4694616.5,6447098.5,31797848.0,6219093.5,4811364.0,3628474.2,
1772,99.92576039937252,8.458552000000001,,,,,,,,,,,29042012.0,35411612.0,5893581.5,35452788.0,32422500.0,34024456.0,
