row ID,row m/z,row retention time,row ion mobility,row ion mobility unit,row CCS,correlation group ID,annotation network number,best ion,auto MS2 verify,identified by n=,partners,neutral M mass,GF_MC_RCG_Ctrl_2_pos_20210511_Run146.mzML Peak area,GF_MC_RCG_Ctrl_1_pos_20210511_Run67.mzML Peak area,GF_S4_MC_RCG_3_pos_20210511_Run170.mzML Peak area,GF_S4_MC_RCG_1_pos_20210511_Run70.mzML Peak area,GF_MC_RCG_Ctrl_3_pos_20210511_Run158.mzML Peak area,GF_S4_MC_RCG_2_pos_20210511_Run90.mzML Peak area,Unnamed: 19
9177,81.52049701476366,10.596119999999999,,,,51.0,,,,,,,20962670.0,17443514.0,20759792.0,15872286.0,22351994.0,17889068.0,
9159,82.53701520360092,10.5251,,,,268.0,,,,,,,1057941.2,748858.0,1248409.2,726630.3,1238929.0,767457.3,
608,84.04437662175131,0.64148986,,,,130.0,,,,,,,955835.6,1380322.0,25795.9,77743.78,423075.62,49733.133,
2074,84.04442305507897,1.5700563,,,,214.0,,,,,,,409427.78,63289.54,9854377.0,7233376.0,3005939.5,7506930.5,
648,84.08078064533218,0.59812075,,,,,,,,,,,862802.75,438932.44,6150843.5,13401104.0,11549085.0,2879800.0,
324,84.0807874152853,0.48453959999999996,,,,173.0,,,,,,,9808898.0,11414111.0,33594430.0,26441964.0,13086403.0,17049256.0,
9182,84.9596500397831,10.606013,,,,51.0,,,,,,,2470491.8,1751762.2,2174703.5,1880109.8,2484688.5,1732720.6,
16,84.95970122268709,0.19772422,,,,,,,,,,,2862996.0,1013314.8,710714.4,449589.2,157978.03,2483934.8,
2,84.95970477272515,0.05166936,,,,,,,,,,,319734.8,759208.6,324964.94,2341085.0,644541.6,780263.75,
879,86.06004930822445,0.7668578,,,,,,,,,,,15792183.0,29983332.0,13238035.0,18726872.0,36954776.0,19852972.0,
670,86.06005154758539,0.7037756,,,,,,,,,,,8352520.0,6633347.5,720444.3,1096340.2,7897731.5,1223918.0,
4148,86.09640943952427,2.5804292999999996,,,,,,,,,,,3016999.0,4976873.0,3465783.0,1861288.4,4219339.0,2992118.5,
715,86.09641422042965,0.66891986,,,,273.0,,,,,,,224350980.0,244827520.0,426767330.0,369979680.0,320846100.0,316217020.0,
2810,86.09642707033078,2.0415542,,,,,,,,,,,18164618.0,13045444.0,12636807.0,15573295.0,28024118.0,10650456.0,
3231,86.09643411746134,2.2282999,,,,,,,,,,,4452251.5,4574654.0,1270623.0,10953188.0,7461569.5,5206512.5,
923,87.06337552012114,0.7713098,,,,,,,,,,,161093.52,463427.56,123947.21,246702.6,1539292.4,150249.69,
2027,89.05970093072901,1.590809,,,,,,,,,,,0.0,0.0,12076.078000000001,0.0,8701131.0,1435886.6,
2274,89.05972304390322,1.7505251,,,,,,,,,,,0.0,43398.742,4443693.5,4841938.0,625854.4,6566946.5,
2155,89.05972819589155,1.696223,,,,,,,,,,,0.0,0.0,905391.7,524575.9,8038967.0,479855.88,
362,90.05494872901829,0.49635407,,,,,,,,,,,3796744.5,3100551.5,329566.03,3181935.0,7486891.0,2894676.2,
1092,90.05496516200868,0.86771846,,,,147.0,,,,,,,648142.0,572271.4,16027437.0,14336876.0,4608488.0,19022040.0,
2189,90.05499127016577,1.6462201,,,,,,,,,,,17784.945,13823.572,4105481.0,729437.3,162401.31,1543771.6,
2082,90.05499305726289,1.5662904,,,,,,,,,,,24025.827999999998,13823.572,19935776.0,1312712.8,162401.31,17140102.0,
1927,90.05499640995049,1.4333850000000001,,,,,,,,,,,31358.715,32669.805,1992373.2,7025951.0,222010.23,2673607.8,
875,90.0913423751581,0.759146,,,,,,,,,,,7791.5737,5970.2837,6923543.5,186725.88,32219.237999999998,1264566.0,
1772,90.09136201759134,1.2739576000000001,,,,,,,,,,,8716.648000000001,5113.5674,4502857.0,73288.26,36194.117,2305187.8,
2061,90.09137337840488,1.5474607,,,,,,,,,,,5379.2295,0.0,1213867.5,93758.305,56467.062000000005,15874121.0,
9170,90.5258329797745,10.587701,,,,51.0,,,,,,,42708910.0,36592052.0,41292724.0,27557614.0,43708844.0,37074184.0,
8152,91.05419940598264,6.467085400000001,,,,72.0,,,,,,,425385.75,379797.25,555289.06,441549.12,411567.62,491650.47,
1740,91.05422518484488,1.195427,,,,57.0,,,,,,,9066734.0,8114647.5,12596832.0,13248174.0,12775176.0,11030475.0,
6125,91.05425686416531,3.3595650000000004,,,,,,,,,,,493804.84,1496237.6,428796.44,223340.06,188221.53,116349.0,
1615,93.06990842732414,1.1951783999999999,,,,57.0,,,,,,,3460040.5,3954651.5,5215498.0,5452093.0,4952162.0,4855700.5,
9155,94.04502161600136,10.526864999999999,,,,268.0,,,,,,,4119539.5,3696415.8,2917396.2,3150096.2,4323375.5,3449126.2,
941,95.01610884299623,0.7993876999999999,,,,,,,,,,,1326438.8,1440855.1,1698704.5,1467375.0,1676631.9,2412576.0,
570,95.02395202657995,0.60637414,,,,135.0,31.0,[M-H2O+Na]+,,2.0,570;604,90.04511,72989.03,587784.8,577149.2,544384.8,923872.75,788781.7,
1404,95.04912641848908,1.0732684,,,,,,,,,,,616517.4,643074.56,2041922.9,1459834.0,341839.47,338407.16,
1487,95.04913103512621,1.1476415,,,,,,,,,,,1193823.5,496495.22,1469846.1,1833174.4,1653482.0,1547174.0,
1346,95.0491367554662,1.0182091,,,,,,,,,,,133864.1,217073.33,662244.44,985923.3,1471438.6,2157142.0,
1667,95.04914235180287,1.2366238999999999,,,,,,,,,,,1911230.0,1295568.6,1912985.2,1511249.0,2058893.1,1052554.4,
1970,95.04915668701716,1.4661115,,,,,,,,,,,185707.14,50789.402,293854.84,458822.34,705762.7,166828.81,
223,96.04435410754644,0.45820022,,,,173.0,,,,,,,1579724.5,2854376.2,2324596.8,2385971.5,2645343.5,2413432.0,
2393,96.04438063386758,1.868934,,,,,,,,,,,11829.105,52527.12,1447073.9,1179245.1,62103.203,761723.56,
2152,96.0443926994742,1.5987361999999998,,,,185.0,,,,,,,42620.655999999995,20459.311999999998,1149780.6,433572.2,39400.07,424878.7,
9174,97.99128539391178,10.592678999999999,,,,51.0,,,,,,,7537006.5,7228523.5,7817125.0,7145612.0,8379140.5,6128932.0,
1904,98.06005303413569,1.4090493999999998,,,,289.0,,,,,,,49921.387,158644.52,2035360.1,2330306.2,140045.06,2204341.8,
9205,98.5120032759,10.90912,,,,,,,,,,,835544.6,5570139.5,754875.0,649121.8,615372.56,989851.0,
416,99.09163703153305,0.51302546,,,,208.0,,,,,,,1124324.5,1860298.6,2471159.2,2218811.8,3538903.2,2987150.5,
9154,99.51215811980741,10.510822000000001,,,,128.0,,,,,,,2579817.2,2092925.8,2337391.5,1938738.2,2639366.0,2190062.5,
9178,99.53107475063408,10.596293,,,,51.0,,,,,,,2489901.8,2578284.5,3061641.2,3026108.8,2262237.8,2631050.8,
1715,100.0756849924,1.3044633999999997,,,,,,,,,,,27291268.0,24127496.0,27701392.0,19165524.0,18100514.0,18916876.0,
1971,100.07568961403506,1.480615,,,,191.0,48.0,[M+H]+,,2.0,1971;1973,99.06838,88412670.0,142123740.0,67063668.0,114297770.0,269879700.0,101701224.0,
2900,100.0757024902544,2.149705,,,,,,,,,,,1352385.0,1881292.1,261403.3,153862.47,2674476.2,166272.62,
8766,101.07093010401094,8.560628,,,,,,,,,,,35902336.0,8800432.0,29268650.0,41802070.0,35938770.0,51864412.0,
9172,102.0337914744307,10.589408,,,,51.0,,,,,,,70341240.0,67297540.0,68049310.0,62907850.0,74144210.0,64118384.0,
1528,102.0463513516162,1.1602088,,,,57.0,42.0,[M+H]+,,2.0,1589;1528,101.03907,178973.92,283233.12,2422937.0,2496397.8,2154374.0,2139890.0,
2777,102.09135954934094,2.1194992000000004,,,,153.0,,,,,,,4767843.5,7725475.5,7528895.5,8393127.0,13860233.0,3087319.5,
9171,102.53536683702292,10.588541000000001,,,,51.0,,,,,,,6121507.5,5855995.5,5877571.5,5486518.0,6445375.5,5536882.0,
2028,103.05420014043007,1.4707431999999998,,,,,,,,,,,815342.4,1278091.5,1338298.8,2945539.8,4290757.0,499990.8,
1592,103.05420787244293,1.197009,,,,57.0,44.0,[M+H]+,,2.0,1581;1592,102.04695,74410640.0,84001144.0,121382240.0,129096530.0,110983220.0,109951416.0,
5318,103.05422361690256,3.0118668,,,,257.0,,,,,,,709250.9,1239948.9,1624850.9,4554090.0,285821.56,3553201.0,
2321,103.05423318864906,1.7874061,,,,,,,,,,,164475.11,191436.97,711190.56,4567033.5,2964091.8,1595546.8,
284,103.1229232340592,0.46961329999999996,,,,173.0,,,,,,,61499.246,137952.72,1159998.0,817455.25,1395036.8,1466868.5,
9173,104.03014096298523,10.590266999999999,,,,51.0,,,,,,,1755339.9,1680522.6,1688478.0,1476613.1,1881848.1,1623059.2,
2120,104.07056012177827,1.5919294,,,,,,,,,,,12078.873,10698.37,7824076.0,1302345.0,116234.94,9740389.0,
1120,104.10693147964918,0.86985844,,,,,,,,,,,1022374.75,844004.44,3592812.0,2977528.8,1623623.6,2213939.2,
13,104.10693491708336,0.11653454,,,,,,,,,,,471571.75,1077569.5,476048.25,169604.56,441419.53,89836.42,
1347,104.1069383576282,0.9601066999999999,,,,,,,,,,,268464.66,929987.56,202974.67,109624.65,793729.56,533269.7,
84,104.1069527728576,0.384058,,,,173.0,,,,,,,83258590.0,89703810.0,75936180.0,74467690.0,90038960.0,76699650.0,
7635,105.06981785011627,5.078894,,,,50.0,,,,,,,150776.8,241500.11,168865.56,313277.78,293270.38,256989.47,
2137,105.06986545129507,1.5974852,,,,,,,,,,,441100.16,4030003.5,1607783.4,100413.81,253899.56,807407.6,
6841,105.06992874601309,3.8631856,,,,278.0,,,,,,,721976.1,1046977.6,1542011.8,1505520.0,1190571.9,1679339.8,
4007,107.04906609993324,2.5302942,,,,38.0,,,,,,,4418055.0,2773116.8,2997291.8,6681171.0,6189675.5,5002365.0,
2093,107.04911622434335,1.5799952,,,,,,,,,,,315821.78,486149.38,12999885.0,3431731.2,1793301.9,4733350.5,
1936,107.04911767971794,1.4076997,,,,,,,,,,,1095251.8,799122.8,10321081.0,15833137.0,780252.75,9784222.0,
1725,107.04911973875863,1.1946458,,,,57.0,,,,,,,10756685.0,9793773.0,12321950.0,13005339.0,15365340.0,11109591.0,
2175,107.04913150359056,1.6397557,,,,,,,,,,,215026.56,331693.3,18484486.0,25331264.0,1589156.2,13748327.0,
226,108.04431039526787,0.4582679,,,,173.0,,,,,,,969310.1,2037221.0,3207585.2,2745330.0,2336614.8,3408638.2,
7291,109.10116457034279,4.519508,,,,236.0,,,,,,,402268.47,504702.8,734482.7,847281.25,540407.94,762821.06,
7500,109.10117546656508,4.851564,,,,197.0,,,,,,,363140.2,408156.72,817319.75,965661.6,422754.22,816622.3,
9145,110.0199499537241,10.43781,,,,,,,,,,,4692990.0,1610653.4,2139850.0,6174287.0,2216503.2,6244172.0,
382,110.05998731281716,0.5009148,,,,173.0,,,,,,,1253434.4,3057869.8,2302147.5,2696218.2,2446546.5,2284627.2,
2660,110.07122301623369,2.077544,,,,48.0,,,,,,,2555935.8,4729838.0,34495.645,39354.426,5393474.0,36261.21,
9151,111.0201197980603,10.505243,,,,128.0,,,,,,,18906584.0,17183288.0,16178113.0,16109016.0,18769420.0,16673042.0,
9167,111.03899407823006,10.579267,,,,51.0,,,,,,,4745972.5,3966643.8,2685017.2,5169749.5,4077490.0,4336945.5,
1089,111.05525173943704,0.84302765,,,,288.0,,,,,,,1880739.2,1335045.1,2594360.2,1950334.4,3839634.0,1189143.2,
9147,111.52173412001328,10.499763,,,,128.0,,,,,,,1613226.1,1400951.2,884184.7,1306029.0,1545317.4,1387228.2,
9152,112.01778091734477,10.505243,,,,128.0,,,,,,,7333812.0,6679142.0,6348807.5,6314496.5,7281614.0,6461377.5,
54,112.03685364954636,0.35407767,,,,255.0,,,,,,,1434801.1,2106772.5,4594068.0,4941515.5,3472976.2,1124788.4,
3460,112.08691658450368,2.3155754,,,,38.0,,,,,,,993939.6,1432346.5,122488.42,184880.19,2025726.5,430988.9,
