sample_name,filepath
GF_S4_MC_RCG_1_pos_20210511_Run70.mzML,GF_S4_MC_RCG_1_pos_20210511_Run70.mzML
GF_S4_MC_RCG_2_pos_20210511_Run90.mzML,GF_S4_MC_RCG_2_pos_20210511_Run90.mzML
GF_S4_MC_RCG_3_pos_20210511_Run170.mzML,GF_S4_MC_RCG_3_pos_20210511_Run170.mzML
GF_CC_MC_RCG_1_pos_20210511_Run75.mzML,GF_CC_MC_RCG_1_pos_20210511_Run75.mzML
GF_CC_MC_RCG_2_pos_20210511_Run111.mzML,GF_CC_MC_RCG_2_pos_20210511_Run111.mzML
GF_CC_MC_RCG_3_pos_20210511_Run176.mzML,GF_CC_MC_RCG_3_pos_20210511_Run176.mzML
GF_PF_MC_RCG_1_pos_20210511_Run78.mzML,GF_PF_MC_RCG_1_pos_20210511_Run78.mzML
GF_PF_MC_RCG_2_pos_20210511_Run96.mzML,GF_PF_MC_RCG_2_pos_20210511_Run96.mzML
GF_PF_MC_RCG_3_pos_20210511_Run197.mzML,GF_PF_MC_RCG_3_pos_20210511_Run197.mzML
GF_MC_RCG_Ctrl_1_pos_20210511_Run67.mzML,GF_MC_RCG_Ctrl_1_pos_20210511_Run67.mzML
GF_MC_RCG_Ctrl_2_pos_20210511_Run146.mzML,GF_MC_RCG_Ctrl_2_pos_20210511_Run146.mzML
GF_MC_RCG_Ctrl_3_pos_20210511_Run158.mzML,GF_MC_RCG_Ctrl_3_pos_20210511_Run158.mzML
