#SampleID	BarcodeSequence	LinkerPrimerSequence	filename	ATTRIBUTE_GNPSDefaultGroup
GF_S4_MC_RCG_1_pos_20210511_Run70.mzML	GATACA	GATACA	GF_S4_MC_RCG_1_pos_20210511_Run70.mzML	G1
GF_S4_MC_RCG_2_pos_20210511_Run90.mzML	GATACA	GATACA	GF_S4_MC_RCG_2_pos_20210511_Run90.mzML	G1
GF_S4_MC_RCG_3_pos_20210511_Run170.mzML	GATACA	GATACA	GF_S4_MC_RCG_3_pos_20210511_Run170.mzML	G1
GF_CC_MC_RCG_1_pos_20210511_Run75.mzML	GATACA	GATACA	GF_CC_MC_RCG_1_pos_20210511_Run75.mzML	G2
GF_CC_MC_RCG_2_pos_20210511_Run111.mzML	GATACA	GATACA	GF_CC_MC_RCG_2_pos_20210511_Run111.mzML	G2
GF_CC_MC_RCG_3_pos_20210511_Run176.mzML	GATACA	GATACA	GF_CC_MC_RCG_3_pos_20210511_Run176.mzML	G2
GF_PF_MC_RCG_1_pos_20210511_Run78.mzML	GATACA	GATACA	GF_PF_MC_RCG_1_pos_20210511_Run78.mzML	G3
GF_PF_MC_RCG_2_pos_20210511_Run96.mzML	GATACA	GATACA	GF_PF_MC_RCG_2_pos_20210511_Run96.mzML	G3
GF_PF_MC_RCG_3_pos_20210511_Run197.mzML	GATACA	GATACA	GF_PF_MC_RCG_3_pos_20210511_Run197.mzML	G3
GF_MC_RCG_Ctrl_1_pos_20210511_Run67.mzML	GATACA	GATACA	GF_MC_RCG_Ctrl_1_pos_20210511_Run67.mzML	G4
GF_MC_RCG_Ctrl_2_pos_20210511_Run146.mzML	GATACA	GATACA	GF_MC_RCG_Ctrl_2_pos_20210511_Run146.mzML	G4
GF_MC_RCG_Ctrl_3_pos_20210511_Run158.mzML	GATACA	GATACA	GF_MC_RCG_Ctrl_3_pos_20210511_Run158.mzML	G4
