sample_name	filename	ATTRIBUTE_GROUP
GF_MC_RCG_Ctrl_1_pos_20210511_Run67.mzML	GF_MC_RCG_Ctrl_1_pos_20210511_Run67.mzML	CTRL
GF_MC_RCG_Ctrl_2_pos_20210511_Run146.mzML	GF_MC_RCG_Ctrl_2_pos_20210511_Run146.mzML	CTRL
GF_MC_RCG_Ctrl_3_pos_20210511_Run158.mzML	GF_MC_RCG_Ctrl_3_pos_20210511_Run158.mzML	CTRL
GF_PF_MC_RCG_1_pos_20210511_Run78.mzML	GF_PF_MC_RCG_1_pos_20210511_Run78.mzML	EXP
GF_PF_MC_RCG_2_pos_20210511_Run96.mzML	GF_PF_MC_RCG_2_pos_20210511_Run96.mzML	EXP
GF_PF_MC_RCG_3_pos_20210511_Run197.mzML	GF_PF_MC_RCG_3_pos_20210511_Run197.mzML	EXP
