Filename,NEG_D5-Ctrl-a-P-EAMeOH_Run29.mzML,NEG_D5-Ctrl-b-P-EAMeOH_Run32.mzML,NEG_D5-Ctrl-c-P-EAMeOH_Run35.mzML,NEG_D5-211-C1-a_Run92.mzML,NEG_D5-211-C1-b_Run95.mzML,NEG_D5-211-C1-c_Run98.mzML
Class,CTRL,CTRL,CTRL,EXP,EXP,EXP
93/156.0666mz/2.06min,1733748.8,1872108.8,2523212.8,3403819.0,3601795.0,3878752.5
94/117.0557mz/2.15min,277106.16,316710.8,639036.44,89924.06,107821.266,186857.55
97/203.0827mz/2.24min,467016.78,534114.5,1071897.4,171680.4,123611.22,221742.2
98/204.0302mz/2.3min,351917.34,382279.3,458644.4,398141.88,386315.44,501943.06
99/175.0611mz/2.43min,401786.5,37551.754,75118.86,35663.77,58738.617,65078.36
100/175.0611mz/2.51min,962792.25,849976.5,1400721.2,924635.1,1250075.1,1337791.5
101/158.9785mz/2.6min,3703.0503,3427.2007,7671.427,92544.336,176115.94,73961.875
102/229.0982mz/2.61min,4051459.2,3797914.2,5254959.0,2972378.5,4054873.2,3480117.2
103/297.0856mz/2.61min,900791.6,844271.56,1131284.8,648792.56,878506.3,753092.0
104/230.1015mz/2.7min,465087.56,162285.1,378078.5,187122.86,286131.1,227622.8
105/229.0982mz/2.73min,1895743.1,1845616.4,2537166.5,1455051.0,1967734.5,1666984.5
106/297.0856mz/2.73min,446782.88,432685.75,596428.06,336525.2,450848.66,375772.38
107/158.9785mz/2.78min,7764.289,3762.651,48623.93,160425.06,23125.457,11381.333
108/233.103mz/2.8min,497641.03,417133.75,884046.94,520377.2,619133.3,781849.06
109/131.0713mz/2.9min,745701.75,852093.2,1970840.2,594301.0,712948.2,1024760.25
111/130.0873mz/3.03min,64281.227,59318.617,141443.4,54072.254,78605.77,75707.27
112/172.098mz/3.04min,743560.4,719284.5,1366140.4,620840.2,821937.2,792869.9
113/165.0557mz/3.09min,388517.22,388555.75,796677.8,565591.1,651337.0,880257.8
114/217.0423mz/3.52min,1700377.5,1914248.5,2132795.0,2240172.0,2142962.0,2404549.0
115/361.1505mz/3.65min,392541.62,332334.75,822678.4,343887.12,429469.53,504321.94
116/449.2029mz/3.85min,833547.25,684124.8,1348344.9,795957.94,1005776.6,1150047.0
117/295.9539mz/4.68min,405551.97,425607.03,410886.97,421123.38,432674.1,456068.0
118/229.9644mz/4.69min,1723078.8,1784216.2,1754863.9,1906174.5,1949121.1,2012318.9
119/297.9518mz/4.69min,387331.97,409474.0,395731.28,414783.88,414136.75,445858.12
120/227.9666mz/4.69min,1769908.8,1838150.9,1803878.8,1967331.0,2006223.2,2066591.1
121/426.9677mz/4.98min,11118694.0,12548922.0,14067742.0,6683212.0,9520291.0,8090922.5
122/494.9552mz/4.98min,602897.9,696935.25,771930.44,344958.03,489215.72,416572.88
124/450.2625mz/5.67min,47963.566,51488.184,67519.91,185924.98,159589.17,250291.48
125/538.3146mz/5.71min,0.0,0.0,0.0,106778.11,111436.836,155325.31
127/450.2626mz/5.77min,55889.31,63590.492,69777.09,1306567.1,1033959.8,1698695.0
128/538.3147mz/5.81min,0.0,0.0,0.0,1763374.1,1558220.1,2403101.0
129/478.2932mz/5.81min,0.0,0.0,0.0,41519.3,34661.97,63036.5
130/277.1842mz/5.92min,145080.17,1045204.75,196851.0,345312.28,76955.79,683355.6
131/271.2278mz/6.0min,28029.068,30301.129,42365.805,39121.234,39633.43,95500.016
132/265.1479mz/6.08min,1104937.0,1241907.1,1456497.9,1071204.6,1406889.5,839902.6
133/217.0423mz/6.1min,481186.7,845823.0,555241.9,629246.6,927051.9,1829977.4
134/277.1842mz/6.13min,46292.902,513862.94,55775.875,50634.156,0.0,340976.25
135/452.2783mz/6.16min,59045.008,63510.99,82779.28,941438.06,676845.75,1285284.6
136/540.3306mz/6.2min,0.0,0.0,0.0,852894.0,680977.75,1231602.5
137/271.2279mz/6.2min,131797.38,126720.76,189121.61,163704.05,155739.84,283888.38
138/478.2938mz/6.23min,254580.6,265953.34,297923.38,419991.88,339044.62,580686.5
139/566.3461mz/6.3min,0.0,0.0,0.0,191177.75,126956.86,199157.3
140/277.1842mz/6.27min,63073.477,484446.06,86923.15,93701.45,0.0,306605.56
141/496.2682mz/6.33min,103032.74,114774.79,98859.836,527526.5,366524.8,653621.25
142/478.2938mz/6.28min,48826.35,50700.543,261750.27,229155.92,239684.84,333355.6
143/566.3463mz/6.37min,0.0,0.0,0.0,415101.53,352386.88,604274.56
144/291.2mz/6.38min,90224.68,989414.9,154414.14,301671.9,66543.836,756895.6
145/571.289mz/6.48min,0.0,0.0,0.0,4101294.8,2571779.8,4343915.0
146/572.2925mz/6.53min,170834.39,196787.66,142160.52,1118521.2,823981.75,1345098.2
147/271.2278mz/6.52min,38811.418,37512.03,66051.22,17551.77,12227.43,48929.15
148/571.2892mz/6.52min,904295.8,1052554.6,793612.4,3823692.5,2983134.2,5046174.0
149/654.1323mz/6.56min,394565.16,391032.94,351954.7,291149.53,278771.34,282143.53
150/291.2mz/6.52min,3345.4172,357237.1,33608.402,47402.973,0.0,447891.75
151/311.1687mz/6.61min,1258032.4,1150748.5,1135375.1,1085670.6,1176398.0,907274.1
152/299.259mz/6.61min,98935.83,104150.34,42225.164,118016.73,85482.48,219981.55
153/718.1449mz/6.66min,335500.06,323824.22,287828.6,233905.67,227011.0,228413.95
154/311.1687mz/6.67min,1547892.8,1420470.9,1531263.8,791382.4,815645.3,718009.4
155/291.2mz/6.65min,0.0,383065.0,35170.7,31557.83,0.0,206083.23
157/782.1575mz/6.76min,222726.42,220702.92,197190.48,179036.19,163231.73,154947.66
158/311.1687mz/6.73min,1025905.8,1002933.3,1119045.8,460093.56,701093.7,681563.6
159/654.1324mz/6.78min,948187.9,916515.94,868030.6,634668.7,620227.75,432284.94
160/568.3617mz/6.79min,0.0,0.0,0.0,316937.6,236708.12,449057.28
161/299.259mz/6.83min,391360.9,444463.7,381722.44,417891.38,415812.1,559157.56
162/846.1698mz/6.83min,131716.23,139503.3,131231.05,104308.84,52678.277,95523.12
163/718.1449mz/6.86min,1043433.44,1007725.9,925504.5,744749.8,713131.25,704655.2
164/291.2mz/6.85min,6930.496,378309.38,46061.45,22377.734,0.0,186212.92
165/782.1575mz/6.93min,874427.94,833843.1,763492.9,609135.56,597971.94,596676.3
166/271.2278mz/6.94min,89789.65,89301.0,35324.2,186669.78,218268.78,183046.05
167/654.1323mz/6.96min,255446.12,237351.8,211918.73,160294.66,147521.16,163004.19
168/846.1698mz/7.0min,690194.4,636983.75,586957.94,471239.53,436650.22,441917.84
169/718.1449mz/7.03min,488503.66,463638.22,446542.03,308183.7,317905.6,311877.2
170/782.1574mz/7.09min,569648.3,540491.56,522495.7,362124.03,424851.94,162809.64
171/846.1698mz/7.14min,511073.56,476029.22,459274.84,328767.72,364007.06,358792.38
172/716.5237mz/7.18min,0.0,0.0,0.0,4589200.5,896706.7,916881.6
173/271.2278mz/7.15min,1431407.9,1610510.8,975112.25,1880347.5,2244911.2,2161689.8
174/293.179mz/7.18min,0.0,0.0,0.0,600241.1,808293.7,408433.72
175/325.1842mz/7.22min,2131096.5,1216268.1,1230636.0,1529730.9,1674169.4,1392575.6
176/327.2903mz/7.25min,49892.492,97359.43,36921.676,69561.42,84212.336,143336.55
177/293.1792mz/7.27min,735747.4,943518.5,1074625.2,26073.3,3462.9658,292776.2
178/782.1574mz/7.3min,47919.246,43359.98,34889.473,12915.676,11015.267,4060.8032
179/325.1842mz/7.32min,1082338.0,2035603.8,2225115.8,1169074.5,1299542.8,1350329.5
181/421.2264mz/7.39min,349987.56,203174.16,188593.77,120287.69,323349.22,487130.34
182/129.9757mz/7.38min,1524657.2,1220047.8,1547980.1,1096064.5,1128755.0,1105908.0
184/321.2044mz/7.37min,236019.45,258651.98,349076.25,188484.11,53502.45,117173.266
187/194.9057mz/7.37min,306840.97,342409.84,383743.3,11009.238,75926.07,51557.36
188/114.9341mz/7.37min,775412.94,878201.0,1005206.0,643299.8,673426.56,869267.7
189/116.9285mz/7.37min,15537813.0,17655614.0,19481938.0,12335856.0,12964754.0,16782170.0
191/316.9476mz/7.37min,795290.06,825371.25,863041.1,303668.28,432355.7,541934.5
192/384.9351mz/7.37min,403357.38,406755.16,427882.4,43146.344,129133.75,238589.97
193/372.1162mz/7.37min,451424.2,483819.8,522969.47,382768.6,279789.84,662253.56
194/338.1948mz/7.38min,473545.06,378760.56,535679.75,454253.38,245606.47,392211.7
195/117.9286mz/7.37min,1816391.6,2054288.6,2226538.5,1431055.6,1490986.9,1921418.4
196/248.9603mz/7.37min,957737.4,953050.5,1023884.3,453311.5,583169.0,706937.6
197/353.1425mz/7.37min,24609580.0,26378220.0,28063858.0,7762320.5,7740486.0,14120478.0
198/253.2172mz/7.37min,976446.44,1171405.6,1498809.5,300569.03,170231.05,378480.88
199/351.148mz/7.37min,1239322.5,1324088.0,1407829.5,374224.97,365765.53,681077.75
200/590.3644mz/7.37min,385792.44,410310.06,462320.3,311950.03,167239.03,363575.94
201/299.2225mz/7.37min,285794.7,305866.94,431549.38,79558.1,26168.203,123329.43
204/421.1298mz/7.37min,575269.3,618204.0,687943.56,59318.69,71036.71,177866.2
205/452.9226mz/7.37min,194633.16,200083.83,307778.9,0.0,17809.115,37686.367
207/438.1198mz/7.38min,900318.1,917648.2,971947.2,168023.2,322506.78,496960.34
208/146.9659mz/7.4min,4995093.5,3503309.5,3482979.8,4148362.0,5262937.5,5335822.0
210/369.1372mz/7.44min,1043773.0,1080299.6,1168180.9,407327.25,455065.53,583897.94
211/776.5447mz/7.47min,0.0,0.0,0.0,6193537.0,0.0,0.0
212/325.1842mz/7.43min,1335688.6,1226595.4,1334047.5,133568.83,567443.44,727169.75
213/299.259mz/7.52min,237085.34,251109.58,145161.4,304820.5,357796.0,320232.3
214/192.9288mz/7.58min,212554.77,131027.53,115869.95,0.0,4108.37,35487.805
215/599.3205mz/7.64min,36653.633,12895.4375,45742.996,7349029.0,1534255.2,3599537.0
216/299.259mz/7.71min,1128106.8,1262897.5,1191283.5,1422508.5,1205974.1,1583762.2
217/776.5444mz/7.72min,3369.7913,0.0,0.0,1087870.0,3802109.2,3525186.0
218/374.132mz/7.77min,281642.5,315581.1,317084.4,294989.47,302162.94,425392.4
219/129.9757mz/7.78min,1301331.6,1181383.2,1163537.8,1014347.2,618710.4,443683.75
220/319.2311mz/7.79min,3916.7942,597724.94,18842.71,3293.6553,0.0,304427.94
221/114.9341mz/7.77min,1382408.0,1456305.0,1532052.8,996722.4,734399.1,864624.75
222/194.9057mz/7.78min,541459.8,540921.4,518278.78,36205.402,34054.074,71918.07
223/118.9267mz/7.78min,753985.0,812860.3,885906.5,747699.4,566008.5,480710.6
224/116.9284mz/7.77min,26316296.0,27924852.0,29336672.0,19044452.0,13161622.0,15825622.0
225/117.9286mz/7.77min,3033445.2,3214081.8,3403749.5,2211370.5,1589977.9,1825624.6
226/161.9135mz/7.77min,111120.53,152836.78,156548.1,34086.926,41815.03,75202.38
227/255.2328mz/7.77min,282712.72,370546.75,442908.28,235784.98,153198.23,254486.1
230/353.1637mz/7.77min,1861436.0,1970406.6,2011554.1,521395.47,523317.97,696534.44
231/355.1581mz/7.77min,36159264.0,38542260.0,39498668.0,10877466.0,10894434.0,14397835.0
233/357.1625mz/7.77min,941152.75,993018.9,1032652.94,253671.39,258372.84,351194.78
234/599.3199mz/7.74min,0.0,0.0,0.0,3629096.8,5112609.5,6503144.5
235/248.9603mz/7.82min,816504.9,828754.56,906851.9,109831.93,168344.72,141806.16
237/452.9228mz/7.78min,187075.0,194525.17,194788.69,0.0,0.0,0.0
238/423.1453mz/7.77min,610450.5,676266.44,701636.6,50436.094,51087.01,80765.484
240/316.9477mz/7.77min,664526.9,794491.0,738958.6,76941.68,183900.1,168011.0
241/384.9353mz/7.77min,327087.06,386250.03,377597.2,0.0,16034.66,26652.63
242/356.1604mz/7.77min,10041797.0,10597945.0,10934939.0,2622633.0,2645047.2,3531792.5
243/440.1354mz/7.78min,1241087.5,1344435.6,1302154.5,89816.19,191644.55,226625.84
244/371.1528mz/7.81min,1379018.9,1357279.2,1391410.1,605072.4,631380.6,603182.44
245/366.2259mz/7.89min,251477.97,247003.53,266620.78,560271.94,529562.06,526280.9
248/371.3165mz/7.87min,239190.1,286985.34,252159.28,259482.55,177213.25,298772.6
