"","filter","Anid_HE_TJG15pt3_EV_alcA_CTRL_1_YT_pos_20210511_Run46.mzML","Anid_HE_TJG15pt3_EV_alcA_CTRL_2_YT_pos_20210511_Run102.mzML","Anid_HE_TJG15pt3_EV_alcA_CTRL_3_YT_pos_20210511_Run212.mzML","POS_TJGIp1_1_Run49.mzML","POS_TJGIp1_2_Run105.mzML","POS_TJGIp1_3_Run179.mzML"
"366/215.139mz/2.0min",1669512.6,1639552.4,1920729.1,824239.4,1467112.9,2692246,1699472.8
"367/268.1038mz/2.01min",251789.33,214579.5,288999.16,161000.48,192969.11,323674.84,365332.56
"372/282.1195mz/2.06min",5236843,5885477.5,3995361.5,5428877,4805475.5,5044809,5485235.5
"374/209.0921mz/2.07min",772255.27,1065235.9,660051.44,508034.53,884459.1,1659128.6,653070.4
"379/227.1026mz/2.09min",5261178.75,6146038,3345160,2800670,5507120.5,6227081.5,5015237
"382/220.118mz/2.11min",3934175,4392232.5,3409234.8,3418168.2,3996572.5,4437612.5,3871777.5
"383/242.0998mz/2.11min",1516067.3,1761321.8,1258452.6,1249365.2,1633687,1632412.2,1399722.4
"384/232.1543mz/2.11min",3239028.75,2883095.2,2189403.2,4195066.5,3269109,3208948.5,4287521
"386/146.0812mz/2.15min",276368.795,264727.2,282098.97,198358.1,270638.62,379689.44,518794.47
"387/185.0784mz/2.16min",748553.625,789885.9,596601.56,961772.06,778111.75,575884.5,718995.5
"390/100.0757mz/2.15min",1420614.05,1210118,1783320.2,705688.44,1117994.6,1631110.1,2447577.8
"392/279.1337mz/2.18min",214754.635,214923.39,214585.88,154509.67,211447.61,392159.94,247588.92
"393/228.1343mz/2.18min",522483.14,437869.78,523553.4,521412.88,489092.7,792008.5,803379.25
"394/242.1862mz/2.19min",4109192.35,3949589.8,3631734.5,4120439.2,4097945.5,5106894,4983046.5
"396/195.1227mz/2.22min",260981.035,728535.3,272987.88,157287.23,306173.88,248974.19,192299.47
"397/217.1047mz/2.21min",924257.05,1562316.5,807337.6,1162833.4,886663.3,961850.8,852301.44
"398/205.0972mz/2.21min",601043.66,510955.12,722376.4,372508.2,451517.88,691132.2,782593.56
"399/188.0706mz/2.21min",770982.875,703947.5,922993.44,441937.72,487523.97,876207.4,838018.25
"400/113.0597mz/2.22min",921462.85,940789.6,444636.38,164390.31,905289.5,937636.2,1078310.9
"405/245.1495mz/2.25min",519588.08,768418.56,509280.06,347812.16,529896.1,567302.6,372819.4
"406/267.1316mz/2.25min",757561.85,1034247.4,626639.1,431292.25,740254.9,809979.25,774868.8
"407/227.139mz/2.25min",268797.965,217848.48,301012.78,243507.77,231730.78,359526,294088.16
"408/215.1391mz/2.26min",922554.75,893013.1,938326.3,906783.2,835259.44,1231800.4,1415836.5
"409/285.1345mz/2.27min",427983.55,401036.25,417917.3,438049.8,404027.47,569206.1,500758.8
"410/270.1923mz/2.28min",3104339.85,3154053.2,2997062,2914346.8,3054626.5,3599942.5,3246841.8
"413/231.1702mz/2.29min",3535092.3,3577227.8,4399265.5,1768226.1,3440293.2,5699540.5,3492956.8
"414/254.1498mz/2.3min",668615.33,817623.3,593159.1,564067.5,712704.6,762876.75,624526.06
"415/185.071mz/2.3min",171580.945,144291.08,276265.53,125850.01,225065.67,198870.81,110548.836
"417/220.1191mz/2.31min",118606.9825,124246.305,89875.92,97301.57,126978.805,131893.9,112967.66
"419/140.1434mz/2.33min",250206.01,274539.8,270887.5,225363.38,229524.52,279584.1,141518.4
"420/195.1129mz/2.33min",4270203.5,4022520.2,4228880,4311527,3430713.2,5165032,5813421.5
"423/171.1128mz/2.34min",3688644,3383424.8,3620208.8,3757079.2,3071821,4639612,5323575
"426/116.0706mz/2.34min",924201.5,884011.3,1034218.94,439523.56,910366.9,1425003.4,938036.1
"427/146.1175mz/2.35min",2413552.35,2343234.5,1928920.4,2272741.8,2483870.2,2955457.8,3574452
"428/146.0601mz/2.35min",5172717.25,5429271,7267810.5,4426745.5,4916163.5,6160079.5,4787960.5
"429/147.0633mz/2.35min",470646.685,498898.53,666864.2,379591.97,442394.84,561142.1,385978.66
"430/229.1184mz/2.36min",2160687.6,2472978,2108107,1938658,2213268.2,2607493,2077678.6
"431/230.1579mz/2.36min",893598.325,675004.75,1463927.5,594089.1,648347.44,2438613.5,1112191.9
"434/229.1546mz/2.37min",12742300.5,12922668,14750199,6118693,12561933,21206772,11633369
"436/182.0787mz/2.37min",184070.05,189069.55,176389.12,210568.73,172010,222955.27,179070.55
"437/160.0968mz/2.37min",422010.07,440638.34,403381.8,397757.75,383686.5,537609,469416.75
"439/200.0554mz/2.38min",472404.935,442956.06,208904.12,742421.3,491586.75,453223.12,540321.4
"440/145.0761mz/2.39min",239315.95,241133.89,223794.03,222621.69,239704.17,303638.03,238927.73
"441/296.1351mz/2.4min",948998.095,1128710.6,798987.8,894123.44,1003872.75,1019953.94,789000.06
"442/114.0914mz/2.4min",1319836.85,1454825.8,1231664.6,1433721.8,1284864.1,1240877.2,1354809.6
"444/190.0499mz/2.41min",819518.85,788092.9,722842,881778.1,737981,850944.8,874249.94
"446/138.055mz/2.41min",687847.25,692011.7,683682.8,673483.3,664380.2,797698.94,925474.94
"447/261.1443mz/2.41min",1458143.75,1602788.1,1066808.6,1371593.2,1565475.4,1525975.4,1390312.1
"448/283.1263mz/2.42min",968264.4,1113035.6,744662.6,773327,1073730.9,1138777.8,862797.9
"449/156.1019mz/2.43min",198137.035,264953.9,212424.97,175272.75,183849.1,157685.86,215213.22
"451/232.1735mz/2.4min",158101.295,137974.42,183503.6,42009.16,148318.36,401976.97,167884.23
"453/141.0546mz/2.46min",433349.03,463991.66,341907.88,402706.4,841370.3,938806.7,328956.44
"456/231.1702mz/2.46min",1350940.75,1354788.4,1667485.8,660314.25,1319825.1,2187098.2,1347093.1
"457/229.1184mz/2.46min",1086908.025,1152212.8,986576.9,969446.25,1264454.9,1234500.1,1021603.25
"458/185.071mz/2.47min",733895.425,626283.1,939930.75,430592.72,958844.8,841507.75,427787.1
"459/217.0972mz/2.47min",1256507.8,977353,513416.34,1502260.6,1270174.1,1242841.5,1474738.2
"461/259.115mz/2.5min",130477.965,136263.38,208081.7,50019.14,124692.55,179069.64,108638.555
"463/205.0972mz/2.51min",293295.01,285562.3,301027.72,273292.66,266443.62,397232.56,441089.28
"464/172.0063mz/2.51min",467360.12,477130.62,419753.94,310925.88,457589.62,571097.44,600817.6
"465/138.055mz/2.49min",353639.63,359227.16,348052.1,326007.78,302573.38,393951.12,487707.25
"470/261.1232mz/2.53min",1015874.65,886098.7,1145650.6,697699.2,785861.1,1301427.1,1468549.4
"473/167.0815mz/2.54min",3184152,3072909.2,3295394.8,2943476.8,2844718,3832035.8,3552741.5
"475/120.0808mz/2.55min",276254.885,245367.97,313193.25,162046.72,178934.52,307141.8,374799.8
"477/180.1019mz/2.55min",906248.45,837843.8,1019344.7,441340,681774,1019520.4,974653.1
"478/147.0553mz/2.56min",937304.8,856532,1244128.5,759045,805724.44,1018077.6,1027231.2
"484/246.1699mz/2.57min",7742554,7546119.5,5569598.5,7187780,8796813,8420884,7938988.5
"486/247.1076mz/2.57min",427235.55,437258.16,466195.53,327483.44,417212.94,547559.5,409452.94
"487/287.1598mz/2.59min",827815.33,787019.56,691634.94,400399.38,1096712.1,1364045.2,868611.1
"489/249.1232mz/2.6min",332489.16,356498.94,243375.53,299643.16,308479.38,443157.4,437818.84
"492/231.1202mz/2.61min",13999.7827,720.54794,22953.455,136761.31,5046.1104,83542.88,3602.7397
"493/245.1859mz/2.62min",2205280.4,2159339.8,2612254.8,945779.4,2251221,3652130.5,2102144.8
"494/211.1441mz/2.61min",374355.42,302427.25,418825.06,1920185.1,302873.34,692222.8,329885.78
"495/246.189mz/2.62min",287548.59,297558.12,360027.7,55911.46,277539.06,459307.6,132580.16
"496/229.1546mz/2.62min",1922582.4,1860461.4,1984703.4,1528752.8,1855474.8,2382504.8,2153632
"497/197.1285mz/2.62min",8422551.75,6243726,9634080,7679469.5,5547492,9165634,9931739
"500/180.0655mz/2.63min",715223.75,737293.25,647209.7,633424.56,736986.1,873453.9,693461.4
"504/253.1157mz/2.65min",180011.34,393380.8,157237.88,109273.15,202784.8,230948.05,137873.34
"507/243.1338mz/2.65min",1534831.45,1657313.9,1471748.9,1360186.2,1545999,1805515.6,1523663.9
"508/130.1591mz/2.65min",4108387.6,4536869,4149278.2,3103394.5,4877841.5,4067497,2534502.8
"511/227.1389mz/2.65min",429376.89,410605.38,581225.4,325382.5,448148.4,1163780.2,362866.9
"515/202.1801mz/2.67min",116292.635,121156.52,116500.46,108620.305,116084.81,129017.695,99098.22
"516/120.0807mz/2.68min",262255.12,172458.34,311901.16,175864.22,248078.64,332937.22,276431.6
"517/241.1545mz/2.68min",551812.25,537576.75,552207.44,811137.06,480045.6,824238.5,551417.06
"522/86.0964mz/2.74min",546399.48,500674.3,671661.3,601177.3,223924.38,559890.06,532908.9
"523/132.1019mz/2.67min",1084950.75,1287601,1287098.6,902079.25,846660,945719.5,1224182
"526/263.1388mz/2.7min",2826519.15,2789428.8,2863609.5,1673697.1,3110523.8,4609275,2765235
"527/120.0655mz/2.67min",313008.33,342722.66,446299.47,283294,236059.42,509947.16,261456.78
"531/193.1699mz/2.72min",515072.35,552601.3,477543.4,319012.56,602194.8,671502.4,311719.62
"533/193.0972mz/2.71min",481844.65,303337,196848.6,261522,1541087,1730719.8,660352.3
"534/185.1284mz/2.71min",739781.17,743528.94,1033478,736033.4,697109.3,704887.8,1210992.6
"535/183.0916mz/2.72min",291411.985,279630.25,480185.72,242923.64,298277.5,326270.44,284546.47
"538/114.0913mz/2.73min",1775636.1,1785271.2,1766001,1707635,1750691.6,2231929,2116694
