"MetaboAnalyst_ID","Yeast_HE_D5.Ctrl_a_neg_20190515_Run37.mzML","Yeast_HE_D5.Ctrl_b_neg_20190515_Run40.mzML","Yeast_HE_D5.Ctrl_c_neg_20190515_Run43.mzML","NEG_D5.227.C2.a_Run248.mzML","NEG_D5.227.C2.b_Run251.mzML","NEG_D5.227.C2.c_Run254.mzML","shared_name"
"30/217.1047mz/2.24min",3.32300180983793,3.4309661667781,3.32386183481333,1.91727117797454,1.92506217944636,1.91698222021423,"30"
"33/121.0294mz/2.66min",2.54052205126785,2.54052205126785,2.54052205126785,2.5601105060057,2.54052205126785,2.60928067101265,"33"
"39/120.0445mz/2.83min",3.79042836376924,3.78067640989505,3.72924707322029,2.32351610962077,2.331307122802,2.32322715141804,"39"
"40/138.0551mz/2.83min",3.24489227682862,3.22648951468886,3.18494514310435,1.77921485963361,1.78700584880812,1.77892590233793,"40"
"44/165.0556mz/3.1min",2.49408801939687,2.49408801939687,2.49408801939687,2.50631629308021,2.49408801939687,2.72898568457026,"44"
"46/172.1333mz/3.19min",3.40318506921456,3.38228347742164,3.38753310093989,1.97655275187709,1.9843437566556,1.97626379399184,"46"
"47/194.1153mz/3.19min",4.12625622348855,4.13078450844232,4.14173465870654,2.72052520920698,2.72831622417716,2.72023625093666,"47"
"61/302.1304mz/3.8min",3.3620747136247,3.18467357266098,3.4935096564268,1.77894329011693,1.78673427925873,1.77865433282249,"61"
"62/324.1123mz/3.8min",3.7291651268173,3.61190488962481,3.8632601657069,2.20617396930094,2.21396498095465,2.20588501115593,"62"
"68/473.1992mz/3.85min",3.70146447325269,3.63115365288444,3.91986098013024,2.22542272376717,2.23321373573127,2.22513376561043,"68"
"69/449.2027mz/3.85min",2.67352116980841,2.67352116980841,2.67352116980841,2.66573015493654,2.69637167257722,2.79613472011036,"69"
"70/300.1147mz/3.9min",3.36409696464015,3.2472780469417,3.5201086217499,1.84154757869196,1.84933857438866,1.84125862114985,"70"
"75/325.1255mz/4.24min",3.31457429647079,3.29809408525141,3.28997440988673,1.88424384243815,1.8920348416363,1.88395488476374,"75"
"84/433.2067mz/4.54min",4.11255185124827,4.05587885157939,4.29433833147484,2.65014784101204,2.65793885585111,2.64985888274667,"84"
"85/450.2335mz/4.54min",3.81538532834908,3.74001248722671,3.9713319641097,2.3342815207065,2.34207253399082,2.33399256249988,"85"
"86/455.1886mz/4.54min",4.94332359502265,4.90146104473273,5.04710051471092,3.49573002102123,3.50352103632426,3.49544106273834,"86"
"87/236.0805mz/4.54min",3.73443337565795,3.69623647385354,3.89235954993859,2.29050552016822,2.29829653299951,2.29021656197872,"87"
"95/211.9707mz/4.69min",3.9714076656684,3.9945199691538,3.99184594506314,2.56567666148114,2.57346767609502,2.56538770322429,"95"
"97/229.9813mz/4.69min",4.32210846491374,4.34578057693839,4.34182727080505,2.91637744486642,2.92416846004011,2.91608848658841,"97"
"98/231.9791mz/4.69min",4.31405255154903,4.33648941308838,4.33344618790653,2.90832153165052,2.91611254681896,2.90803257337271,"98"
"99/232.9823mz/4.69min",3.23079360667735,3.26437746945195,3.25706680144043,1.82506318225801,1.83285417640762,1.82477422477436,"99"
"100/230.9845mz/4.69min",3.24064267909478,3.26028525204152,3.26203117039912,1.83491222808872,1.84270322317676,1.83462327056961,"100"
"104/568.2963mz/4.73min",3.26754291677577,3.2604500035338,3.19689950814018,1.79116918500468,1.79896017557924,1.7908802276561,"104"
"105/573.2517mz/4.73min",4.0372907067759,4.04361798609746,4.00372927560024,2.59799826867502,2.60578928338554,2.59770931041451,"105"
"111/426.9677mz/5.09min",3.46638139266008,3.46638139266008,3.46638139266008,3.45859037735885,3.52504479290759,3.55766862685632,"111"
"114/344.1301mz/5.23min",3.23737304143053,3.17197080547438,3.38328846234917,1.76624056759704,1.77403155516223,1.76595161036217,"114"
"115/649.3063mz/5.23min",3.41177936877462,3.32715672291106,3.54386856879936,1.92142608361612,1.92921708535026,1.9211371258459,"115"
"116/666.333mz/5.23min",3.38109350551278,3.28656175145394,3.45625553613527,1.88083119123689,1.88862219017979,1.88054223357213,"116"
"117/671.2884mz/5.24min",4.41953420340222,4.34603196896483,4.50622188036107,2.94030094850676,2.94809196369495,2.9400119902282,"117"
"118/318.3mz/5.24min",3.75956075949019,3.81036449384486,3.73611568302738,2.3303847175477,2.3381757307953,2.33009575934247,"118"
"122/256.2998mz/5.42min",4.43529263057843,4.43545413686947,4.42579268334439,3.0200616618022,3.02785267702866,3.0197727035222,"122"
"125/448.2033mz/5.43min",4.22975914638672,4.17684624249203,4.23851991681024,2.77111522619388,2.77890624123524,2.77082626792088,"125"
"126/470.1853mz/5.43min",4.49507820030657,4.45411829072747,4.5003471635401,3.04838726888658,3.05617828412358,3.04809831060618,"126"
"130/302.3052mz/5.48min",4.01925235572294,4.07738479764866,3.93315345868831,2.52742245831478,2.53521347279404,2.52713350006301,"130"
"131/303.3085mz/5.48min",3.30742190721075,3.35964631448874,3.21393809921292,1.80820772318716,1.8159987156286,1.80791876576804,"131"
"134/437.193mz/5.58min",3.68490710769433,3.75288909908203,3.71249626055474,2.27917615777416,2.28696717047255,2.27888719958968,"134"
"135/300.2896mz/5.58min",4.7490265234321,4.78069232647975,4.62927776402724,3.22354674099943,3.23133775627833,3.22325778271745,"135"
"136/344.3157mz/5.61min",3.57656318246866,3.61742529963327,3.4736301488338,2.06789932080758,2.07569032920343,2.06761036278566,"136"
"137/195.1016mz/5.61min",3.26452812262964,3.259085293394,3.280776048796,1.85335479573341,1.86114579246824,1.85306583815208,"137"
"139/347.3347mz/5.65min",3.36966966970577,3.40128932095815,3.2226964152961,1.81696601365595,1.82475700700151,1.81667705620267,"139"
"140/346.3313mz/5.66min",4.04160872428057,4.08071614649,3.9854977408163,2.57976673538522,2.587557750043,2.57947777712671,"140"
"141/105.0335mz/5.68min",3.64835615897345,3.77419782766781,3.79648662531083,2.24262522263072,2.25041623484986,2.24233626446435,"141"
"142/118.0651mz/5.68min",3.30217926262687,3.4189341394653,3.43883120680138,1.89644867022631,1.90423967030519,1.89615971251863,"142"
"143/225.091mz/5.68min",3.66046467649755,3.7810164971591,3.79284384696609,2.25473373540151,2.26252474778843,2.2544447772288,"143"
"144/279.0991mz/5.68min",4.56203492470829,4.6814026025814,4.69860294308899,3.15630390202781,3.16409491729445,3.15601494374629,"144"
"145/320.1255mz/5.68min",3.66187874947333,3.79199379275484,3.82035795868235,2.25614780783927,2.26393882024518,2.25585884966584,"145"
"148/211.0754mz/5.68min",3.43562974458779,3.56979637258871,3.59145219840931,2.02989895403746,2.03768996111051,2.02960999606552,"148"
"149/887.3878mz/5.68min",3.4598053292335,3.39907956331589,3.53465018749567,1.99334881555754,2.00113982112015,1.99305985764267,"149"
"150/377.1662mz/5.72min",3.52082578086437,3.45030352375898,3.50876328495093,2.04457271795545,2.0523637255669,2.04428375996317,"150"
"151/399.1482mz/5.73min",3.89489522714053,3.84906210704979,3.89428491570745,2.44333111784274,2.45112213192785,2.44304215960586,"151"
"153/344.3157mz/5.77min",3.2118697596926,3.26890926854442,3.23801558538326,1.80613938986815,1.8139303820907,1.8058504324573,"153"
"159/631.3266mz/5.88min",3.40334119060647,3.29640197858382,3.39989694680218,1.89067139781981,1.89846239748796,1.89038244012765,"159"
"161/330.3364mz/5.89min",3.53304810016097,3.57210357784597,3.41874191331979,2.01301114164856,2.02080214805523,2.0127221837018,"161"
"167/328.3208mz/5.99min",4.467160215683,4.48768503991218,4.38897377853561,2.98324275744476,2.99103377265529,2.98295379916536,"167"
"169/337.1712mz/5.99min",3.80085156446286,3.65831932685854,3.79600480450592,2.25258838658547,2.26037939894334,2.25229942841386,"169"
"170/359.1532mz/5.99min",3.58606294397613,3.46043863840634,3.59355444755397,2.05470782265343,2.06249883061607,2.05441886464788,"170"
"173/359.2401mz/6.0min",3.27125185942639,3.35938903421756,3.35623772294877,1.8655213330873,1.8733123308344,1.86523237546772,"173"
"175/372.347mz/6.04min",3.93293142842185,3.98357839627576,3.83223824923207,2.42650726282661,2.43429827681283,2.42621830459347,"175"
"179/119.0856mz/6.1min",3.50593274674451,3.7308276904428,3.54864524627485,2.10020189163229,2.1079929009842,2.09991293357424,"179"
"180/147.0805mz/6.1min",4.69258829125615,4.9106100346069,4.73504971061067,3.28685726798634,3.29464828327378,3.28656830970403,"180"
"181/165.0911mz/6.1min",3.40656975040962,3.63678627108001,3.44750726289944,2.00083899328569,2.00862999917887,2.00055003535833,"181"
"183/349.135mz/6.1min",4.12667148741947,4.34399305129301,4.16392289956951,2.72094047311936,2.72873148809019,2.72065151484902,"183"
"184/697.2629mz/6.1min",3.32783998076186,3.73779546045313,3.42736351526577,1.92210934025838,1.92990034203518,1.92182038248655,"184"
"187/255.5845mz/6.1min",3.25390923139979,3.48592979111868,3.3295227070634,1.8481787464357,1.85596974272238,1.84788978887131,"187"
"188/219.057mz/6.11min",3.1930405208623,3.43855931740563,3.24946741875436,1.7873102102931,1.79510120042411,1.78702125296128,"188"
"189/371.117mz/6.11min",4.80393913616032,4.97144320382334,4.84839348481324,3.39820811260371,3.40599912790127,3.39791915432102,"189"
"190/372.1202mz/6.11min",4.1825995623491,4.34848839072331,4.22902862491288,2.77686854584997,2.78465956089842,2.77657958757669,"190"
"191/719.245mz/6.11min",4.13520559558633,4.40162134135835,4.2114560635621,2.72947458091299,2.737265595897,2.72918562264215,"191"
"192/412.1433mz/6.11min",3.22921733586494,3.43455903005659,3.31272176086159,1.82348691581367,1.8312779098091,1.82319795833584,"192"
"196/313.2347mz/6.19min",3.64655752392741,3.63845370099419,3.72256375873579,2.23272276874068,2.24051378081548,2.23243381057976,"196"
"201/357.2608mz/6.22min",3.5641261426803,3.71330435330883,3.78687303071867,2.15839524786871,2.16618625862191,2.15810628975773,"201"
"204/401.287mz/6.24min",3.53993678453729,3.56299184250767,3.65583196265195,2.13420590494715,2.14199691516307,2.13391694685647,"204"
"205/445.3131mz/6.25min",3.17327883899994,3.2214187226151,3.42483552196636,1.76754859640155,1.77533958413338,1.76725963916038,"205"
"208/255.243mz/6.3min",3.29362820213074,3.38211840008303,3.37630982225275,1.88789762706461,1.89568862653164,1.88760866938005,"208"
"209/220.1122mz/6.31min",3.39420753172767,3.58046330400955,3.59215080536169,1.98847679023692,1.9962677955783,1.98818783233041,"209"
"214/433.19mz/6.37min",4.0277575481184,3.961989780024,4.02562775214534,2.55625877671427,2.56404979129717,2.55596981845858,"214"
