"","filter","Yeast_HE_D5-Ctrl_a_neg_20190515_Run37.mzML","Yeast_HE_D5-Ctrl_b_neg_20190515_Run40.mzML","Yeast_HE_D5-Ctrl_c_neg_20190515_Run43.mzML","NEG_D5-227-C2-a_Run248.mzML","NEG_D5-227-C2-b_Run251.mzML","NEG_D5-227-C2-c_Run254.mzML"
"30/217.1047mz/2.24min",523894.464,873157.44,1119584.6,874888.25,174631.488,174631.488,174631.488
"31/140.0683mz/2.44min",25944.5508,43240.918,86922.38,86683.18,8648.1836,8648.1836,8648.1836
"32/316.2115mz/2.52min",103540.74,378905,172567.9,192132.47,34513.58,34513.58,34513.58
"33/121.0294mz/2.66min",432249.036,144083.012,144083.012,144083.012,767294.8,720415.06,859847.4
"34/316.2116mz/2.68min",65269.806,483951.94,316461.5,108783.01,21756.602,21756.602,21756.602
"35/89.0598mz/2.75min",217075.56,1227202.5,462431.1,361792.6,72358.52,72358.52,72358.52
"36/272.1855mz/2.75min",171957.264,457010.9,316054.78,286595.44,57319.088,57319.088,57319.088
"37/217.1071mz/2.8min",151120.266,302399.5,251867.11,562677.25,50373.422,50373.422,50373.422
"38/257.0995mz/2.8min",330793.86,635531,551323.1,1194898,110264.62,110264.62,110264.62
"39/120.0445mz/2.83min",1335024,2561646,2504766,2225040,445008,445008,445008
"40/138.0551mz/2.83min",381230.064,729429,699165.94,635383.44,127076.688,127076.688,127076.688
"41/131.0712mz/2.9min",69605.94,23201.98,23201.98,23201.98,116009.9,933890.2,674920.94
"43/172.0979mz/3.03min",355698.72,118566.24,118566.24,118566.24,592831.2,617411.94,722649.5
"44/165.0556mz/3.1min",388418.58,129472.86,129472.86,129472.86,677903.75,647364.3,1132730
"45/345.1518mz/3.13min",110835.204,252543.84,184725.34,539637.94,36945.068,36945.068,36945.068
"46/172.1333mz/3.19min",600517.236,1050209.2,1000862.06,1013033.6,200172.412,200172.412,200172.412
