row ID,row m/z,row retention time,row ion mobility,row ion mobility unit,row CCS,correlation group ID,annotation network number,best ion,auto MS2 verify,identified by n=,partners,neutral M mass,NEG_TJGI2pt1_EV_gpdA_CTRL_2_Run144.mzML Peak area,NEG_TJGIp8_3_Run207.mzML Peak area,NEG_TJGI2pt1_EV_gpdA_CTRL_3_Run195.mzML Peak area,NEG_TJGIp8_2_Run85.mzML Peak area,NEG_TJGI2pt1_EV_gpdA_CTRL_1_Run14.mzML Peak area,NEG_TJGIp8_1_Run20.mzML Peak area,
56,89.02432681221978,0.48764703,,,,,,,,,,,1474720.8,1364038.6,1364576.5,407344.44,159543.7,527241.06,
13,92.92795531528157,0.35605454,,,,56,,,,,,,252152.98,590562.3,584895.7,634158.0,718702.06,818688.75,
2740,92.92796644374346,10.267145,,,,,,,,,,,0,0,0,46885.617,348263.6,128517.11,
12,94.92502505638952,0.3591896,,,,,,,,,,,244855.61,407091.06,395113.12,434395.22,481417.66,562610.7,
2741,94.92503268714067,10.26536,,,,,,,,,,,0,0,0,7410.9746,222897.62,75909.7,
1215,96.96004355612291,5.944864,,,,,,,,,,,213947.89,17410.578,225756.75,842875.25,6921.543,3226.8806,
2818,96.96004988139975,11.02153,,,,,,,,,,,4220628.0,4467649.5,4319244.5,3825115.8,2944546.8,3167861.8,
14,96.96012095232275,0.35980657,,,,,,,,,,,3391302.0,881229.06,3457486.8,3257532.5,5279361.0,4923235.5,
47,96.96954990748065,0.40566877,,,,56,,,,,,,2817780.0,3288610.0,3194722.0,3206127.8,3762788.5,5296737.5,
2503,99.92576486255138,8.432148,,,,,,,,,,,6803937.5,3823117.8,4458412.5,6540479.5,7724770.5,5.062299E7,
2212,99.92576529718353,7.9422646,,,,,,,,,,,6142553.0,2.7016732E7,5621899.0,6741313.5,7348781.5,6718518.0,
2401,99.92576645495251,8.135434,,,,61,,,,,,,3.806818E7,4471079.5,3.2378754E7,4.0506736E7,3.0641618E7,7483307.5,
2366,100.93358645605701,8.134674,,,,61,,,,,,,1.8416428E7,2423142.8,4344964.5,1.8796876E7,9976747.0,1.208116E7,
2746,102.95684888806426,10.27595,,,,,,,,,,,77245.35,16577.658,30093.826,153942.17,697101.75,354148.72,
2533,106.04101939270743,8.53646,,,,,,,,,,,769985.9,234820.95,468373.4,23920.111,6019.629,17805.457,
2494,106.04102593176702,8.417115,,,,,,,,,,,721816.5,235390.94,796625.25,44735.2,6019.629,6857.357,
2454,106.0410392146513,8.312244,,,,,,,,,,,161158.44,119188.35,134117.05,24690.61,0,6857.357,
2670,106.0410641403208,9.848206,,,,,,,,,,,349451.7,139764.92,526645.75,58844.168,0,26558.879,
2661,106.04107078043467,9.784164,,,,,,,,,,,966817.9,173586.45,1073634.0,58844.168,0,26558.879,
2638,106.04107363822806,9.423376,,,,,,,,,,,791412.2,564345.3,669288.2,109123.33,8993.395,9453.193,
2685,106.04107827934689,10.099486,,,,,,,,,,,2520014.5,3442853.2,989800.75,113706.05,9336.943,26868.312,
2730,112.98564007996795,10.244679,,,,,,,,,,,8466706.0,6271046.0,7671776.0,8743404.0,1.7180678E7,1.5646626E7,
2780,112.98564519397941,10.4650545,,,,,,,,,,,3967584.8,3855402.0,5319117.5,2765988.2,2109619.2,2102435.2,
