"","PC1","PC2","PC3","PC4","PC5","PC6"
"177/697.2629mz/6.1min",-0.073128,-0.12584,0.18692,-0.00093817,-0.00011827,0.045346
"179/255.5845mz/6.1min",-0.069975,-0.073098,0.095366,-0.00082402,3.3832e-05,0.051053
"180/219.057mz/6.11min",-0.069873,-0.072307,0.1155,-0.00086577,4.3767e-05,0.034218
"181/371.117mz/6.11min",-0.068515,-0.048839,0.076294,-0.00082101,0.00012499,0.034653
"182/372.1202mz/6.11min",-0.068521,-0.048861,0.074087,-0.00081643,0.00012372,-0.00031197
"183/719.245mz/6.11min",-0.070553,-0.082381,0.11557,-0.00085435,1.7281e-05,0.039201
"184/217.0422mz/6.11min",0.00059798,-5.4423e-05,-3.0675e-05,0.0059824,0.031524,0.022915
"185/412.1433mz/6.11min",-0.069679,-0.067809,0.074432,-0.00078829,4.2567e-05,-0.020423
"189/313.2347mz/6.19min",-0.06665,-0.009339,-0.048672,-0.00062084,0.00019539,-0.076267
"193/357.2608mz/6.22min",-0.071019,-0.084658,-0.046643,-0.00051813,-7.2158e-05,0.052495
"196/401.287mz/6.24min",-0.06738,-0.026757,-0.055082,-0.00058216,0.00014213,-0.0030789
"197/445.3131mz/6.25min",-0.069859,-0.064386,-0.12525,-0.00038305,-4.4476e-05,-0.048684
"201/255.243mz/6.3min",-0.067858,-0.036568,0.0049643,-0.00069035,0.00012929,-0.056746
"202/220.1122mz/6.31min",-0.071197,-0.088852,-0.008861,-0.00058913,-7.214e-05,-0.043906
"206/433.19mz/6.37min",-0.067219,0.024057,-0.033982,-0.00070427,0.00021244,0.046109
"207/275.083mz/6.38min",-0.067774,0.033277,-0.040985,-0.00070478,0.00019174,-0.043381
"211/409.1923mz/6.6min",-0.065721,0.0099602,-0.0066179,-0.00073435,0.00026873,0.04333
"215/301.1408mz/6.65min",-0.066265,0.02612,-0.0065521,-0.00076133,0.00026505,-0.023093
"220/577.3609mz/6.86min",-0.069203,0.047351,-0.067411,-0.00067453,0.00012853,0.049791
"221/311.1684mz/6.88min",0.00093316,-8.4714e-05,-4.8062e-05,0.0089634,0.046078,-0.027031
"241/478.2924mz/7.17min",-0.067983,0.024764,-0.054664,-0.0006631,0.00016379,0.055722
"253/353.1423mz/7.37min",0.0044175,-0.00045472,-0.00043286,-0.12588,-0.024948,0.021148
"257/237.2213mz/7.37min",-0.069335,-0.058283,-0.045623,-0.00055627,2.3417e-05,0.038164
"260/350.1775mz/7.37min",-0.069844,-0.06711,-0.013422,-0.00061094,1.0407e-05,0.031587
"266/316.9475mz/7.37min",0.002425,-0.00024348,-0.0002286,-0.064748,-0.044099,0.00030025
"275/248.9602mz/7.38min",0.0046901,-0.00033592,-7.1143e-05,0.14834,-0.058884,0.033905
"276/255.2318mz/7.38min",-0.069227,-0.056205,-0.05088,-0.00054916,3.1988e-05,-0.064976
"283/481.2922mz/7.46min",-0.068184,-0.041639,0.013785,-0.00070273,0.00012074,0.078233
"285/377.3202mz/7.47min",-0.066931,-0.0225,0.018242,-0.00073664,0.00018571,0.023141
"287/365.266mz/7.51min",-0.072873,-0.11403,-0.058954,-0.00045005,-0.00019591,0.02773
"291/579.2633mz/7.54min",-0.067055,-0.021205,-0.064725,-0.00057058,0.0001601,0.034489
"298/481.292mz/7.57min",-0.06687,-0.022484,0.044535,-0.00079018,0.00019683,0.013481
"301/131.5336mz/7.61min",-0.076729,-0.17804,0.03939,-0.00056259,-0.00038585,-0.020122
"317/408.3081mz/7.7min",-0.070666,0.093843,-0.064735,-0.00075639,0.00011995,-0.027355
"323/282.2215mz/7.75min",-0.065661,-0.001567,0.0061856,-0.00074297,0.00026609,-0.081021
