"","filter","Yeast_HE_D5-Ctrl_a_neg_20190515_Run37.mzML","Yeast_HE_D5-Ctrl_b_neg_20190515_Run40.mzML","Yeast_HE_D5-Ctrl_c_neg_20190515_Run43.mzML","NEG_D5-211-C3-a_Run146.mzML","NEG_D5-211-C3-b_Run149.mzML","NEG_D5-211-C3-c_Run152.mzML"
"29/217.1047mz/2.24min",523894.464,873157.44,1119584.6,874888.25,174631.488,174631.488,174631.488
"30/140.0683mz/2.44min",25944.5508,43240.918,86922.38,86683.18,8648.1836,8648.1836,8648.1836
"31/316.2115mz/2.52min",103540.74,378905,172567.9,192132.47,34513.58,34513.58,34513.58
"32/316.2116mz/2.68min",65269.806,483951.94,316461.5,108783.01,21756.602,21756.602,21756.602
"33/89.0598mz/2.75min",217075.56,1227202.5,462431.1,361792.6,72358.52,72358.52,72358.52
"34/272.1855mz/2.75min",171957.264,457010.9,316054.78,286595.44,57319.088,57319.088,57319.088
"35/217.1071mz/2.8min",151120.266,302399.5,251867.11,562677.25,50373.422,50373.422,50373.422
"36/257.0995mz/2.8min",330793.86,635531,551323.1,1194898,110264.62,110264.62,110264.62
"37/120.0445mz/2.83min",1335024,2561646,2504766,2225040,445008,445008,445008
"38/138.0551mz/2.83min",381230.064,729429,699165.94,635383.44,127076.688,127076.688,127076.688
"40/345.1518mz/3.13min",110835.204,252543.84,184725.34,539637.94,36945.068,36945.068,36945.068
"41/172.1333mz/3.19min",600517.236,1050209.2,1000862.06,1013033.6,200172.412,200172.412,200172.412
"42/194.1153mz/3.19min",3330414,5550690,5608868.5,5752086.5,1110138,1110138,1110138
"44/239.089mz/3.35min",351015.3,585025.5,621064.56,785703.9,117005.1,117005.1,117005.1
"45/217.0421mz/3.52min",584721.42,194907.14,194907.14,194907.14,1107309.1,974535.7,1102772.1
"46/219.0571mz/3.52min",283480.896,472468.16,704063.7,571939.8,94493.632,94493.632,94493.632
"47/233.0726mz/3.55min",37149.138,111962.734,61915.23,174515.22,12383.046,12383.046,12383.046
"48/255.0545mz/3.55min",24391.4838,103437.08,40652.473,154486.44,8130.4946,8130.4946,8130.4946
"49/201.0596mz/3.65min",90344.814,183206.77,150574.69,383144.03,30114.938,30114.938,30114.938
"50/217.1071mz/3.66min",57614.676,123977.27,96024.46,165238.33,19204.892,19204.892,19204.892
"51/385.1465mz/3.65min",155597.862,311265.3,259329.77,648033.3,51865.954,51865.954,51865.954
"52/345.1541mz/3.66min",27907.35,50080.805,46512.25,134678.56,9302.45,9302.45,9302.45
"53/140.0683mz/3.74min",42593.748,70989.58,104845.33,104798.42,14197.916,14197.916,14197.916
"54/322.0966mz/3.77min",33235.374,60915.984,55392.29,106577.98,11078.458,11078.458,11078.458
"55/302.1304mz/3.8min",380991.75,955356.5,634986.25,1293005.6,126997.25,126997.25,126997.25
"56/324.1123mz/3.8min",1018935.96,2224620.2,1698226.6,3029360.2,339645.32,339645.32,339645.32
"57/217.1072mz/3.85min",33809.094,77007.41,56348.49,150358.2,11269.698,11269.698,11269.698
"58/468.2438mz/3.85min",159622.668,326846.06,266037.78,521222.72,53207.556,53207.556,53207.556
"59/449.2026mz/3.85min",321081.36,107027.12,107027.12,107027.12,670034,535135.6,751295.25
"60/245.0858mz/3.85min",279396.636,520364.78,465661.06,900811.2,93132.212,93132.212,93132.212
"61/433.2065mz/3.85min",65022.132,140299.77,108370.22,256059.61,21674.044,21674.044,21674.044
"62/451.2171mz/3.85min",286467.24,556432.06,477445.4,979511.1,95489.08,95489.08,95489.08
"63/473.1992mz/3.85min",1065112.92,2087157.5,1775188.2,3451053.8,355037.64,355037.64,355037.64
"64/300.1147mz/3.9min",440068.26,959815.4,733447.1,1374672.9,146689.42,146689.42,146689.42
"65/322.0965mz/3.9min",366396.264,789315.5,610660.44,1131831,122132.088,122132.088,122132.088
"66/203.0621mz/3.91min",95517.852,159196.42,175056.88,221874,31839.284,31839.284,31839.284
"67/561.2514mz/4.0min",78819.63,252184.88,131366.05,417414.56,26273.21,26273.21,26273.21
"68/222.1464mz/4.05min",324361.74,555436.4,555364,540602.9,108120.58,108120.58,108120.58
"69/325.1255mz/4.24min",485530.38,856377.1,824488.94,809217.3,161843.46,161843.46,161843.46
"70/233.0726mz/4.36min",189769.704,430908.72,316282.84,681919.6,63256.568,63256.568,63256.568
"71/255.0544mz/4.36min",194979.24,429370.25,324965.4,696547.7,64993.08,64993.08,64993.08
"72/266.1726mz/4.37min",50049.786,88478.78,83416.31,90807.68,16683.262,16683.262,16683.262
"73/226.1801mz/4.37min",70369.266,138396.81,117282.11,127039.375,23456.422,23456.422,23456.422
"75/236.162mz/4.45min",39876.8904,82167.91,66461.484,77752.49,13292.2968,13292.2968,13292.2968
"77/689.2987mz/4.5min",258681.972,553162.1,431136.62,874201.06,86227.324,86227.324,86227.324
"78/433.2067mz/4.54min",2832180,5378270,4720300,8173895.5,944060,944060,944060
"79/450.2335mz/4.54min",1368530.52,2713164.2,2280884.2,3885283.5,456176.84,456176.84,456176.84
"80/455.1886mz/4.54min",19847373.6,36426240,33078956,46258470,6615791.2,6615791.2,6615791.2
"81/236.0805mz/4.54min",1237309.86,2251770.5,2062183.1,3239293.5,412436.62,412436.62,412436.62
"83/244.0667mz/4.55min",206275.728,392515.88,343792.88,535368.5,68758.576,68758.576,68758.576
"84/469.109mz/4.69min",204819.396,404024,341365.66,429135.84,68273.132,68273.132,68273.132
"85/211.9707mz/4.69min",2331576.48,3885960.8,4098365.8,4073209,777192.16,777192.16,777192.16
"87/229.9813mz/4.69min",5228179.2,8713632,9201769,9118387,1742726.4,1742726.4,1742726.4
"88/231.9791mz/4.69min",5132093.4,8553489,9007000,8944106,1710697.8,1710697.8,1710697.8
"89/232.9823mz/4.69min",423677.7,706129.5,762901.06,750166.3,141225.9,141225.9,141225.9
"90/230.9845mz/4.69min",433395.78,722326.3,755746.25,758790.56,144465.26,144465.26,144465.26
