"","filter","2024_POS_Anid-EV-alcA_CTRL_1_Run176.mzML","2024_POS_Anid-EV-alcA_CTRL_2_Run197.mzML","2024_POS_Anid-EV-alcA_CTRL_3_Run229.mzML","2024_POS_Anid-p4_1_Run185.mzML","2024_POS_Anid-p4_1_Run194.mzML","2024_POS_Anid-p4_1_Run223.mzML"
"805/198.0762mz/2.0min",1442617.9,492454,213419.53,3636976,234121.47,2604364,2392781.8
"815/197.1285mz/2.02min",57322.753,362481.66,961479.94,7237.022,14783.803,29947.146,84698.36
"819/265.1183mz/2.01min",548286.4,376916.03,618106.3,424003.84,518349.4,578223.4,654088
"821/228.0866mz/2.01min",2721240.35,3097417.5,3148843.5,2302288.5,4976804.5,2261152.5,2345063.2
"822/195.1491mz/2.01min",1250268.25,2574346.5,3259581.5,8093.6455,11166.617,997125.4,1503411.1
"823/169.0972mz/2.02min",1213955.65,1544962,2028615.8,1163385.1,751835.9,436194.72,1264526.2
"824/200.0918mz/2.02min",4213189.6,5175927.5,5699434.5,1169180.2,583658.44,3425517.2,5000862
"826/246.0972mz/2.02min",1326266.3,2080614.1,2470622.8,1027583.1,691341.9,1019887.9,1624949.5
"827/142.0863mz/2.02min",201462.04,62518.637,154769.48,2661923,1502418.6,248154.6,42118.23
"828/311.1237mz/2.02min",466701.045,517539.88,523802.03,450303.56,477049.47,430592.75,456352.62
"829/319.1863mz/2.02min",102744.588,34248.196,34248.196,1698294.4,266347.22,171240.98,34248.196
"830/182.0786mz/2.02min",865313.04,288437.68,288437.68,4821479.5,3225691,1442188.4,288437.68
"833/262.1648mz/2.02min",762598.2225,3317.5854,3202.323,1487996.5,2506708.2,1828889,37199.945
"834/100.0756mz/2.03min",3909352.25,1172939.1,1672093,19696074,10955898,6146611.5,1619578.6
"835/160.0968mz/2.03min",4762500.5,618501.06,2228387.5,22868074,12447219,7296613.5,1875496.6
"836/300.1552mz/2.05min",151816.805,202859.28,560253.6,28603.447,113260.97,31001.99,190372.64
"837/137.0458mz/2.03min",217964.785,472195.16,748609.1,251200.47,184729.1,140403.16,141640.4
"838/218.0811mz/2.04min",474151.94,541167.56,756540.9,465197.22,398242.3,483106.66,433193.1
"841/236.0917mz/2.04min",2175756.5,1872417.8,2564804.8,2119092.8,1942409.2,2415342.2,2232420.2
"846/178.0498mz/2.04min",38090.208,12696.736,12696.736,412195.94,63483.68,234208.97,12696.736
"850/329.1342mz/2.06min",342083.25,305458.1,103498.02,837266.94,378708.4,423252.22,87518.79
"852/220.0968mz/2.06min",1367620.9,1324940,1644838.4,1613000.2,1410301.8,1178594.6,1313964.6
"855/189.1233mz/2.06min",1775000,1962856.8,2954625.5,1587143.2,2190862.2,910666.75,1098379
"856/203.139mz/2.06min",448723.73,379150.75,521088.25,339052.22,736047.4,452464.84,444982.62
"857/199.1077mz/2.06min",12088960.5,19857676,21181664,5273755,11792456,8506388,12385465
"861/188.0376mz/2.07min",1734256.85,3951480.8,4226845,1426887.6,43300.117,416073.3,2041626.1
"865/192.0645mz/2.08min",17446.493,2328.9264,2328.9264,915367.6,252206.9,23248.354,11644.632
"866/215.139mz/2.07min",14823445,9906594,11861938,26449320,30743372,17784952,10940758
"867/227.1389mz/2.06min",449473.22,282977.44,954287.6,615969,1109704.9,191350.52,214833.98
"871/310.1394mz/2.07min",295002.58,101107.4,300938.28,289066.88,869578.9,1355258,53760.47
"872/230.1386mz/2.06min",184707.3365,3895.355,10571.717,834445.7,345519.47,1023932.1,23895.203
"876/247.1288mz/2.08min",728727.3,622576.75,806636.7,793591.5,1913947.5,663863.1,142665.25
"884/295.1288mz/2.12min",814880,795095.1,834664.9,935658.25,1163031.1,512797.88,529377.94
"885/206.0422mz/2.08min",2765033.1,3673560,2687542.5,2795497.2,1548367.2,2734569,3732684.5
"889/201.087mz/2.08min",3792821.25,3188467.8,3779583,4911283.5,1872183.4,3932876,3806059.5
"891/184.0603mz/2.09min",13438100,13722705,21537064,13153495,6873025,11397850,14600651
"892/185.0637mz/2.09min",710976.75,1165207.5,840189.7,1102033.1,244838.22,496809.3,581763.8
"893/192.0633mz/2.08min",552785.295,2442413.2,2584514,10836.1812,54180.906,70485.15,1035085.44
"896/199.1442mz/2.09min",34833.785,3672.999,28932.445,668654.4,61160.08,40735.125,734.5998
"899/226.071mz/2.09min",1897143,1585607,2208679,2372544.5,1311539.4,2767625.2,1509623.2
"900/153.0742mz/2.1min",172212.2165,766781.94,951116.3,11373.854,20422.555,53069.273,291355.16
"901/152.0706mz/2.09min",3609422,11012264,15113973,1691148.5,1140058.4,1477016.8,5527695.5
"902/217.0818mz/2.12min",212730.63525,659.5541,3297.7705,422163.5,2259677.5,430160,659.5541
"903/231.1338mz/2.11min",153972.45,121420.95,129739.9,302945.75,2916718.8,145200.8,162744.1
"906/222.0797mz/2.1min",1175467.5,1746543.8,1756767.1,1419555.6,457034.6,817981.8,931379.4
"907/229.1546mz/2.06min",378469.125,325416.22,390312.22,845588.94,176812.19,399428.03,366626.03
"908/233.1131mz/2.1min",704055.745,102822.09,51941.133,2088846.8,1305289.4,1647743.5,85637.445
"909/255.0964mz/2.13min",113162.6615,22216.797,47698.543,677799.9,249479.05,178626.78,30750.523
"910/282.1195mz/2.03min",1810548.3,109269.78,176707.33,3769436.8,3354338.5,4868322,266758.1
"911/220.0601mz/2.11min",543196.52,411001.94,711189.3,863268.3,371580,593661.6,492731.44
"918/146.1176mz/2.12min",199435.62,1193992,1432932.6,136448.62,18435.387,15316.008,262422.62
"919/226.1185mz/2.12min",8620365.6,20326682,25086366,1150729.9,810624.2,1924254.2,15316477
"923/244.1907mz/2.12min",443157.1,423693.53,428852.1,457462.1,635884.06,426916.03,664997.9
"926/331.1863mz/2.12min",620126.94,804572.94,1735646,171943.84,827579.9,188247.62,435680.94
