row ID,row m/z,row retention time,row ion mobility,row ion mobility unit,row CCS,correlation group ID,annotation network number,best ion,auto MS2 verify,identified by n=,partners,neutral M mass,POS_TJGIp10_2_Run132.mzML Peak area,POS_TJGI2pt1_EV_gpdA_CTRL_3_Run194.mzML Peak area,POS_TJGIp10_3_Run209.mzML Peak area,POS_TJGI2pt1_EV_gpdA_CTRL_2_Run143.mzML Peak area,POS_TJGIp10_1_Run22.mzML Peak area,POS_TJGI2pt1_EV_gpdA_CTRL_1_Run13.mzML Peak area,
6724,81.52048489648733,10.5717945,,,,178,,,,,,,1.9038972E7,2.0330492E7,2.0969284E7,1.932696E7,1.2134698E7,1.0930083E7,
103,83.04909642495703,0.41131142,,,,,,,,,,,450592.44,193496.98,73492.87,95195.48,497071.7,1276522.5,
6735,84.95962376441499,10.596852,,,,,,,,,,,1002179.3,856062.9,1451990.0,1067251.5,516739.75,787097.7,
126,84.95969539410673,0.5019473,,,,,,,,,,,666224.6,935086.5,1007190.1,1016364.6,546676.25,329141.2,
165,86.0600636149386,0.7666433,,,,,,,,,,,204712.42,288769.25,464938.53,164002.6,1517579.6,1558851.8,
6661,86.09634031257936,10.3010645,,,,,,,,,,,59846.21,18367.115,87084.516,16918.752,266539.34,120400.73,
119,86.09639902780611,0.47532663,,,,,,,,,,,115801.64,224805.0,135185.25,348697.5,205104.39,96101.31,
128,86.09641244094858,0.54291326,,,,,,,,,,,154398.23,271063.38,79104.28,363237.25,542367.25,253938.94,
143,86.09642246935873,0.6240197,,,,,,,,,,,1239695.2,288692.1,1304995.4,577467.8,542367.25,253938.94,
180,86.09643563462642,0.8018677,,,,,,,,,,,483709.16,290758.75,917292.7,1747173.1,162190.42,140926.78,
160,86.09643986916394,0.75550413,,,,,,,,,,,1981172.9,2311470.8,2317951.8,318435.1,665054.6,140926.78,
210,86.09644281714502,0.99397326,,,,,,,,,,,154868.47,234320.4,145812.19,104759.19,85439.75,112737.56,
201,86.09644813916071,0.9524271,,,,,,,,,,,117128.195,295125.56,133184.81,245333.12,85439.75,137475.56,
231,86.09645606300505,1.1957353,,,,,,,,,,,141785.66,86714.81,63901.43,209827.58,113850.93,111993.92,
67,87.04403784864063,0.37442768,,,,213,,,,,,,923809.3,1008534.3,1045337.8,938313.06,298145.06,1264428.5,
446,87.04413693134428,3.302943,,,,209,,,,,,,627910.56,1744242.0,1008855.5,1678397.4,1050526.1,2501364.0,
550,88.02159450438234,3.6924841,,,,,,,,,,,165834.34,243793.14,142498.03,212226.08,112717.766,415053.3,
6692,90.50664382863657,10.479282,,,,,,,,,,,659218.1,665931.5,685433.7,742608.75,1354547.1,1193958.5,
6726,90.5258222275317,10.573558,,,,178,,,,,,,4.007061E7,4.075902E7,4.2680132E7,3.454431E7,2.6833658E7,2.5556516E7,
28,90.97661383982039,0.33683452,,,,33,,,,,,,805648.25,771972.6,813104.4,809093.56,863091.7,1124686.0,
3082,91.05421159158095,6.468689,,,,,,,,,,,398377.28,389777.7,379012.03,451423.6,611483.06,1117498.4,
6707,94.04501189618674,10.524205,,,,231,,,,,,,4087266.2,3544035.2,4259045.0,3881946.2,2851467.5,2823702.2,
105,95.04908704272867,0.40595555,,,,,,,,,,,85237.61,229805.03,41783.76,69181.586,141605.61,1323119.4,
6725,97.9912748508279,10.572585,,,,178,,,,,,,8008609.0,8213572.5,8552402.0,8150723.5,5005065.0,4909932.0,
6789,98.51198757717998,10.877068,,,,,,,,,,,146774.67,176896.31,749674.5,757514.06,1.3180697E7,1.4610938E7,
2904,98.9840923800398,6.149851,,,,,,,,,,,92240.0,240951.81,250316.89,224073.03,461261.3,170876.22,
107,99.04401712836483,0.41994503,,,,213,11,[M+H]+,,2,95;107,98.03674,895823.56,954612.5,250165.94,664165.0,1047558.8,1935217.6,
176,99.04406895270337,0.806308,,,,,,,,,,,246806.33,67327.12,233288.78,639737.06,778119.6,911429.1,
214,99.04407001406759,1.0406843,,,,,,,,,,,2170441.8,1923112.9,178671.12,1126086.2,1374017.4,1490168.0,
225,99.0440821210815,1.1133558,,,,,,,,,,,65110.203,119180.25,172492.0,76664.08,206365.86,253543.62,
6699,99.51214940868778,10.477529,,,,23,,,,,,,2160880.5,2216460.5,2589249.8,2468286.2,3003962.2,2500161.2,
6736,99.53105938748257,10.594288,,,,178,,,,,,,2677651.5,5048832.0,2842760.5,3275779.8,4184301.2,3241129.2,
246,100.07567764566322,1.4730897,,,,,,,,,,,398890.62,870536.3,775541.0,103874.13,862185.7,2078955.6,
262,100.07572175791042,1.9257616,,,,,,,,,,,500883.7,576748.1,536266.4,480026.66,520832.4,608962.75,
6640,100.1119643394464,10.210526,,,,,,,,,,,284645.56,265359.12,371899.12,354635.1,413496.75,1536176.1,
6562,101.0708745030419,10.14497,,,,,,,,,,,4680913.0,4146327.8,2.8113654E7,5404393.0,4870542.0,8588518.0,
5652,101.0709614748684,8.474213,,,,,,,,,,,1.0853659E7,1.4318638E7,4094779.0,6367637.5,6191776.0,3669102.8,
5776,101.07096476093278,8.573102,,,,,,,,,,,6934358.0,7328652.5,1.1707873E7,1299393.1,4710555.5,1.1664939E7,
6722,102.03377675364517,10.569435,,,,178,,,,,,,6.844038E7,7.262579E7,7.2457E7,6.9583464E7,4.8471056E7,4.5418084E7,
155,102.09134270088431,0.6889921,,,,,,,,,,,64511.336,61879.58,57647.375,93312.8,68730.16,98989.56,
315,102.09137732453733,2.4862225,,,,,,,,,,,6570561.0,5278792.5,3776070.5,4972333.5,3301480.8,8724145.0,
283,102.09138326449441,2.1281736,,,,,,,,,,,792596.3,950261.06,723187.0,638013.6,500247.44,410428.34,
6721,102.53535753315475,10.5684595,,,,178,,,,,,,5924442.0,6308962.0,6305047.5,5874560.0,4196288.0,3903091.5,
401,103.07535734674838,3.0852566,,,,56,,,,,,,937394.94,2013739.2,867985.06,1977390.1,1083398.8,1985031.4,
437,103.07536403175419,3.269785,,,,52,,,,,,,61356.62,348278.88,49589.395,341012.1,60405.816,243595.92,
6733,104.03012985960869,10.576025,,,,178,,,,,,,1727311.5,1864478.5,1820938.5,1795491.4,365388.94,182343.34,
40,104.10690775417208,0.35959128,,,,213,,,,,,,2.918009E7,1.5009112E7,2.828343E7,1.2645378E7,2.5543758E7,2.012232E7,
212,104.1069531493546,1.0474907,,,,,,,,,,,429491.5,1383505.8,303731.9,324723.53,339174.62,94554.82,
