Filename,POS_TJGI2pt1_EV_gpdA_CTRL_1_Run13.mzML,POS_TJGI2pt1_EV_gpdA_CTRL_2_Run143.mzML,POS_TJGI2pt1_EV_gpdA_CTRL_3_Run194.mzML,POS_TJGIp10_1_Run22.mzML,POS_TJGIp10_2_Run132.mzML,POS_TJGIp10_3_Run209.mzML
Class,CTRL,CTRL,CTRL,EXP,EXP,EXP
275/144.1019mz/2.08min,49199.188,15103.947,113513.625,38145.83,12717.105,40446.973
277/146.1176mz/2.07min,390600.94,258922.44,330650.62,345139.53,268177.78,269065.38
278/254.1386mz/2.08min,492422.66,234368.27,367548.34,560274.8,380056.88,391881.3
280/170.0812mz/2.1min,243944.94,232905.72,329703.4,244080.5,266364.94,297536.62
281/217.1047mz/2.15min,196940.28,436816.16,152408.9,1004301.75,814934.0,206468.16
282/379.3357mz/2.09min,0.0,0.0,4292.3413,0.0,31309.83,0.0
283/102.0914mz/2.13min,410428.34,638013.6,950261.06,500247.44,792596.3,723187.0
284/232.1543mz/2.1min,1597093.2,1726145.9,1607168.4,1593418.8,1358492.2,1110284.9
285/144.1019mz/2.13min,49199.188,15103.947,48353.78,49353.92,22194.082,48453.16
286/184.1696mz/2.15min,84380.1,114198.85,240853.03,149627.25,753851.5,119470.09
287/195.1228mz/2.21min,1317170.1,572778.3,580296.6,1473650.0,773285.3,496584.47
288/217.1047mz/2.21min,1846940.1,2563310.8,2898801.2,1701844.9,2690790.8,2363718.8
289/157.0835mz/2.21min,974588.06,870005.56,1089472.5,1169926.2,1175331.1,934574.75
290/113.0597mz/2.22min,2503632.0,1780983.4,2031160.0,1600132.0,1650948.8,1453377.5
293/116.0528mz/2.26min,14489.091,145005.38,98870.98,15646.527,165253.1,46260.414
297/146.0601mz/2.34min,2204377.5,1482783.8,1723027.8,1623058.2,1386238.8,1341954.8
298/231.1702mz/2.33min,385684.44,146836.38,454397.8,708140.3,447547.8,457624.88
299/187.094mz/2.34min,200853.92,737196.5,323563.44,40076.66,84452.586,56563.5
300/146.1175mz/2.32min,124545.61,157340.03,227835.97,219805.88,284898.25,253554.33
301/157.0835mz/2.37min,923798.56,2504576.2,3144559.5,982500.3,1781068.9,2375745.8
302/135.1016mz/2.38min,1016350.2,607675.2,681281.2,679841.9,501141.12,503811.1
305/114.0914mz/2.4min,1993567.9,1236144.5,1077517.9,1778580.5,1262276.6,1001946.5
306/190.0499mz/2.41min,1661454.1,2473106.5,2694924.8,1876981.6,2652991.0,2243410.0
308/793.23mz/2.48min,354684.53,426204.06,763245.94,313340.5,893663.0,169972.9
310/239.1488mz/2.44min,581280.1,188410.78,176440.69,461093.88,175139.36,117894.69
311/141.0546mz/2.45min,795470.8,1788941.6,2038452.1,1247972.0,2229375.8,1745522.5
312/201.1598mz/2.46min,409427.22,393281.3,348786.2,238841.81,431467.44,242530.88
313/386.1273mz/2.54min,52520.445,135071.12,46275.547,189538.55,85476.07,262077.28
314/184.1696mz/2.46min,16349.375,136735.1,169272.45,56944.227,189516.33,139897.88
315/102.0914mz/2.49min,8724145.0,4972333.5,5278792.5,3301480.8,6570561.0,3776070.5
316/231.1702mz/2.47min,53577.383,829159.0,407211.16,64971.945,444889.6,376889.94
317/216.123mz/2.52min,277727.47,545191.0,510619.03,407285.47,484343.88,411203.5
319/246.1699mz/2.55min,1438341.0,1138450.0,1080934.9,1208346.1,1069549.8,902927.4
320/130.1591mz/2.53min,3744633.0,0.0,0.0,2984863.2,0.0,0.0
321/245.1859mz/2.59min,109859.61,53720.004,27969.926,202475.86,61973.61,0.0
323/225.1097mz/2.54min,606725.6,444199.72,291695.22,1415817.0,734626.5,417941.12
325/167.1067mz/2.56min,266073.72,93345.26,87482.92,558089.75,161997.7,41344.574
326/793.23mz/2.57min,1574340.8,1778483.9,1933804.0,2123026.2,1214283.5,1702839.8
327/771.2481mz/2.57min,1069498.8,1085545.5,1194581.8,1773736.0,1459154.2,1081982.1
328/405.1008mz/2.57min,307666.97,1128920.8,1275793.8,825478.8,1317265.8,1270897.8
329/386.1274mz/2.58min,135564.78,405028.8,712930.1,797543.5,281495.72,433011.84
330/202.1802mz/2.61min,165587.67,55399.254,0.0,146831.3,0.0,0.0
333/183.1017mz/2.62min,601416.9,286962.56,271634.84,1074761.0,298085.03,201920.4
335/231.1203mz/2.61min,96936.07,402516.62,450779.06,90761.48,122905.625,138501.25
337/283.175mz/2.62min,291131.97,126411.66,126540.78,251633.47,101880.36,75378.93
338/245.1859mz/2.65min,459128.06,172183.3,202329.83,671479.4,192161.33,200916.89
339/316.2117mz/2.67min,877010.6,794296.56,752257.75,915388.44,941511.0,825110.1
341/130.1591mz/2.65min,190852.89,2956908.0,3751335.8,580121.25,3409734.5,2896831.0
342/202.1802mz/2.67min,20726.107,132051.69,136155.72,0.0,176420.72,143599.16
345/114.0914mz/2.73min,295603.5,246469.36,268298.75,295334.97,296879.78,175845.52
346/138.055mz/2.73min,610954.8,1080526.8,1130845.6,953345.6,1363724.8,1122251.8
347/120.0445mz/2.73min,2459863.0,4159609.0,4328539.0,3839942.8,5090683.5,4248359.0
348/245.186mz/2.76min,212761.66,700329.1,692695.25,324183.6,753480.2,719643.0
349/344.2277mz/2.78min,389971.7,135761.78,134993.17,354847.75,136352.97,93420.484
352/349.1831mz/2.78min,64193.684,139148.44,110693.625,107036.055,93660.3,160463.98
355/317.1706mz/2.85min,387205.53,972389.8,930216.6,2809756.5,2066806.9,1059836.5
356/339.1525mz/2.85min,243144.8,1079069.4,971326.75,2058811.6,2177334.5,1093667.1
358/428.2042mz/2.88min,117402.266,217620.47,217878.69,336335.84,323314.94,193162.44
359/233.5793mz/2.95min,50584.85,156292.66,119811.04,128721.01,70008.266,125517.65
360/215.1255mz/2.89min,639027.9,615154.44,544103.9,753503.56,537403.2,385106.38
361/251.1026mz/2.91min,167954.45,412783.3,401839.8,318950.44,429545.72,336568.75
362/388.2539mz/2.92min,412532.97,95153.94,147756.88,397001.28,148941.9,103816.33
363/393.2093mz/2.92min,86437.19,35876.863,148759.61,62884.688,128950.984,164537.52
364/215.1755mz/2.89min,790865.06,724120.6,408882.25,292951.03,482047.62,317166.84
368/170.1176mz/2.95min,1143707.8,1003220.3,825454.5,560276.7,235836.14,279381.66
370/210.1102mz/2.95min,1148078.8,1186969.5,918378.4,619370.5,275252.16,309605.3
371/450.1861mz/2.97min,103759.04,147925.05,151173.33,474391.12,417245.66,152022.69
372/428.2043mz/2.97min,879721.4,1344760.9,1221208.0,2361804.5,2254768.2,1342268.8
376/155.0703mz/2.98min,620197.94,1316972.9,1543103.5,800162.06,1817363.1,1378725.1
377/434.1912mz/2.99min,45307.266,116989.43,103305.33,137160.31,199915.0,99899.89
379/412.2093mz/3.0min,160273.88,200099.64,181809.34,337364.88,359961.94,212045.64
382/298.1859mz/3.03min,183997.58,93594.32,81382.84,744394.3,298496.78,128257.305
383/303.1413mz/3.02min,133668.62,368192.66,384830.38,706316.56,1114726.8,630426.75
384/281.1594mz/3.02min,120092.92,106042.24,108479.87,551574.75,332886.16,177778.0
386/231.1703mz/3.0min,156534.17,412004.12,425755.03,356516.62,454770.88,427265.06
388/432.2801mz/3.04min,359834.03,127074.02,90355.734,362943.9,121838.836,95313.51
391/210.0737mz/3.05min,318936.38,568650.6,608860.6,435877.03,734925.75,732392.5
392/114.055mz/3.06min,372128.5,341927.53,378720.88,382031.9,441345.38,240619.61
393/142.0863mz/3.06min,604984.9,509180.75,562535.3,597529.25,676208.8,595092.2
394/219.1129mz/3.06min,352725.3,559658.94,642998.25,396138.72,497064.03,508848.22
395/188.0918mz/3.06min,932429.5,776665.44,844840.0,898741.8,1030238.0,893592.94
396/249.1595mz/3.08min,459464.97,307187.94,260448.42,268626.97,366650.9,237644.25
397/261.1097mz/3.08min,277666.9,928071.8,943931.0,221070.6,161524.16,783009.6
398/245.1358mz/3.08min,9619871.0,27615982.0,29707324.0,6978667.0,13563946.0,16181541.0
399/268.2116mz/3.08min,104349.625,498661.44,442106.28,91012.64,328948.56,245180.6
400/147.1016mz/3.08min,837494.56,825812.9,850057.1,438015.8,375010.94,348774.78
401/103.0754mz/3.09min,1985031.4,1977390.1,2013739.2,1083398.8,937394.94,867985.06
402/223.154mz/3.09min,8144471.5,6878766.5,6982858.0,4259126.5,3289417.8,2975613.8
403/240.1806mz/3.09min,24648038.0,13498619.0,12559696.0,12686885.0,6899472.5,5617494.0
406/271.115mz/3.1min,293022.4,573502.6,513225.88,438795.44,792480.2,698844.9
407/186.1125mz/3.09min,294238.56,457625.22,424271.75,385873.88,540075.8,444349.44
410/434.1911mz/3.11min,87119.43,308808.47,282015.53,483560.28,582239.8,167967.06
411/225.5817mz/3.11min,98175.75,252727.9,269075.12,213969.02,432077.6,286482.03
412/412.2092mz/3.1min,990968.3,1444257.4,1360155.8,1891345.1,2211110.0,1296983.9
414/109.1012mz/3.14min,722184.4,555626.56,648579.4,667207.94,550188.0,497272.28
416/194.1152mz/3.14min,1266361.2,796221.2,1111965.1,639177.3,633069.1,697728.7
419/172.1332mz/3.15min,1526660.6,482393.53,765657.7,765271.1,442741.0,399911.06
423/269.0896mz/3.21min,171044.14,311951.06,287119.0,307175.06,356979.25,275258.6
425/247.1077mz/3.2min,1016043.75,1403087.2,1328729.1,1617532.5,1596884.0,1253684.8
427/251.1026mz/3.21min,228594.64,358240.1,354817.1,271543.72,365259.72,350820.06
430/182.0813mz/3.24min,650780.56,1104357.8,1121868.5,826659.25,1152896.8,957259.6
433/284.2067mz/3.27min,10578400.0,6193035.0,5825764.5,2873185.0,1371077.6,1069418.9
434/245.1372mz/3.29min,752860.8,1530362.0,565731.25,1704905.6,1391834.8,324203.2
435/147.1016mz/3.27min,168259.2,243612.02,249738.9,31048.45,35862.52,34978.266
436/267.1801mz/3.27min,1146126.4,1455278.6,1505080.0,297832.56,274163.56,253201.34
437/103.0754mz/3.27min,243595.92,341012.1,348278.88,60405.816,61356.62,49589.395
438/289.162mz/3.27min,2389022.5,8008495.5,9561840.0,926605.3,1570091.5,1476463.0
439/285.1309mz/3.29min,114972.98,115287.766,702592.25,262064.66,237451.31,146930.17
440/146.0601mz/3.27min,392434.8,342876.88,386974.22,340148.25,402176.12,346227.88
441/227.1278mz/3.29min,429087.06,79600.82,68105.99,150931.17,120174.02,83144.51
442/215.1254mz/3.28min,61642.508,294998.66,333013.56,102204.98,233594.56,195843.8
443/200.0974mz/3.3min,164366.97,498894.22,583003.25,92561.69,166378.4,348647.88
444/179.0703mz/3.3min,74835.836,71389.79,98817.99,100959.266,64981.473,112839.94
445/245.1859mz/3.27min,248104.22,422889.12,478749.47,415183.5,501906.12,489823.94
446/87.0441mz/3.3min,2501364.0,1678397.4,1744242.0,1050526.1,627910.56,1008855.5
447/177.1122mz/3.3min,1097636.2,573954.1,582042.5,436194.94,214770.83,330664.16
448/199.0942mz/3.3min,2144506.8,5972365.0,7008861.0,1334701.1,2165322.0,4196315.0
449/453.3431mz/3.32min,125037.195,0.0,0.0,62871.566,0.0,0.0
451/267.1569mz/3.33min,34221.695,57392.84,54045.84,132984.4,47169.62,39755.566
452/245.1382mz/3.35min,1470129.0,1817354.6,1193309.5,404625.16,2746095.5,1200588.5
453/448.1971mz/3.35min,161016.28,158646.98,418328.06,319590.88,395970.75,419561.5
454/147.0805mz/3.36min,198937.72,375875.8,345680.16,434889.8,466188.8,267060.47
456/165.0911mz/3.36min,215334.06,91231.98,134709.86,131725.03,115128.016,126071.61
458/227.1278mz/3.36min,772191.75,784784.44,766933.94,1627971.1,1333463.0,975786.0
