row ID,row m/z,row retention time,row ion mobility,row ion mobility unit,row CCS,correlation group ID,annotation network number,best ion,auto MS2 verify,identified by n=,partners,neutral M mass,NEG_TJGI2pt1_EV_gpdA_CTRL_2_Run144.mzML Peak area,NEG_TJGI2pt1_EV_gpdA_CTRL_3_Run195.mzML Peak area,NEG_TJGIp7_3_Run156.mzML Peak area,NEG_TJGIp7_2_Run141.mzML Peak area,NEG_TJGIp7_1_Run17.mzML Peak area,NEG_TJGI2pt1_EV_gpdA_CTRL_1_Run14.mzML Peak area,
50,89.02431462486551,0.48779753,,,,,,,,,,,1474720.8,1364576.5,724402.9,1537461.4,245630.77,159543.7,
12,92.92794777711163,0.36114562,,,,50,,,,,,,252152.98,584895.7,686645.6,522625.7,587177.7,718702.06,
2622,92.92795373309025,10.259038,,,,,,,,,,,0,0,0,0,248904.55,348263.6,
1075,96.9600039706723,5.712626,,,,,,,,,,,36473.484,52500.777,67759.22,2221396.5,15867.029,26858.705,
2693,96.96007515538217,11.008557,,,,,,,,,,,4220628.0,4319244.5,4330180.0,3974957.2,3121696.2,2944546.8,
11,96.96010524924593,0.35874638,,,,,,,,,,,3391302.0,3457486.8,3445762.5,4147380.2,5199036.0,5279361.0,
37,96.96953526868721,0.39125898,,,,50,,,,,,,2817780.0,3194722.0,3435067.8,3617809.8,4931893.0,3762788.5,
2203,99.92576382403907,8.1389,,,,4,,,,,,,3.806818E7,3.2378754E7,3.4944244E7,3.3868936E7,5872944.0,3.0641618E7,
2385,99.92576723688967,8.433482,,,,,,,,,,,6699731.0,4424805.0,2139036.5,5538272.5,4.853767E7,7477736.0,
9,102.95682591822124,0.33711076,,,,,,,,,,,612048.4,605753.75,662183.6,590187.9,568334.0,648774.0,
2628,102.95685311355301,10.27515,,,,,,,,,,,77245.35,30093.826,57178.66,35903.527,599712.0,697101.75,
2402,106.04102148543234,8.479066,,,,,,,,,,,361172.2,142929.1,227357.97,69631.06,18864.586,6019.629,
2379,106.0410277091758,8.439873,,,,,,,,,,,721816.5,796625.25,842969.2,896849.25,0,6019.629,
2412,106.04102948915568,8.552434,,,,,,,,,,,769985.9,468373.4,622426.2,565739.0,18864.586,6019.629,
2601,106.04105696614315,10.174263,,,,,,,,,,,169131.55,441022.4,365990.1,402563.66,0,0,
2514,106.04106386133122,9.439531,,,,,,,,,,,791412.2,669288.2,990330.8,531461.7,12144.339,8993.395,
2548,106.0410721914882,9.861748,,,,,,,,,,,349451.7,526645.75,269952.16,417017.0,0,0,
2538,106.04107619008623,9.734789,,,,,,,,,,,966817.9,107382.266,251028.19,523484.62,3443.9136,0,
2542,106.04107795936625,9.797706,,,,,,,,,,,357032.9,1073634.0,262448.34,726730.5,0,0,
2565,106.04109926145627,10.121346,,,,,,,,,,,2520014.5,326055.75,3762911.5,887553.75,0,9336.943,
2561,106.04111375810513,10.035021,,,,,,,,,,,239774.64,989800.75,562757.1,622341.2,0,9336.943,
2608,112.98563128670027,10.243724,,,,,,,,,,,8466706.0,7671776.0,7026995.0,7493412.0,1.73386E7,1.7180678E7,
2656,112.9856587269735,10.502735,,,,,,,,,,,3967584.8,5319117.5,3936082.0,4215454.5,2030087.1,2012789.8,
2340,113.00275379785585,8.251097,,,,,,,,,,,414236.8,341023.75,560143.25,98064.445,6300213.5,6067553.0,
1999,113.92621927517034,7.723595,,,,,,,,,,,949332.06,1496589.9,1556391.9,790385.25,2951101.0,3073503.0,
2292,113.92623192712115,8.151729,,,,4,20,[M+K]+,,2,2276;2292,74.96321,5652100.5,6280618.5,9134886.0,5799732.5,2338826.2,2340847.2,
1940,114.93406319483377,7.6873984,,,,96,18,[M+K]+,,2,1932;1940,75.97103,2985108.0,1626254.2,2440361.8,1786992.8,2540293.8,2710245.0,
2035,114.93408750158746,7.769356,,,,,,,,,,,1170284.1,980979.94,638671.2,901730.2,1947741.4,2016106.0,
1743,114.93408849783775,7.444447,,,,24,17,[M+K]+,,2,1743;1737,75.97105,919444.4,1100887.1,931797.9,1206895.6,1794387.2,1635659.1,
2172,114.93409711244281,8.154244,,,,,,,,,,,649228.75,1085634.5,1201936.1,1089371.6,3100691.2,3127072.5,
1984,115.92069519131752,7.708547,,,,,,,,,,,3.0130844E7,2.7704238E7,2.8605864E7,2.8134112E7,5.8238504E7,5.0881736E7,
2272,115.92070690142243,8.143085,,,,4,,,,,,,1.2452863E8,1.2137353E8,1.768049E8,1.6059026E8,4.5300204E7,5.390344E7,
2273,116.92103535349094,8.143085,,,,4,,,,,,,1.2488054E7,1.3909514E7,1.463186E7,1.4269615E7,5156601.5,6160346.0,
1985,116.92104457815994,7.708547,,,,,,,,,,,2363436.2,3194721.2,3286438.8,2165407.8,6645316.0,5854560.0,
2296,116.92843980167409,8.160243,,,,4,,,,,,,1.9474808E7,2.0738032E7,2.3752438E7,3.3066102E7,5.9829196E7,6.6351824E7,
2036,116.92844472342092,7.744141,,,,,,,,,,,2.26996E7,2.2732422E7,2.2644306E7,2.1826756E7,3.8558704E7,4.2943652E7,
1932,116.9284599341875,7.6866508,,,,96,18,[2M-2H2O+H]+,,2,1940;1932,75.97103,3.6900372E7,5.254246E7,4.8686084E7,6.054408E7,8.406732E7,5.3082908E7,
1737,116.92849223437942,7.443615,,,,24,17,[2M-2H2O+H]+,,2,1743;1737,75.97105,2.0886658E7,1.6711724E7,1.8805114E7,2.4114056E7,2.5938192E7,3.1615844E7,
198,117.01909610333945,4.131891,,,,79,,,,,,,347611.2,363641.0,376735.97,343123.34,270872.16,302720.97,
429,117.01912051732104,4.668871,,,,59,,,,,,,1992856.2,2274338.2,2112895.5,1970611.9,1801588.4,1818388.9,
252,117.01929627319096,4.278526,,,,93,,,,,,,254503.56,320370.78,312111.3,282897.62,118286.46,132711.47,
49,117.01931319669997,0.4936975,,,,,,,,,,,61976.305,370289.66,133037.12,335658.97,497856.1,45475.17,
55,117.0193564479913,0.64074886,,,,,,,,,,,949658.4,728261.5,1281596.1,942509.3,1028416.7,1024355.5,
