"","filter","NEG_TJGI15pt3_EV_alcA-Control_1_Run32.mzML","NEG_TJGI15pt3_EV_alcA-Control_2_Run115.mzML","NEG_TJGI15pt3_EV_alcA-Control_3_Run204.mzML","NEG_TJGIp1_1_Run35.mzML","NEG_TJGIp1_2_Run100.mzML","NEG_TJGIp1_3_Run186.mzML"
"90/218.1033mz/2.11min",2615829.25,1986247.5,2228749.8,2710956,3045476.5,2666303.5,2565355
"91/118.051mz/2.15min",144883.205,5934.886,195165.86,94600.55,222999.42,1115729,29674.43
"92/181.0718mz/2.16min",53101.2727,902.3598,101039.81,4511.799,563570.2,752069.6,5162.7354
"93/117.0194mz/2.15min",4887.03282,1629.01094,1629.01094,1629.01094,138495,8145.0547,12548.223
"94/457.1867mz/2.18min",895.7476,895.7476,895.7476,4478.738,163431.19,895.7476,895.7476
"95/501.1766mz/2.19min",11688.456,3896.152,3896.152,295982.34,200691.88,19480.76,3896.152
"96/145.0506mz/2.14min",1371655.5,1106338.2,1026941.06,1326368.9,2172103,1416942.1,1931340.9
"98/118.051mz/2.21min",172206.725,5934.886,390735.03,150826.5,193586.95,270702.5,29674.43
"101/158.0822mz/2.37min",347506.39,233479.2,274345.84,332609.88,362402.9,487012.16,440648
"102/194.0458mz/2.39min",2192797.9,1609258.8,1813843.2,2139740,2343195,2245855.8,2311565.5
"103/144.0455mz/2.4min",1051368.15,1157537.1,1319045.4,1455662.1,945199.2,895503.56,850120.3
"104/188.0353mz/2.41min",1574586.05,1692900.9,2059580,2387149.5,1398898.5,1427886.9,1456271.2
"105/136.0404mz/2.41min",833366.25,818329.06,652536.8,773130.7,1032937.44,848403.44,901388.8
"106/175.0612mz/2.44min",1577590,1486586.5,1411843,1914304.5,2123895,1668593.5,1408355.6
"107/139.0401mz/2.46min",526496.825,592632.4,642751.44,742142.7,460361.25,439102.38,395758.88
"108/118.051mz/2.42min",162622.47,30371.022,169581.36,151855.11,199589.66,223977.55,155663.58
"109/172.098mz/2.55min",38563.2385,30476.516,38202.93,54200.137,35016.137,62500.316,38923.547
"110/228.0878mz/2.57min",528899.97,753315.44,417336.62,498275.94,763329.2,559524,410979.53
"111/121.0295mz/2.58min",914235.35,638061.44,818958.6,839435,989035.7,1173080,1003757.3
"112/130.0873mz/2.58min",136982.12,38307.04,164597.6,172575.66,85608.734,375957.25,109366.64
"113/159.0663mz/2.61min",350245.36,332953.25,320898,393009.72,424582.47,347144.75,353345.97
"114/178.051mz/2.62min",612403.07,622003.2,602802.94,712450.5,724904,585601.06,551462.3
"115/238.0755mz/2.62min",398819.84,332737.47,319289.47,383171.3,421771,422992.1,414468.38
"116/157.0506mz/2.7min",385603.95,348113.47,342530.06,399672.06,529732.5,417809.72,371535.84
"117/158.0822mz/2.73min",962591.03,816245.3,1053163,1315479.2,880027.1,986178.56,939003.5
"118/136.0404mz/2.73min",129359.3125,66161.14,129846.07,167205.69,81323.234,128872.555,130056.11
"119/107.0503mz/2.76min",622491.95,595567.7,649416.2,798886.56,675616.4,575992.1,563524.4
"120/151.04mz/2.76min",460889.225,427729.84,478197.75,596941.2,484590.4,443580.7,427651.25
"121/131.0713mz/2.78min",4600655.5,4101108.8,3590300.8,4442848,6110299.5,4758463,4775264.5
"122/188.0353mz/2.78min",87679.41,74767.61,74520.31,97247.41,111261.98,84700.85,90657.97
"123/457.1869mz/2.8min",1049.62452,540976.44,1049.62452,5248.1226,1049.62452,1049.62452,1049.62452
"124/501.1765mz/2.8min",60461.284,2235403.5,24619.193,96303.375,180909.38,5869.716,1173.9432
"125/158.0822mz/2.81min",982686.69,827401.56,1078931,1284084.1,807937.1,1036063.44,929309.94
"126/159.0663mz/2.87min",641492.025,627582.8,531884.5,655401.25,875465.4,661543,595413.8
"127/426.1898mz/2.89min",264496.73,140842.95,245380.86,272410.38,256583.08,275576.75,274473.53
"128/185.0819mz/2.89min",47091.2075,56959.445,47552.36,54623.066,45013.39,46630.055,43769.1
"129/172.098mz/2.91min",1767119.65,1627517.1,1472463.9,1040718.06,2304889.2,2027102.2,1906722.2
"130/130.0873mz/2.91min",215536.93,166496.08,207327.48,204167.9,241207.94,390612.1,223746.38
"131/118.051mz/2.93min",125073.73,117083.08,282126.3,42014.984,133064.38,165262.58,18225.225
"132/186.1135mz/2.95min",979186.78,1179859,924461.06,1100495.5,1033912.5,890223.44,884978.1
"133/171.1027mz/2.96min",492567.25,687633.5,507766.84,591816.1,477367.66,323011,305549.12
"134/189.0768mz/2.97min",426165.28,438997.56,370401.44,500234.94,560388.94,413333,356698.53
"135/426.1898mz/2.97min",436248.48,308615.3,378038.34,423064.12,449812.22,449432.84,458743.7
"136/221.0931mz/3.02min",175751.685,503060.47,284848.9,331253.44,66654.47,47181.59,38367.51
