row ID,row m/z,row retention time,row ion mobility,row ion mobility unit,row CCS,correlation group ID,annotation network number,best ion,auto MS2 verify,identified by n=,partners,neutral M mass,GF_MC_RCG_Ctrl_2_neg_20210511_Run147.mzML Peak area,GF_MC_RCG_Ctrl_1_neg_20210511_Run68.mzML Peak area,GF_MC_RCG_Ctrl_3_neg_20210511_Run159.mzML Peak area,GF_CC_MC_RCG_3_neg_20210511_Run177.mzML Peak area,GF_CC_MC_RCG_2_neg_20210511_Run112.mzML Peak area,GF_CC_MC_RCG_1_neg_20210511_Run76.mzML Peak area,Unnamed: 19
773,259.0756195233392,1.584619,,,,,,,,,,,549064.75,595071.4,1732142.4,3898578.8,587615.6,136280.36,
1644,259.1087111461985,2.9580486,,,,,,,,,,,815483.75,533218.9,687598.75,1176045.0,429139.56,1538295.9,
1438,259.10875842245173,2.6849992,,,,,,,,,,,1911111.9,1885562.0,2509638.0,3138680.2,1573898.4,1471908.9,
1197,259.1087866142821,2.482323,,,,123.0,,,,,,,31928300.0,43207904.0,43250804.0,36232364.0,43208330.0,44224944.0,
1311,259.12955744279117,2.6016538,,,,63.0,,,,,,,1389436.9,1936179.2,2814577.8,2760090.0,2918126.0,2931909.5,
586,259.1296518210315,1.135574,,,,,,,,,,,42393.773,377592.16,488978.6,1510284.9,1388689.5,1536685.9,
354,259.12969423259085,0.7520034000000001,,,,105.0,,,,,,,3298190.8,3257443.0,2168563.2,2240653.0,2983018.8,2863901.5,
165,259.1297142249086,0.49690664,,,,,,,,,,,328293.44,1196204.5,1035995.1,1482599.2,1202977.0,1392944.2,
865,259.129787249982,2.0142033,,,,,,,,,,,448204.94,369170.2,474251.12,508984.7,454416.0,321123.25,
1183,260.11205889390635,2.4831564,,,,,,,,,,,2347545.0,6549639.5,3069275.5,2162485.8,3619460.8,2001004.0,
180,260.1249763931541,0.5287248,,,,52.0,,,,,,,795251.1,1134931.2,1709590.0,2595349.0,1712316.5,2142843.0,
2202,262.10842951313344,4.5503926,,,,,,,,,,,852502.3,997197.56,1148885.0,1214538.8,1125911.9,1342009.5,
2214,262.14483171223736,4.6319623,,,,191.0,,,,,,,1266419.6,1555197.4,1510827.5,1635174.4,1678443.8,1701734.9,
1226,263.1400299648634,2.5069115,,,,129.0,,,,,,,753522.75,847041.2,848389.75,2886977.8,3204294.0,3762384.2,
1283,263.1400487556789,2.5525154999999997,,,,129.0,,,,,,,1621936.9,2353641.5,2161941.0,2369424.0,2137019.8,2942430.8,
116,264.1464523897704,0.41719332,,,,,,,,,,,83331.89,223955.72,251387.25,779323.3,461777.56,606718.3,
572,265.11922178658136,1.104877,,,,,,,,,,,106076.664,409622.97,1059039.4,635048.7,777188.9,264244.97,
540,265.11923257317744,1.052492,,,,,,,,,,,28251.373,203919.92,662168.75,1215455.2,1132156.8,1132651.2,
884,265.1193162003659,2.0897224,,,,44.0,,,,,,,114638.45,158668.28,294815.72,851849.75,399489.75,987705.8,
3285,265.1477701280976,10.222783999999999,,,,,,,,,,,100568.336,151962.02,132889.44,151783.4,173007.7,30677.42,
3301,265.1477889166462,10.3210535,,,,,,,,,,,82483.945,52724.305,91108.73,83489.516,53316.04,53900.297,
2456,265.14783178638095,6.1253867,,,,,,,,,,,0.0,9686.976999999999,0.0,0.0,0.0,15320594.0,
2434,265.14783743601583,5.929779,,,,165.0,,,,,,,5316541.5,5010490.0,8514779.0,14291799.0,11331208.0,0.0,
401,266.08941297354863,0.8413129999999999,,,,108.0,,,,,,,1846484.8,1789317.0,1963786.6,3319.5098,0.0,3507.4387,
1230,266.11456865552816,2.5152504,,,,123.0,,,,,,,773353.5,1130986.0,1420715.4,1548527.6,1456321.1,1545165.5,
413,267.0732619203416,0.85155725,,,,127.0,,,,,,,572779.0,843956.5,1305458.8,6810223.0,5662430.5,6211352.0,
91,267.09611866744336,0.40224028,,,,186.0,,,,,,,76388.33,414189.84,653820.25,983350.56,748430.56,968331.1,
246,267.14608410355333,0.5440590999999999,,,,52.0,,,,,,,2090526.4,3141177.2,4765083.0,6669958.5,5079050.0,5644802.0,
2152,268.09795480075155,4.2700629999999995,,,,107.0,,,,,,,541729.3,567332.6,639307.6,427307.06,461324.7,470999.72,
