Filename,2024_POS_Y-EV_1_CTRL_Run88.mzML,2024_POS_Y-EV_2_CTRL_Run117.mzML,2024_POS_Y-EV_3_CTRL_Run138.mzML,2024_POS_Y-p9_1_Run100.mzML,2024_POS_Y-p9_2_Run120.mzML,2024_POS_Y-p9_3_Run155.mzML
Class,CTRL,CTRL,CTRL,EXP,EXP,EXP
394/282.1196mz/2.01min,1744130.2,1838192.1,3773860.8,1195437.2,1269991.8,613571.0
396/215.139mz/2.06min,175573.56,198562.17,239672.3,282037.97,988596.56,515564.03
398/158.0812mz/2.08min,10162038.0,11787009.0,12334134.0,3262640.2,6289033.0,5663945.5
399/381.1519mz/2.1min,570253.94,676393.75,656280.9,28157.125,254635.34,168432.94
400/99.5121mz/2.09min,604648.75,186223.0,371107.56,122521.99,114211.53,267275.28
401/380.1485mz/2.1min,4683881.0,4665987.5,5659207.0,446983.06,2198250.2,1525542.9
402/231.1703mz/2.1min,5944.6294,11004.457,18198.502,75306.64,201570.05,177231.89
403/244.1907mz/2.1min,637374.56,597833.8,1110399.5,545421.8,673209.4,547115.94
404/251.1502mz/2.12min,259388.27,314678.3,686335.4,408351.56,378807.72,258847.52
405/112.0756mz/2.13min,293251.7,386460.12,334832.03,130661.61,199968.72,201027.5
406/261.1444mz/2.14min,20329.219,22692.406,137899.05,66419.58,64554.33,29505.703
407/247.1076mz/2.16min,18237.295,34988.438,124025.78,70747.0,54145.895,5729.459
408/290.087mz/2.17min,442680.16,471581.4,1289858.6,841059.9,630229.06,449862.97
411/220.1179mz/2.18min,601485.4,646740.25,901207.75,1258284.9,2283518.5,1989465.8
412/302.1961mz/2.18min,103122.414,132624.47,218273.6,80976.414,177164.62,96820.73
413/384.1148mz/2.22min,1070292.6,1264514.2,1272040.9,1486969.1,2585607.8,2655983.8
414/184.1695mz/2.22min,3007995.8,2634294.8,4312386.0,2470463.5,3017616.2,2658053.8
415/279.1338mz/2.24min,350415.66,387855.16,393689.53,388661.3,1000422.4,701501.44
416/242.1862mz/2.24min,654354.25,718636.9,1698891.1,969938.6,932388.56,666399.3
417/443.177mz/2.24min,666725.1,726268.7,1767865.0,975245.8,898304.44,651777.4
