row ID,row m/z,row retention time,row ion mobility,row ion mobility unit,row CCS,correlation group ID,annotation network number,best ion,auto MS2 verify,identified by n=,partners,neutral M mass,NEG_D5-227-C4-a_Run314.mzML Peak area,NEG_D5-227-C4-b_Run317.mzML Peak area,NEG_D5-227-C4-c_Run320.mzML Peak area,Yeast_HE_D5-Ctrl_b_neg_20190515_Run40.mzML Peak area,Yeast_HE_D5-Ctrl_a_neg_20190515_Run37.mzML Peak area,Yeast_HE_D5-Ctrl_c_neg_20190515_Run43.mzML Peak area,Unnamed: 19
54,361.15037208109635,3.6520118999999998,,,,,,,,,,,828360.1,619158.2,909898.3,0.0,0.0,0.0,
393,362.30261942024237,7.77153,,,,,,,,,,,0.0,0.0,0.0,268833.16,609177.06,429664.03,
729,362.925923116353,10.233948,,,,14.0,,,,,,,0.0,0.0,0.0,499602.03,506429.0,484203.6,
483,365.2659558293919,7.988689999999999,,,,65.0,,,,,,,0.0,0.0,0.0,636855.8,449623.97,447716.22,
319,365.26596238574274,7.5136065,,,,61.0,,,,,,,0.0,0.0,0.0,1173794.8,739440.5,1446709.9,
574,366.3727258162481,8.66827,,,,47.0,,,,,,,0.0,0.0,0.0,682396.2,672036.06,1274133.4,
258,368.25810229464486,7.2142550000000005,,,,,,,,,,,0.0,0.0,0.0,593719.1,457054.9,523944.75,
566,368.97838437308985,8.620887,,,,26.0,,,,,,,3046618.0,2727510.8,3218923.5,0.0,0.0,0.0,
313,369.1369490593586,7.442908999999999,,,,,,,,,,,1077514.9,1112685.1,1188758.5,0.0,0.0,0.0,
162,371.11674036207023,5.9077720000000005,,,,,,,,,,,0.0,0.0,0.0,84054.51,120014.67,121271.25,
189,371.11701493226525,6.105232,,,,19.0,,,,,,,0.0,0.0,0.0,38862788.0,26425906.0,29274146.0,
407,371.1525366134372,7.8155446,,,,,,,,,,,1545984.1,1712285.1,1677226.1,0.0,0.0,0.0,
481,371.15281486467245,7.9700394,,,,,,,,,,,136696.62,126775.51,147905.67,0.0,0.0,0.0,
263,372.1160154270152,7.362955599999999,,,,3.0,,,,,,,501515.66,531828.56,619239.75,0.0,0.0,0.0,
190,372.12022374791235,6.105232,,,,19.0,,,,,,,0.0,0.0,0.0,9259321.0,6319610.5,7032656.0,
175,372.347016159712,6.0375175,,,,,,,,,,,0.0,0.0,0.0,3996401.8,3556494.8,2820518.8,
440,373.23230566210236,7.878798,,,,,,,,,,,0.0,0.0,0.0,366857.03,288056.03,393746.16,
150,377.16620050912763,5.723812000000001,,,,34.0,,,,,,,0.0,0.0,0.0,1170561.6,1376944.8,1339226.5,
592,377.31994635578326,8.819405,,,,,,,,,,,0.0,0.0,0.0,4752001.0,4158353.5,4635601.5,
643,377.3200545478431,8.961425,,,,46.0,,,,,,,0.0,0.0,0.0,4631715.0,4215079.5,4508707.0,
316,377.32016987881434,7.4714017,,,,18.0,,,,,,,0.0,0.0,0.0,800180.3,682054.6,753559.5,
456,378.20875410895616,7.876989999999999,,,,45.0,,,,,,,0.0,0.0,0.0,1902974.9,1604780.8,1778196.0,
593,378.32329212288073,8.823003,,,,,,,,,,,0.0,0.0,0.0,707867.56,1273558.2,677691.2,
642,378.3233718699608,8.95964,,,,46.0,,,,,,,0.0,0.0,0.0,1422119.9,980374.0,1361969.6,
433,379.1791150094144,7.870848,,,,7.0,,,,,,,2766580.8,3008846.5,3108212.0,0.0,0.0,0.0,
656,379.33578513574133,8.96684,,,,46.0,,,,,,,0.0,0.0,0.0,7445887.0,7193674.5,7377834.0,
442,380.1825236973725,7.874346000000001,,,,7.0,,,,,,,516045.22,592955.5,585321.9,0.0,0.0,0.0,
657,380.33897405408686,8.966847,,,,46.0,,,,,,,0.0,0.0,0.0,2213999.2,2094809.4,2171573.5,
649,381.17337316658995,8.96467,,,,44.0,,,,,,,478057.53,475347.6,517761.94,0.0,0.0,0.0,
424,381.17351279982165,7.8691070000000005,,,,7.0,,,,,,,55333256.0,59361890.0,61190244.0,0.0,0.0,0.0,
499,381.1947999341626,8.215294,,,,1.0,,,,,,,821280.8,888459.0,1035913.4,0.0,0.0,0.0,
416,382.175941736607,7.8691070000000005,,,,,,,,,,,16667510.0,17685480.0,18263164.0,0.0,0.0,0.0,
434,383.17756713258524,7.8708572,,,,7.0,,,,,,,1978690.4,2167050.0,2190171.0,0.0,0.0,0.0,
687,383.18254444923934,9.6446905,,,,,,,,,,,0.0,0.0,0.0,409138.06,337914.0,545625.9,
650,383.1890657378037,8.96467,,,,44.0,,,,,,,1302402.8,1274691.9,1375380.0,0.0,0.0,0.0,
494,383.1892907047833,8.213557000000002,,,,1.0,,,,,,,17101850.0,18205764.0,21147976.0,0.0,0.0,0.0,
450,384.93450560460417,7.876093400000001,,,,7.0,,,,,,,277898.3,379459.8,376832.44,0.0,0.0,0.0,
373,384.93484112751685,7.766481,,,,52.0,,,,,,,828340.75,482794.7,505208.78,0.0,0.0,0.0,
264,384.9349299899015,7.362967,,,,3.0,,,,,,,866552.4,817074.06,730014.56,0.0,0.0,0.0,
725,384.93493993120796,10.2327385,,,,9.0,,,,,,,1668131.6,1759111.6,1664894.2,0.0,0.0,0.0,
208,385.1324046782573,6.273321599999999,,,,,,,,,,,0.0,0.0,0.0,622317.56,214629.77,215233.44,
57,385.1465150333377,3.6546623999999994,,,,,,,,,,,0.0,0.0,0.0,259329.77,311265.3,648033.3,
493,385.1932228580615,8.21355,,,,1.0,,,,,,,558344.44,611932.06,722614.25,0.0,0.0,0.0,
251,385.2920843475997,7.102635,,,,,,,,,,,0.0,0.0,0.0,521795.2,316618.78,446131.72,
736,385.72381814053267,10.316651,,,,49.0,,,,,,,0.0,0.0,0.0,1423636.9,1612527.0,1569184.5,
193,388.62153844027534,6.103478,,,,,,,,,,,0.0,0.0,0.0,290964.75,101973.68,143797.67,
542,391.28394939630164,8.377632,,,,31.0,,,,,,,0.0,0.0,0.0,841100.75,953992.5,846391.3,
382,393.219548819756,7.769756299999999,,,,54.0,,,,,,,0.0,0.0,0.0,751194.7,614467.4,727603.44,
546,393.29712537407516,8.390148,,,,31.0,,,,,,,0.0,0.0,0.0,1391640.1,1295659.9,1666456.9,
586,394.3223043183876,8.749936,,,,,,,,,,,0.0,0.0,0.0,637982.5,528430.2,550920.1,
248,395.21895376463567,7.096205,,,,,,,,,,,0.0,0.0,0.0,292170.84,234889.4,298131.25,
406,395.330537245836,7.8036494,,,,,,,,,,,0.0,0.0,0.0,625791.75,323279.38,427536.22,
658,395.3305503399369,8.96685,,,,46.0,,,,,,,0.0,0.0,0.0,797982.8,736489.9,856263.4,
315,395.3305596027434,7.469616,,,,18.0,,,,,,,0.0,0.0,0.0,694074.94,514446.0,659403.7,
489,395.3307140339405,8.204642999999999,,,,,,,,,,,0.0,0.0,0.0,273674.53,184385.89,233971.42,
480,397.16817735908853,7.940280400000001,,,,,,,,,,,3561810.5,3619918.8,3745102.2,0.0,0.0,0.0,
151,399.1481684894695,5.725589299999999,,,,34.0,,,,,,,0.0,0.0,0.0,2931925.0,3258261.8,3253686.2,
490,399.18393718410965,8.204819,,,,1.0,,,,,,,1868587.4,2141905.0,2262315.0,0.0,0.0,0.0,
168,400.17970115688144,5.992368,,,,,,,,,,,0.0,0.0,0.0,288788.03,391462.44,393096.47,
205,401.28697455434866,6.2443085,,,,,,,,,,,0.0,0.0,0.0,1517338.9,1438889.8,1878982.4,
501,402.1629537035389,8.215294,,,,1.0,,,,,,,356929.97,332975.44,394112.97,0.0,0.0,0.0,
155,402.35737829434504,5.8101172,,,,,,,,,,,0.0,0.0,0.0,311782.38,139989.27,359235.12,
349,408.30811568539724,7.696942,,,,64.0,,,,,,,0.0,0.0,0.0,1346816.5,2298667.2,1779712.5,
398,408.3081543281192,7.7733307,,,,54.0,,,,,,,0.0,0.0,0.0,4527249.5,7784803.5,6539636.5,
223,409.1922933159255,6.6014365999999995,,,,20.0,,,,,,,0.0,0.0,0.0,1023131.1,1062406.1,1065341.4,
522,409.20476765170037,8.267795,,,,,,,,,,,309170.6,320177.53,447957.97,0.0,0.0,0.0,
408,409.27440419177145,7.8197155,,,,,,,,,,,0.0,0.0,0.0,675851.94,474231.78,595268.06,
336,410.3048010085531,7.62207,,,,,,,,,,,0.0,0.0,0.0,440331.66,330351.22,440792.5,
214,411.20795324440803,6.3743042999999995,,,,,,,,,,,0.0,0.0,0.0,372749.9,455104.47,456376.56,
678,411.3838515446655,9.356152999999999,,,,,,,,,,,571884.44,532484.5,693998.25,0.0,0.0,0.0,
192,412.1433048428083,6.106993,,,,19.0,,,,,,,0.0,0.0,0.0,1128885.2,703571.25,852731.9,
543,413.26573875009814,8.377632,,,,31.0,,,,,,,0.0,0.0,0.0,3392231.8,3535303.8,3114337.2,
415,417.22290930630965,7.869105,,,,,,,,,,,191970.44,237701.94,433900.9,0.0,0.0,0.0,
270,421.12957472026534,7.3647227,,,,3.0,,,,,,,643196.56,694572.44,840446.3,0.0,0.0,0.0,
327,421.15582146712336,7.5483365000000004,,,,56.0,,,,,,,0.0,0.0,0.0,274436.03,268314.06,347455.12,
357,421.1558675306452,7.7541720000000005,,,,50.0,,,,,,,0.0,0.0,0.0,652818.94,704944.6,821900.8,
513,421.25074960304437,8.219026,,,,,,,,,,,0.0,0.0,0.0,406899.88,254979.75,329974.97,
576,421.2841268729176,8.693045,,,,,,,,,,,0.0,0.0,0.0,0.0,39503.242,544583.6,
374,423.1450076752247,7.766481,,,,52.0,,,,,,,493333.3,523753.78,632166.9,0.0,0.0,0.0,
111,426.9676013790613,5.103146,,,,,,,,,,,6632280.5,7306138.0,6763790.0,0.0,0.0,0.0,
252,429.318232309084,7.1080309999999995,,,,,,,,,,,0.0,0.0,0.0,680825.06,365406.06,580839.56,
200,430.3885954258844,6.20488,,,,,,,,,,,0.0,0.0,0.0,275812.16,127621.22,356671.38,
730,430.91327198582803,10.233948,,,,14.0,,,,,,,0.0,0.0,0.0,446381.62,441608.06,441494.3,
222,431.17411928844706,6.5996265,,,,20.0,,,,,,,0.0,0.0,0.0,586587.75,599387.9,612249.75,
218,431.17423949441564,6.4319158,,,,,,,,,,,0.0,0.0,0.0,393628.0,415688.78,444809.7,
215,433.18998031681434,6.37253,,,,25.0,,,,,,,0.0,0.0,0.0,3802599.0,4424338.0,4402694.0,
67,433.2064847430641,3.8454866,,,,41.0,,,,,,,0.0,0.0,0.0,108370.22,140299.77,256059.61,
84,433.20669779305877,4.542909,,,,51.0,,,,,,,0.0,0.0,0.0,4720300.0,5378270.0,8173895.5,
134,437.19300085214724,5.577152,,,,30.0,,,,,,,0.0,0.0,0.0,2349523.8,2009082.9,2140853.8,
306,438.11958866505915,7.375222999999999,,,,3.0,,,,,,,975999.56,1007481.1,1104920.8,0.0,0.0,0.0,
