row ID,row m/z,row retention time,row ion mobility,row ion mobility unit,row CCS,correlation group ID,annotation network number,best ion,auto MS2 verify,identified by n=,partners,neutral M mass,NEG_D5-227-C1-c_Run227.mzML Peak area,NEG_D5-227-C1-b_Run224.mzML Peak area,NEG_D5-227-C1-a_Run221.mzML Peak area,Yeast_HE_D5-Ctrl_b_neg_20190515_Run40.mzML Peak area,Yeast_HE_D5-Ctrl_a_neg_20190515_Run37.mzML Peak area,Yeast_HE_D5-Ctrl_c_neg_20190515_Run43.mzML Peak area,Unnamed: 19
567,146.96577808805378,8.690837,,,,62.0,,,,,,,43917670.0,48108860.0,41766980.0,0.0,0.0,0.0,
698,146.98028669736232,10.167394,,,,15.0,,,,,,,0.0,0.0,0.0,3439236.0,9715590.0,3229767.8,
829,147.03088270169232,10.845201,,,,,,,,,,,0.0,0.0,0.0,5764449.0,5561993.0,5763578.5,
154,147.08046984462678,5.8316307,,,,48.0,,,,,,,0.0,0.0,0.0,295731.25,233216.47,255060.53,
178,147.08053055948298,6.1017194,,,,36.0,,,,,,,0.0,0.0,0.0,33783200.0,20449328.0,22549684.0,
478,150.88930985464904,8.241894,,,,,,,,,,,645634.0,411117.12,329115.94,0.0,0.0,0.0,
517,150.88933465604626,8.322533,,,,,,,,,,,1795734.9,2730443.5,2220924.8,0.0,0.0,0.0,
603,150.8893376446741,8.935637,,,,30.0,,,,,,,2758316.8,2595861.5,3689962.2,0.0,0.0,0.0,
750,152.99488280379987,10.343907000000002,,,,63.0,,,,,,,0.0,0.0,0.0,1759399.0,1670331.0,1536843.1,
816,154.0049389944828,10.497665,,,,8.0,,,,,,,0.0,0.0,0.0,2515498.2,2444328.2,2517970.5,
25,154.04996796111053,1.7421817,,,,12.0,,,,,,,0.0,0.0,0.0,1008220.44,1111081.8,2011934.6,
746,154.99016772150532,10.335481,,,,63.0,,,,,,,0.0,0.0,0.0,30634700.0,27373912.0,29119792.0,
781,156.99060755909082,10.378478999999999,,,,63.0,,,,,,,0.0,0.0,0.0,7892164.0,7797681.0,7868386.5,
