sample_name	filename	ATTRIBUTE_GROUP
2024_NEG_Y-EV_1_CTRL_Run89.mzML	2024_NEG_Y-EV_1_CTRL_Run89.mzML	CTRL
2024_NEG_Y-EV_2_CTRL_Run118.mzML	2024_NEG_Y-EV_2_CTRL_Run118.mzML	CTRL
2024_NEG_Y-EV_3_CTRL_Run139.mzML	2024_NEG_Y-EV_3_CTRL_Run139.mzML	CTRL
2024_NEG_Y-p11_1_Run98.mzML	2024_NEG_Y-p11_1_Run98.mzML	EXP
2024_NEG_Y-p11_2_Run127.mzML	2024_NEG_Y-p11_2_Run127.mzML	EXP
2024_NEG_Y-p11_3_Run151.mzML	2024_NEG_Y-p11_3_Run151.mzML	EXP
