"","filter","Anid_HE_TJG15pt3_EV_alcA_CTRL_1_YT_neg_20210511_Run47.mzML","Anid_HE_TJG15pt3_EV_alcA_CTRL_2_YT_neg_20210511_Run103.mzML","Anid_HE_TJG15pt3_EV_alcA_CTRL_3_YT_neg_20210511_Run213.mzML","NEG_TJGIp3_1_Run56.mzML","NEG_TJGIp3_2_Run138.mzML","NEG_TJGIp3_3_Run174.mzML"
"177/213.0881mz/2.05min",1081330.75,1091048.2,509892.72,516653.53,1082869,1158438,1079792.5
"178/229.1193mz/2.03min",28287.8925,25836.178,2310.5048,11552.524,30739.607,31164.072,51267.332
"179/231.1349mz/2.06min",23305.517,3652.4658,17903.43,730.49316,28707.604,49286.43,34958.01
"180/259.1298mz/2.07min",28116.416,19048.47,3515.23,24645.182,31587.65,46345.74,41570.4
"181/225.0881mz/2.08min",5872497.5,6004520.5,4990119.5,4938899,5972482,6241414.5,5772513
"182/218.1034mz/2.11min",4495194.25,4320134,3436624.8,3550657,4910830.5,4670254.5,4858600.5
"183/188.0928mz/2.13min",179252.32,176442.84,154817.62,152205.61,182061.8,197507.16,219968.52
"184/144.0666mz/2.14min",5714591.25,5394218.5,4937351,4786195,6034964,6764140.5,6783970.5
"185/145.0506mz/2.14min",1322821.7,1459906.6,947109.44,1365864.5,1279778.9,1223509,1531539.6
"188/184.0615mz/2.24min",274020.98,249611.47,250754.78,261270.34,286771.62,387032.25,311152.7
"189/243.1349mz/2.24min",324112.79,311795.7,263653.3,207391.83,432605.3,336429.88,345851.03
"191/118.051mz/2.26min",102961.12,18882.148,649110.5,108105.73,2926702.8,97816.51,44669.707
"192/181.0718mz/2.31min",39595.7,1569.9251,25865.826,7849.6255,1554866.1,162400.98,53325.574
"193/222.0772mz/2.34min",813658.33,818667.06,649239.7,706508.5,808649.6,875848.44,896288.4
"195/111.02mz/2.29min",51056.9565,1682.2,52966.023,91038.08,527667.56,8411,49147.89
"197/117.0193mz/2.29min",10357.3415,974.2774,16329,15843.296,376097.06,974.2774,4871.387
"199/128.0353mz/2.34min",80660.7,5374.5488,100831.29,26872.744,477525.3,60490.11,233455.25
"202/144.0455mz/2.35min",975882.475,1134322.8,1529922.9,914013.1,988927.7,837929.56,962837.25
"203/227.1038mz/2.35min",3764029.7,3848231.8,3287584.5,3230047.2,3821379.2,3894965.2,3706680.2
"204/116.0717mz/2.37min",250343.025,237953.25,262732.8,227124.1,323913.22,232303.83,318109
"205/158.0822mz/2.37min",1870242.9,1828318.2,1765233.9,1912167.6,1950474,1715877,2086085.8
"206/226.0697mz/2.37min",61748.963,57712.727,65718.34,70620.15,30218.387,57779.586,83166.03
"207/194.0458mz/2.39min",1001809.63,1008394.7,880258.56,931751.8,995224.56,1010873.2,1117478.6
"209/136.0404mz/2.41min",439049.235,472529.47,460758.78,399410.94,452501.25,354271.1,425597.22
"210/227.1399mz/2.4min",874114.92,703846.9,1044382.94,364868.78,1053901.6,1144812.4,640097.4
"211/188.0353mz/2.4min",263621.01,262610.22,228752.94,278123,255288.28,289917.28,264631.8
"212/259.1298mz/2.41min",1326129.05,1285481.5,911272.06,1139344.6,1372325.8,1369077,1366776.6
"213/175.0612mz/2.43min",1309427.35,1118792.1,636195.44,1110509.6,1930053.1,1500062.6,1652168.6
"214/227.1038mz/2.47min",2475345.5,2508676.2,2110531.8,2159141.2,2444588.5,2525241.2,2506102.5
"215/192.0667mz/2.47min",164913.335,163705.55,170025.83,131128.92,140485.2,166121.12,177922.67
"217/213.0881mz/2.5min",75073.63,75845.19,65390.56,64601.875,74302.07,82893.73,79046.94
"218/126.0019mz/2.51min",562373.5,526087.6,498238.84,656017.5,579956,544791,592294.44
"219/214.1085mz/2.53min",140187.305,179606.6,150680.62,121577.18,128597.14,141152.3,139222.31
"220/287.1248mz/2.54min",710133.68,706222.3,396277.1,714045.06,630851.06,793074.5,716014.1
"221/228.0878mz/2.57min",948335.4,756341,653818.5,404302.22,1140329.8,1370312.8,1181708.6
"222/245.0931mz/2.57min",88115.12,81417.99,100174.03,57272.156,92768.71,121513.28,83461.53
"225/157.087mz/2.59min",249279.68,247776.72,159542.14,98501.49,404001.7,388821.5,250782.64
"228/131.0713mz/2.62min",42201.2315,48298.773,63421.98,33981.957,60671.14,36103.69,32420.152
"229/178.0509mz/2.62min",560308.345,597586.7,491990.5,472134.47,550095.94,584488,570520.75
"230/238.0755mz/2.62min",367073.06,357451.22,682753.06,314668.56,324974.94,376694.9,459917.94
"231/229.1193mz/2.63min",378218.45,460689.97,353183.6,297997.9,375874.78,430329,380562.12
"232/236.0929mz/2.64min",82477.03,80319.44,65900.336,64573.55,87578.28,96238.48,84634.62
"233/173.0931mz/2.66min",600859.85,592545.9,499991.72,557622.4,647137,609173.8,617236.25
"234/241.1194mz/2.65min",2803264.2,3031254.2,2654453,2715671.8,2749782.2,2856746.2,2913754.8
"235/130.0873mz/2.66min",2882417.75,2964133,2402479.8,2596846,2869446,2895389.5,3127236.5
"236/242.1226mz/2.66min",320261.39,353878.12,303487.88,311721,312878,327644.78,344552.6
"237/275.1037mz/2.68min",246130.465,259420.53,210319.55,238605.03,236243.58,253655.9,270907.62
"238/300.1563mz/2.71min",626434.93,703999.8,485325.3,548870.06,536190.94,752049.25,823416.7
"240/273.1455mz/2.78min",275818.235,568570.75,343253.8,134917.94,433818.12,183984.88,208382.67
"241/339.1535mz/2.72min",414721.065,292753.78,452634.53,452869.9,321893.06,376807.6,546572.4
"242/158.0822mz/2.73min",10816756.5,10356726,8738520,9436480,11276787,11757955,11963436
"244/208.0073mz/2.74min",599216.925,586219.6,474160.2,395234.97,612214.25,642738.9,614094.06
"245/226.0697mz/2.77min",356671.34,343167.8,348397.88,389257.84,342746.62,364944.8,374519.78
"246/259.1298mz/2.74min",1910718.7,2037500.6,1541911.8,1492008.9,1965275,2128558.5,1856162.4
"247/151.0401mz/2.76min",383402.835,379430.2,361607.84,289071.16,447681.75,409039.06,387375.47
"250/242.1226mz/2.8min",485630.27,633359,433873.38,416897.34,484426.6,639713.1,486833.94
"251/257.1506mz/2.76min",121313.083,135746.03,95735.49,116602.83,111124.08,126023.336,126140.46
"252/107.0502mz/2.76min",543779.65,552512.7,500641.3,457783.1,622454.44,559725.3,535046.6
"253/168.0301mz/2.76min",418411.42,413154.28,297372.06,479714.5,359610.16,423668.56,455322.3
"254/360.1776mz/2.76min",552138.68,574933.06,385329.5,401196.12,529344.3,705579.25,708519.94
"256/229.1192mz/2.77min",971689.62,1071317.9,816333.94,771753.1,966711.44,1033289.25,976667.8
"260/192.0666mz/2.78min",161004.375,198011.17,173240.45,160429.67,115214.96,161579.08,157517.94
"261/131.0713mz/2.78min",2257438.75,2635607.2,2287156.5,2581735,2227721,1889974.6,1944133.4
"263/188.0353mz/2.78min",272075.98,255086.11,240752.45,258941.02,285210.94,330823.25,290606.4
"264/116.0506mz/2.79min",603648,579471.06,533882.6,503076.97,627824.94,723343.3,651429.2
"265/172.0979mz/2.8min",277960.765,274846.53,253183.5,247923.86,285072.56,281075,283791.56
"266/243.0597mz/2.79min",162931.085,173242.53,152619.64,209367.75,185728.27,53643.594,100179.18
"267/339.1536mz/2.81min",445358.03,340754.22,526496.2,422900,401772.28,467816.06,591340.75
"268/158.0822mz/2.81min",16956148.5,16140113,13992656,14843354,17772184,18801210,19182152
"270/226.07mz/2.81min",504383.125,476544.75,486590.28,522175.97,477044.3,533251.9,538490.25
"271/384.1428mz/2.86min",136082.22,119126.79,171418.81,86832.59,125926.92,164887.73,146237.52
"272/273.1456mz/2.83min",742323.405,971221.3,548493.9,561010.4,797205.75,687441.06,912679.44
"274/483.2458mz/2.85min",223627.535,251351.03,169377.56,160470.47,215216.38,287298,232038.69
"275/118.051mz/2.87min",48299.055,308257.38,25945.57,70652.54,151467.95,15142.797,22316.623
"277/241.1194mz/2.85min",7996697.5,8719396,6975125,7035724.5,7931949.5,8572922,8061445.5
"278/243.1348mz/2.86min",834132.62,939040.3,753862.44,500857.3,893034.3,906305.94,775230.94
"279/293.1143mz/2.86min",637572.375,668926,452183.38,491722.7,606218.75,792150.9,671796.3
"280/255.1349mz/2.87min",191496.33,214599.08,167421.02,183979.55,179164.4,199013.11,202334.58
"281/426.1897mz/2.88min",491129.09,481859.12,500399.06,275540.94,480618.12,653312.1,508351.03
"283/341.1005mz/2.9min",372769.19,336308.22,302784.1,234376.05,409230.16,464944.34,440006.66
"284/227.1037mz/2.9min",148644.215,151110.27,115161.68,143404.52,147153.45,150134.98,152658.34
"286/130.0873mz/2.91min",1272831.55,1443396,1059819.4,1174779,1041481.75,1401704.8,1370884.1
"288/240.0853mz/2.91min",371927.04,364629.56,384759.4,923733.6,365104.34,368251.7,375602.38
"289/384.1428mz/2.92min",357356.22,363994.97,333187.22,214100.08,350717.47,479017.53,386875.62
"290/367.1848mz/2.92min",252778.21,236999.95,285713.66,298677.2,154835.4,235604.62,268556.47
"291/224.0928mz/2.94min",407504.655,451546.28,356370.4,420767.97,399001.9,400974.53,414034.78
"292/273.1456mz/2.94min",555989.84,445769.12,270704.25,283284.5,666210.56,669537.56,951006.25
"293/317.1352mz/2.94min",737267.55,560385.1,338924.8,410191.97,914150,918223.44,1364822
"294/167.035mz/2.92min",106962.08,111170.18,51169.57,104944.2,89567.59,108979.96,146046.42
"295/230.1033mz/2.95min",297659.72,306783,211518.81,257048.77,288536.44,318109.97,321663.22
"296/171.1028mz/2.95min",2602821.25,2545849,1939913.2,1185213,3912292.5,2842937.8,2659793.5
"297/186.1135mz/2.95min",1237371.35,1463137.9,929137.5,864202.25,1201670.6,1273072.1,1651300.1
"298/231.1349mz/2.95min",872649,861525.9,652832.3,415493.56,1362861.1,986899.44,883772.1
"300/236.0928mz/2.96min",403901.535,420392.6,347860.5,329455.66,387410.47,430332.3,421622.1
"301/426.1897mz/2.97min",975332.3,960306.9,904498.7,516713.6,990357.7,1345308.6,1012713.56
"302/173.1011mz/2.92min",1077910.45,1071306.9,814195.2,1141638.5,1010774.75,1175748.4,1084514
"303/130.0873mz/2.96min",1452768.15,1686441.1,1438083.1,1397472.9,1466426.1,1596646.8,1439110.2
"304/192.0666mz/2.97min",3366345.9,3597811,3683569.2,1980855.2,3397690,3335001.8,2447521.8
"305/172.0979mz/2.91min",11788297,12052883,9004134,22610090,8999180,11729638,11846956
"307/341.1005mz/2.98min",559671.33,535352.56,436911,357194.9,583990.1,709573.2,618022.1
"308/257.1506mz/2.99min",239141.525,308501.44,198640.16,176727.12,233577.77,256573.47,244705.28
"310/275.1037mz/2.99min",2114509.7,2230337,1806815.2,1816401.9,2100278.2,2270832,2128741.2
"311/456.2002mz/3.0min",255916.21,260081.7,276441.44,157817.78,251750.72,351432.78,244907.53
"312/221.0931mz/3.02min",9976890,10599535,9855014,9658485,8401229,10098766,11486856
"313/255.135mz/3.02min",198996.825,214713.61,204101.84,133167.28,217775.34,193891.81,150835.69
"314/165.0556mz/3.02min",729924.33,707749.1,654854.56,458807,858049.6,885160.06,752099.56
"315/325.1056mz/3.02min",416347.89,398071.12,362127.06,279195.2,444401.47,500183.1,434624.66
"317/136.0404mz/3.05min",159500.185,156666.95,137920.12,132560.6,162333.42,178528.23,164760.11
"318/173.0818mz/3.04min",1500487.8,1234346.2,958028.1,760568.7,1896570.4,2030508.1,1766629.4
"319/164.0354mz/3.05min",2497614.25,2494853,2246296,2127112.2,2637780,2845562.8,2500375.5
"320/120.0455mz/3.05min",560866.905,564099.25,490137.9,452741.12,593528.25,637209.6,557634.56
"323/456.2003mz/3.1min",485870.975,501392.44,495692.7,277598.06,475365.34,661185.44,476049.25
"324/255.135mz/3.12min",876280,918105.6,849189.7,584235.2,903370.3,1002279,727283.9
"325/206.0822mz/3.12min",3860842.35,4162824.8,3843150.2,2898816.8,3843514.2,4248187,3878170.5
"326/325.1057mz/3.13min",531509.49,520027.38,440642.16,364767.78,548028.3,645018.7,542991.6
"327/188.0353mz/3.14min",627026.57,656840.5,757300,462862.12,621085.44,617747.44,632967.7
"329/159.1027mz/3.15min",72088.41,57385.95,44134.027,23788.766,86790.87,100514.29,132352.64
"331/188.0928mz/3.16min",251762.11,297596.2,506230.62,230750.12,170433.47,212770.95,272774.1
"332/271.1663mz/3.16min",95443.5075,126537.39,86871.086,76804.08,90422.71,103107.28,100464.305
"333/299.1724mz/3.17min",319679.59,273502.62,254514.7,117850.9,365856.56,365938.9,431946.6
"335/294.0984mz/3.18min",248354.98,244901.16,99172.734,155696.81,251808.8,389344.12,328369.12
"336/160.0404mz/3.2min",1450428.85,1481933.2,1587384.2,940915.6,1360036.8,1463482.9,1437374.8
"337/116.0506mz/3.2min",437488.235,455444.06,478284.97,134629.98,413970.22,446620.75,428355.72
"339/245.0931mz/3.2min",1571986.15,1778629.1,1366942.9,1411114.8,1428046.8,1771107.9,1715925.5
"340/250.0721mz/3.21min",360507.19,371545.78,336745.34,315371.03,349468.6,412937.44,373133.44
"342/269.1507mz/3.22min",1128301.55,1367598.6,1050853.1,971392.94,1159129.9,1312167.9,1097473.2
"343/171.0663mz/3.23min",364290.295,309607.75,231234.52,220412.53,429035.38,771203.7,418972.84
"346/257.1507mz/3.24min",2534705.35,2793321.5,1344707.4,810444.4,2738785.2,2843985.2,2330625.5
"347/178.051mz/3.25min",2460544,2701724.8,2309202,2390689.8,2410799.5,2510288.5,2683876.8
"348/157.087mz/3.26min",511557.975,421119.7,318869.2,232203.8,601996.25,752653.4,631840.4
"349/214.1085mz/3.27min",198587.12,260309.75,161427.7,176439.47,221838.19,220370.94,176803.3
"350/144.0455mz/3.27min",490294.83,619315.8,671242.5,411905.53,491988.88,473420.25,488600.78
"351/261.1343mz/3.27min",259359.635,227510,300229.16,150345.62,261791,296303.53,256928.27
"352/380.1575mz/3.28min",92017.067,93363.9,90670.234,74798.016,82190.03,105837.31,101163.25
"353/227.0926mz/3.28min",150458.54,68772.7,38956.89,146785.81,154131.27,373430.44,171749.11
"354/164.0354mz/3.29min",169831.07,176618.58,119252.94,145517.1,163043.56,177526.72,207074.56
"355/305.1506mz/3.3min",22678.67,23923.438,20804.318,16144.218,21433.902,27409.832,27619.723
"356/229.1193mz/3.29min",55489.54,31863.89,34794.36,20143.033,76184.72,76887.516,136355.03
"360/138.0197mz/3.32min",1188240.15,1110769.4,885026.25,935043.1,1265710.9,1399146.6,1356465.9
"362/218.1047mz/3.33min",52514.74,70508.5,59418.21,46274.86,43262.32,53876.668,51152.812
"363/193.0506mz/3.35min",369846.23,306427.62,179436.86,249730.14,433264.84,480751.53,532413.94
"364/130.0873mz/3.36min",118579.985,105596.37,206066.44,91241.06,97629.21,131563.6,217363.89
"365/186.1136mz/3.35min",2792138.35,2884688.2,2474596.5,2059337.4,2705479.2,2883320,2878797.5
"366/241.1194mz/3.36min",239521.835,245805,85687.484,233238.67,183180.42,286050.72,272678.94
"367/271.1663mz/3.36min",895768.33,1185631.6,845989.1,759530.44,804806.3,1037680.5,945547.56
"368/261.1343mz/3.36min",1425706.5,1268114.6,1528485.4,881181.44,1449780.8,1588303.6,1401632.2
"370/314.1035mz/3.37min",131863.13,122834.98,113825.68,80359.11,140891.28,149155.88,145424.05
"371/245.0455mz/3.38min",45128.2885,41530.723,24153.201,41907.35,48349.227,51565.652,59595.71
"372/287.1247mz/3.39min",30285.056,96071.71,142402.62,34005.805,11539.995,26564.307,17672.334
"375/157.087mz/3.42min",104477.6725,85784.16,93999.54,59613.797,114955.805,189729.45,168867.81
"376/243.1237mz/3.42min",107920.5,94114.15,123537.125,89925.766,85386.32,159174.25,121726.85
"377/156.0667mz/3.42min",63905.5515,68771.9,69837.29,59039.203,52503.418,45169.94,70950.24
"378/189.113mz/3.42min",161995.86,149010.05,134481.92,69286.805,196588.17,211762.56,174981.67
"379/271.1663mz/3.42min",823733.35,901383.7,642312.5,810241.4,659935.56,900195.7,837225.3
"380/242.1398mz/3.44min",126850.543,99064.336,95175.016,59043.34,154636.75,211950.94,172979.48
"382/241.0618mz/3.44min",365441.81,301723.88,266276.1,372974.62,357909,430607.56,548225.94
"384/257.103mz/3.45min",1983893.2,1325118.2,969534.6,938761.7,2642668.2,3463582,4367504
"386/213.1132mz/3.45min",326536.29,225351.88,121598.33,146823.28,427720.7,542920.94,716759
"387/209.0794mz/3.45min",1868286.85,1592474.4,1647146.1,1570192.4,2089427.6,2181807.5,2460824.8
"388/397.1842mz/3.45min",223812,161052.08,174139.9,142330.22,273484.1,301823.12,354172.47
"389/125.0971mz/3.45min",1542232.1,1250062.8,984737.7,864458.7,1848724.1,1834401.4,2056636.1
"390/187.0976mz/3.45min",43823353,34929676,29550620,25399812,52867388,52717030,58462810
"391/291.135mz/3.46min",434117.065,443628.66,424605.47,243640.88,471654.9,481480.53,362745.88
"392/313.188mz/3.46min",3389600.25,3171564,2816409,2214868.5,3900994.2,3607636.5,4897708.5
"393/228.103mz/3.47min",2849643.75,3078564,2760070,2208067.8,3066941,2939217.5,2720667.5
"394/191.0746mz/3.46min",119181.475,131285.88,91806.555,105576.305,112012.22,126350.73,129600.03
"396/230.1032mz/3.48min",790647.35,807598.3,728677.7,621769.44,773696.4,966961.56,955008
"398/220.0978mz/3.49min",986613.85,993126.4,900127.7,724671,980101.3,1115192.6,1025215.8
"399/318.0981mz/3.49min",156264.6975,71864.06,96187.26,115326.875,197202.52,226334.94,386045.5
"400/156.0667mz/3.49min",51673.385,47411.84,55934.93,38687.24,58635.15,47052.684,62641.453
"401/245.1393mz/3.51min",249899.03,176182.31,115351.61,111919.06,323615.75,419069.9,527212.25
"403/397.2008mz/3.54min",388434,715505.7,452303.3,408743.66,310274.28,291208.06,368124.34
"404/200.0928mz/3.55min",971890.25,1082907.5,880780.3,965518.44,922217,978262.06,1134605.4
"405/156.1029mz/3.55min",555321.42,721300.06,511039,491333.06,544818.4,579366,565824.44
"406/144.0455mz/3.55min",115111.9075,108295.12,152102,22764.494,4552.8988,141722.77,121928.695
"407/222.0772mz/3.57min",295815.42,298216.44,258102.66,175968.92,293414.4,324260.88,350287.47
"408/243.1237mz/3.57min",2590942.25,2375271.5,1460402,1168161.2,2806613,3779981,3104045.2
"409/305.1506mz/3.57min",81138.805,98028.58,72228.414,63641.06,77721.3,100985.96,84556.31
"410/354.2033mz/3.59min",252475.375,334482.4,108676.266,217491.48,241641.81,288938.66,263308.94
"411/271.1664mz/3.6min",4583440,4319502.5,3601517.8,3020989.2,4847377.5,5119383.5,5765552.5
"412/339.1537mz/3.6min",151717.12,132573.53,148092.34,142367.47,155341.9,178091.42,226892.1
"413/211.134mz/3.6min",116236.415,102241.37,77910.82,85789.53,130231.46,142926.86,220639.62
"414/272.1698mz/3.6min",542615.455,499606.66,432683.5,367743.8,585624.25,620241.75,780480.75
"415/269.1508mz/3.63min",51053.0895,58004.773,28296.42,11234.766,44101.406,133764.92,64992.4
"416/191.0748mz/3.61min",323778.04,392281.34,265235.34,318434.38,295587.53,353103.06,329121.7
"418/151.0261mz/3.63min",122589.68,112703.67,84923.49,55784.07,132475.69,174726.3,155081.19
"419/257.1508mz/3.66min",119270.315,146943.4,106863.58,92245.93,106103.734,149576.17,131677.05
"423/285.182mz/3.69min",6775916.25,8555546,5904787,5685149.5,5845389,8084368.5,7647045.5
"424/571.3711mz/3.69min",76334.0815,119273.445,51373.4,55151.973,45843.848,121921.47,97516.19
"425/155.1078mz/3.69min",1931687.5,1977831.8,1399144.2,1439179.2,2172769.5,1907400,1955975
"426/199.0976mz/3.69min",5506332,5475703,4102197.5,4148100,6021353.5,5536961,5653253
"427/200.1009mz/3.69min",588658.405,588483.25,436076.03,437927.12,646407.94,588833.56,601113.7
"428/221.0795mz/3.69min",426825.24,423767.6,391332.94,419802.75,487505.16,429882.88,471861.62
"429/214.1448mz/3.7min",61461.447,59995.094,64521.633,55236.625,64970.336,58447.133,62927.8
"430/228.0666mz/3.71min",543845.64,475194.84,436894.66,288952.56,612496.44,684215.5,648485.56
"431/192.0666mz/3.73min",648782.8,670251.9,572438.3,537911.1,627313.7,754962.4,828551.3
"433/130.0873mz/3.74min",94456.695,92081.375,180735.4,60799.613,95198.59,93714.8,101630.03
"434/200.1292mz/3.74min",3387384.4,3495608.8,2982703,2449429.2,3279160,3645481.2,3499759.5
"435/228.0877mz/3.74min",56308.04,39819.36,38582.848,25523.715,72796.72,92361.05,92675.22
"437/339.0178mz/3.75min",100857.113,99070.836,38088.293,90815.14,103001.59,102643.39,185156.88
"438/300.1451mz/3.75min",979400.1,660664.1,460423.5,446940.9,1298136.1,1460064.5,1839508.6
"439/257.1007mz/3.75min",87085.6075,68479.34,73125.59,67554.95,111887.04,115625.28,101045.625
"440/171.1027mz/3.75min",9544118,7444214,6747277,5694943,11644022,11835973,13506745
"441/189.1132mz/3.76min",1087457.55,845859.9,774086,682153.06,1329055.2,1419499.2,1631026.2
"443/459.2824mz/3.78min",2223932.8,1660996.6,816735.06,2066135.4,3055220,2381730.2,3123354.2
"444/305.1506mz/3.78min",359970.345,385597.03,334343.66,230138.02,393744.16,423627.28,315099.6
"445/159.1026mz/3.79min",148104.935,143360.23,152849.64,72790.49,154526.39,156511.72,113753.51
"446/292.0826mz/3.79min",196531.68,174780.48,71605.09,129444.484,218282.88,349918.4,297711.34
"447/395.077mz/3.8min",64588.118,45644.12,39805.91,70833.08,61472.766,67703.47,121395.93
"448/412.1037mz/3.8min",563600.3,563569.8,388808.38,631442.5,545596.56,817398.75,563630.8
"449/287.1725mz/3.81min",2543709,2832481.2,2871348,2117066.8,2513467.8,2453708.8,2573950.2
"450/236.0962mz/3.81min",604533.85,631209.5,577858.2,346369.84,290172.72,1134617.9,735551.44
"451/273.0405mz/3.82min",33528.6065,15168.295,3033.659,65166.793,39752.707,27304.506,70037.45
"452/300.1451mz/3.82min",632644.88,486398.16,309239.25,387434.72,778891.6,975757.4,1153428.5
"453/201.1133mz/3.83min",471231.345,493488.94,413901.66,289748.06,448973.75,750926.1,551466.2
"454/261.0768mz/3.83min",567560,335013.8,338749.88,674415.56,566214.44,568905.56,1129356.9
"455/123.0816mz/3.84min",275604.99,236580.98,171493.62,145322.75,314629,485046.62,354918.56
"456/185.0819mz/3.83min",2867906.75,2434548,1941219.4,1662337.2,3301265.5,4916319.5,3675261.8
