Filename,2024_POS_Y-EV_1_CTRL_Run88.mzML,2024_POS_Y-EV_2_CTRL_Run117.mzML,2024_POS_Y-EV_3_CTRL_Run138.mzML,2024_POS_Y-6MSAS_1_Run91.mzML,2024_POS_Y-6MSAS_2_Run108.mzML,2024_POS_Y-6MSAS_3_Run135.mzML
Class,CTRL,CTRL,CTRL,EXP,EXP,EXP
377/282.1196mz/2.01min,1744130.2,1838192.1,3773860.8,1643824.9,1814210.8,1563947.1
379/158.0812mz/2.06min,10162038.0,11787009.0,12334134.0,8882953.0,9438457.0,7424395.0
381/381.1519mz/2.1min,570253.94,676393.75,656280.9,409294.6,337509.34,269529.62
382/99.5121mz/2.11min,604648.75,186223.0,371107.56,75936.74,125473.984,251750.94
383/380.1485mz/2.1min,4683881.0,4665987.5,5659207.0,3449329.2,2882396.5,2349097.0
384/244.1907mz/2.11min,637374.56,597833.8,1110399.5,626821.0,492922.47,539460.5
385/251.1502mz/2.12min,259388.27,314678.3,686335.4,244969.66,317707.6,283413.5
386/112.0756mz/2.13min,293251.7,386460.12,334832.03,260317.83,266568.22,207164.12
387/261.1444mz/2.14min,20329.219,22692.406,137899.05,5723.2354,34337.902,17637.969
388/247.1077mz/2.16min,18237.295,34988.438,124025.78,16360.783,41283.453,16135.776
390/290.087mz/2.17min,413871.28,455834.4,1289858.6,374315.66,509065.78,453594.7
392/302.1961mz/2.18min,103122.414,132624.47,218273.6,54263.812,92966.83,83242.4
393/220.1179mz/2.18min,601485.4,646740.25,901207.75,530498.3,719660.25,547404.2
394/184.1695mz/2.22min,3007995.8,2634294.8,4312386.0,3019765.5,2239969.8,2440482.5
395/384.1148mz/2.22min,1070292.6,1264514.2,1272040.9,1016580.9,957278.75,942159.8
396/242.1862mz/2.24min,654354.25,718636.9,1698891.1,578856.06,721658.7,650923.56
397/443.177mz/2.24min,666725.1,726268.7,1767865.0,575967.1,775371.56,672949.7
398/188.0706mz/2.25min,4925287.5,5213825.5,6598833.5,4515362.0,4278920.0,4340489.5
399/200.1046mz/2.25min,6213858.0,6351282.0,6177002.5,6305715.5,6348231.0,6249416.5
400/205.0971mz/2.25min,3823960.2,4002189.8,4935510.5,3496022.5,3299940.0,3246817.5
401/217.1247mz/2.25min,568641.94,552631.5,524716.56,559561.3,560974.56,566450.0
402/218.1281mz/2.25min,7671792.0,7707164.0,7364754.0,7765374.0,7666489.5,7640478.5
403/199.1012mz/2.26min,477690.3,477538.66,474440.6,489449.6,484818.25,489464.22
404/434.213mz/2.27min,338585.4,369913.38,929497.9,295583.53,394138.3,251631.75
405/195.1227mz/2.28min,664522.94,614242.9,666269.2,668922.94,577743.9,524573.25
406/217.1046mz/2.28min,260846.55,264020.44,276977.16,263502.2,270355.34,211907.1
407/259.1764mz/2.29min,411286.16,449519.7,410409.8,433000.84,454713.0,390118.2
408/324.0747mz/2.31min,506443.8,375136.0,1200357.5,264819.03,388851.38,135798.95
409/244.2012mz/2.3min,985130.06,982838.0,977072.94,932771.0,1015885.0,1012381.3
410/231.1703mz/2.3min,141845.4,156320.86,258546.95,158531.6,143992.55,140052.88
412/190.0497mz/2.33min,31263.107,32114.701,76573.625,24718.367,43282.234,30217.057
413/247.1076mz/2.33min,245302.19,272186.88,647664.8,224557.08,295001.2,245815.48
