row ID,row m/z,row retention time,row ion mobility,row ion mobility unit,row CCS,correlation group ID,annotation network number,best ion,auto MS2 verify,identified by n=,partners,neutral M mass,GF_MC_RCG_Ctrl_2_neg_20210511_Run147.mzML Peak area,GF_MC_RCG_Ctrl_1_neg_20210511_Run68.mzML Peak area,GF_MC_RCG_Ctrl_3_neg_20210511_Run159.mzML Peak area,GF_S4_MC_RCG_2_neg_20210511_Run91.mzML Peak area,GF_S4_MC_RCG_3_neg_20210511_Run171.mzML Peak area,GF_S4_MC_RCG_1_neg_20210511_Run71.mzML Peak area,Unnamed: 19
1897,397.2454218726973,3.0182755,,,,,,,,,,,272597.6,381526.94,317205.03,174530.58,168865.6,122967.9,
3223,397.29576162316397,8.079561,,,,,,,,,,,174148.48,164827.39,53683.312000000005,216360.69,0.0,692541.4,
3221,397.3320586010162,8.135385000000001,,,,179.0,,,,,,,856915.5,484623.62,798761.5,493718.2,528604.25,1164814.2,
2966,397.33208830433074,7.324592999999999,,,,,,,,,,,3083972.2,1901123.9,3057392.2,2103375.5,2359029.2,1620171.2,
2955,397.3321132728076,7.2366943,,,,17.0,,,,,,,200637.45,191113.34,239800.95,236296.0,240063.56,195406.56,
3170,397.332118382053,7.8067603000000005,,,,,,,,,,,1424807.2,1203114.9,1515398.5,1012032.5,1875519.5,1960631.8,
3091,397.3321196534097,7.6792164000000005,,,,4.0,,,,,,,744487.06,444679.5,705665.06,408221.28,489247.53,649339.6,
3304,397.3684855219119,8.287104,,,,28.0,,,,,,,161912.88,109691.48,155640.19,21129.879,79641.88,103591.26,
3408,397.3685979687082,8.999897,,,,,,,,,,,7575167.5,4176708.5,5973767.5,1700108.5,1475820.6,1949367.6,
3427,397.3687693992244,9.261028,,,,,,,,,,,93410.53,18966.047,52783.187999999995,0.0,0.0,0.0,
645,398.1830025158713,1.1329921,,,,58.0,,,,,,,11017.04,38769.67,189841.97,3096768.2,3871495.5,3521856.2,
2156,398.1932979664294,3.3970451,,,,67.0,,,,,,,1036959.6,1505985.6,1533070.8,1636341.4,1497047.6,1306782.5,
2524,398.22963612229205,4.529768499999999,,,,,,,,,,,129547.875,200785.03,291234.0,75557.984,47217.402,36627.523,
2488,398.2296525060753,4.366746,,,,,,,,,,,431782.0,596259.4,898219.3,115110.74,62311.223,61896.375,
2562,398.22968343773516,4.74838,,,,,,,,,,,70064.016,123306.61,135689.14,84319.29,77879.31,58665.715,
2380,398.22975157052497,3.9181568999999996,,,,,,,,,,,645626.6,923826.75,1371476.6,378236.7,267050.2,259046.48,
3341,399.3478142799127,8.434681,,,,,,,,,,,11553458.0,5579470.0,11104709.0,2483218.5,2711876.2,3834979.8,
3300,399.3479340082495,8.175593,,,,194.0,,,,,,,493662.3,200749.64,441923.38,110306.77,130469.75,270974.62,
3022,399.347962146785,7.6265693,,,,4.0,,,,,,,499068.53,381841.4,327946.6,257063.38,352969.72,610623.94,
1207,400.22005836926127,2.3627422,,,,49.0,,,,,,,1291903.8,1656296.0,2281192.8,3095417.2,2842772.8,3058843.8,
2595,401.1869786537325,4.915788,,,,89.0,,,,,,,588550.2,647416.25,656243.3,495926.03,470257.66,511788.1,
1808,401.20400192707865,2.9633179,,,,184.0,,,,,,,39904.414,72384.984,80296.31,500510.62,437380.38,438548.06,
1281,401.2041178003186,2.4528825,,,,69.0,,,,,,,115552.45,391214.75,489787.5,904774.6,853957.4,868366.06,
1494,402.11830813493424,2.6175813999999997,,,,,,,,,,,553428.6,678218.5,686946.56,0.0,0.0,0.0,
3024,402.3011644775695,7.638940299999999,,,,4.0,,,,,,,969496.0,703998.1,1123439.0,401549.0,465953.8,577402.0,
442,403.18318691172396,0.788238,,,,,,,,,,,140311.88,161396.16,260991.44,516095.94,499449.66,475296.03,
942,405.1776309864383,2.0559416,,,,157.0,,,,,,,11206.556999999999,23723.164,53680.484000000004,1094676.5,781467.25,1024122.06,
2378,405.2145547645666,3.9068815999999997,,,,,,,,,,,142304.88,292560.03,340991.3,33654.23,26939.512000000002,30551.98,
