row ID,row m/z,row retention time,row ion mobility,row ion mobility unit,row CCS,correlation group ID,annotation network number,best ion,auto MS2 verify,identified by n=,partners,neutral M mass,2024_NEG_Y-p12_1_Run95.mzML Peak area,2024_NEG_Y-p12_3_Run133.mzML Peak area,2024_NEG_Y-EV_1_CTRL_Run89.mzML Peak area,2024_NEG_Y-p12_2_Run112.mzML Peak area,2024_NEG_Y-EV_2_CTRL_Run118.mzML Peak area,2024_NEG_Y-EV_3_CTRL_Run139.mzML Peak area,
84,85.02942223226798,0.5473903,,,,5,4,[M+H]+,,2,74;84,84.02156,1851331.2,952396.5,2167861.2,1868436.8,2023626.4,559091.25,
39,85.02943448207431,0.3873069,,,,11,1,[M+H]+,,3,33;36;39,84.02135,861394.75,884493.5,1332960.4,894892.9,1059721.9,952515.9,
177,85.06588322285319,3.131603,,,,,,,,,,,135235.83,149976.61,200423.47,110179.734,234140.6,428468.75,
82,87.00860479990725,0.5368069,,,,5,,,,,,,1433951.4,594295.4,973430.9,1124061.2,1781740.6,1682582.2,
40,87.00862121861904,0.38730812,,,,11,,,,,,,947924.44,950504.2,881645.94,921101.44,900738.25,1186008.9,
504,89.02441354673884,9.854325,,,,,,,,,,,1225321.1,6923507.0,5976888.0,6503860.5,1288022.2,1120660.9,
505,89.0244137640182,9.946031,,,,,,,,,,,6240947.0,1293093.9,1249425.1,1345138.1,6460971.5,6124960.5,
500,89.02441515029136,9.1257715,,,,,,,,,,,378869.62,730096.9,288305.1,505735.62,236825.69,360502.97,
492,89.02441714323709,8.970645,,,,,,,,,,,1957153.0,882471.06,662958.06,1843155.6,1553249.5,1799351.2,
8,92.92802814251051,0.3406907,,,,,,,,,,,154332.5,124775.24,129087.43,137532.14,133467.64,295466.34,
556,96.96012662363096,10.617056,,,,,,,,,,,8853727.0,8657680.0,8486505.0,8607731.0,3694926.5,8677302.0,
6,96.96015093248856,0.32266915,,,,,,,,,,,900654.75,638776.3,567085.0,770492.4,668463.2,646148.06,
7,96.9696323100659,0.33140442,,,,,,,,,,,1701476.8,1635412.5,1613287.5,1713381.4,1939389.8,1521483.4,
477,100.93365171775753,8.438094,,,,,,,,,,,377105.53,1749441.1,371033.4,1775775.8,313244.03,874049.56,
489,100.93365178157649,8.821122,,,,,,,,,,,1415109.5,305438.97,470727.16,825202.44,398919.56,2992499.5,
455,100.93365549738024,8.261249,,,,,,,,,,,513619.66,3017444.2,1087178.4,678446.75,2047086.9,666276.5,
450,100.9336545161447,8.167873,,,,,,,,,,,419849.62,1438490.4,3975952.5,1729311.1,441221.03,479332.1,
444,100.93365470199802,7.956194,,,,,,,,,,,478963.25,627289.25,782430.6,858396.25,1072795.1,652849.2,
447,100.9336548435951,8.127141,,,,,,,,,,,413514.22,987634.25,1167684.6,337934.47,633254.56,292590.47,
422,100.93365558707798,7.838634,,,,,,,,,,,436147.88,973693.5,1271478.2,458797.88,1150849.9,453735.34,
446,100.93365557865813,8.085773,,,,,,,,,,,494222.16,609496.94,1136065.8,337934.47,233368.22,485824.72,
506,100.933661309231,10.2321415,,,,,,,,,,,1192364.8,676554.4,1448070.4,1702497.2,333885.62,587081.5,
11,102.9568631502342,0.34449324,,,,21,,,,,,,434644.5,386520.88,377074.2,383524.38,365040.6,573377.75,
83,111.0088343317953,0.5333169,,,,5,,,,,,,2.5272758E7,1.9608088E7,1.2126495E7,1.3225405E7,2.195469E7,2.5884776E7,
47,111.00884102638305,0.38910362,,,,11,,,,,,,8890435.0,7719769.0,7592627.5,8839771.0,9212510.0,1.2294356E7,
34,112.01218765183448,0.3901312,,,,,,,,,,,483961.28,433106.8,407722.72,277116.97,382384.4,630465.06,
532,112.98567431541602,10.284312,,,,,,,,,,,306251.28,3264917.5,3818942.2,948774.5,3771856.0,1897721.2,
13,112.98567624679951,0.3481923,,,,21,0,[M-H+2Na]+,,2,13;10,68.01436,1282222.0,1281774.8,1240679.5,1227857.8,1186654.0,1389233.0,
178,113.0608463310948,3.1296349,,,,,,,,,,,25284.719,26324.332,37502.145,17725.576,41764.9,91464.484,
156,113.06085806626709,2.8003414,,,,,,,,,,,249665.36,300431.72,313835.66,222843.45,351036.4,720924.5,
475,115.92075103391294,8.43583,,,,,,,,,,,2626151.0,1.2241147E7,2218319.2,2845459.8,3052021.8,2199949.0,
491,115.92075139300346,8.842139,,,,,,,,,,,2058713.1,744799.6,1368835.2,457700.12,4090532.0,2156716.0,
452,115.9207549658929,8.13067,,,,,,,,,,,567555.1,2700743.5,1.5589761E7,581307.5,2897094.8,2434756.0,
465,115.92075524969528,8.283814,,,,41,,,,,,,7326218.5,2206946.8,1783379.1,6097963.5,1.0993412E7,2740897.8,
428,115.92075662855571,7.8404174,,,,33,,,,,,,1397293.2,1103695.2,2061448.5,2504315.0,1938771.2,2443409.5,
437,115.92075764324916,7.956221,,,,,,,,,,,1740963.2,945854.0,2122558.0,1534699.5,1588231.2,2104493.5,
508,115.9207630453513,10.219372,,,,2,,,,,,,4109575.8,3601583.5,4106015.0,3673734.2,3961647.5,3673958.8,
512,116.92856416692489,10.304978,,,,,,,,,,,1371081.5,435072.06,650487.0,800954.44,846133.9,341578.8,
429,116.92856695805249,7.8415337,,,,31,,,,,,,4327065.0,5757388.5,1.0945287E7,5522364.0,6527461.0,5038330.0,
534,116.9285686123345,10.341298,,,,,,,,,,,914424.5,1405346.5,1693864.1,1296533.5,1620666.6,1367544.5,
493,117.01924346780281,8.967561,,,,,,,,,,,308490.06,188302.08,60297.03,102783.53,155634.45,235389.84,
102,117.01933947468054,0.65564173,,,,,,,,,,,2597145.2,3384513.2,2589090.2,2354303.8,2500304.0,4921846.0,
133,117.05576318724701,2.1205146,,,,4,,,,,,,3196564.0,3098349.5,2737682.0,2817045.5,3140698.2,5628634.0,
557,128.0353429758496,10.628518,,,,,,,,,,,2765890.2,2251899.8,2201193.0,2614605.8,2937577.5,3250581.8,
90,128.035354263358,0.61250705,,,,,,,,,,,2697326.2,2451374.0,2988915.0,2597300.2,2294682.8,4522505.0,
54,128.03536390961355,0.40321937,,,,,,,,,,,925554.25,796999.1,628474.2,731482.25,870518.0,1769616.9,
86,129.01936544142043,0.5514119,,,,5,,,,,,,3610388.2,3666736.0,6093642.5,5482500.5,6498432.0,6017221.0,
42,129.01937182664815,0.38735142,,,,11,,,,,,,2631670.2,2730166.8,4233665.0,2952294.5,3499771.0,2602403.0,
147,129.05573761070346,2.528116,,,,,,,,,,,542040.2,259902.92,298262.62,256748.95,205621.94,2364059.0,
141,129.05574825850928,2.4369433,,,,55,,,,,,,2160463.5,1088298.6,821257.75,892343.5,1109955.6,7938902.5,
164,131.07140497331974,2.9250858,,,,,,,,,,,5398282.5,4609266.5,4909828.0,4636572.0,5368762.5,8910363.0,
15,132.03025519959962,0.35575482,,,,44,,,,,,,451403.88,478463.06,597256.44,518271.97,688869.75,415305.94,
93,132.03026113940425,0.65419513,,,,,,,,,,,34332.23,67671.85,224569.45,141722.02,568549.7,20968.137,
478,132.8678542772511,8.601398,,,,,,,,,,,197488.28,769805.25,53720.98,65941.22,223074.52,307693.84,
268,132.86785558393373,5.9251595,,,,,,,,,,,256508.95,106334.4,178595.38,161237.12,105897.945,638650.56,
252,132.86785829437693,5.570418,,,,,,,,,,,431860.22,152075.12,337909.1,351938.7,159089.94,107198.6,
472,132.86786207951297,8.447524,,,,,,,,,,,110616.76,40688.484,75139.33,60418.79,142024.44,156024.1,
507,132.86786293679788,10.211015,,,,,,,,,,,155978.25,143280.16,221110.73,176586.38,166446.5,162863.33,
548,132.8678718175939,10.499131,,,,,,,,,,,1345330.0,1336038.0,837438.56,1019418.44,374452.75,1317733.0,
101,133.01425006810703,0.6468443,,,,,,,,,,,328735.5,865061.44,1097659.5,832600.6,1064056.0,676022.2,
43,133.0142693776073,0.38796666,,,,25,,,,,,,1726677.2,1570540.6,1909259.9,1620847.1,1856834.1,2591198.0,
474,134.89466031234758,8.408893,,,,,,,,,,,290047.53,1445135.8,2330416.0,739885.6,1374920.5,583123.6,
423,134.89466385700254,7.836346,,,,31,,,,,,,380326.4,1259402.1,5039524.5,1558063.6,1353587.1,1363928.6,
413,134.89466418104948,7.524298,,,,,,,,,,,203770.66,97634.36,233570.0,560073.94,785435.4,428367.53,
462,134.89466462236462,8.282556,,,,41,,,,,,,313874.16,1085479.2,3362314.5,1397115.6,1365443.9,991368.3,
408,134.894665550999,7.4432645,,,,,,,,,,,168110.44,782570.5,902922.1,602469.94,1122907.0,651587.7,
443,134.89466725913908,7.9435935,,,,,,,,,,,361652.0,545320.0,1670277.4,742451.75,632510.6,1082014.0,
159,136.04042825795048,2.8290339,,,,,,,,,,,4430096.0,4456114.5,5554352.5,4593133.0,6091058.5,9360481.0,
190,144.0454920615201,3.3939116,,,,,,,,,,,166739.33,157956.67,206891.5,194914.52,207629.9,350988.0,
430,144.92346221401874,7.8545475,,,,33,,,,,,,990920.5,739755.1,2226930.2,1182215.1,1481279.8,1402086.4,
448,144.923465076842,8.134769,,,,,,,,,,,1307794.2,1562836.0,9539415.0,1760043.1,1734851.9,1555028.6,
473,144.9234654592009,8.419014,,,,,,,,,,,1291480.6,1891173.8,2331105.0,1583189.6,1792110.6,1171282.0,
509,144.9234653013169,10.223723,,,,2,,,,,,,2086470.6,1971764.9,2468152.5,1992425.1,2186462.0,1817820.1,
463,144.92346620036184,8.269275,,,,,,,,,,,1339857.9,6690991.5,2788523.2,4471430.5,2883870.5,2872249.8,
442,144.92346630221513,7.959027,,,,,,,,,,,5422604.0,1394944.6,2729978.5,1368065.5,1176081.8,1021217.5,
120,145.05065897259706,0.9789303,,,,,,,,,,,758827.4,665500.1,692384.0,704221.2,662588.44,2386216.0,
110,146.04590193039292,0.7384598,,,,,,,,,,,1388103.8,251787.6,537389.56,245219.52,188833.11,54058.637,
103,146.04590339355795,0.66171014,,,,,,,,,,,205786.55,1312557.6,1536500.5,1340186.1,1461411.4,204566.47,
17,146.0459055546365,0.35947445,,,,52,,,,,,,1537797.6,1370980.5,1593750.1,1503212.4,907113.5,1837515.4,
495,146.9659381036308,9.005624,,,,,,,,,,,561313.7,2751660.2,1252229.8,1369725.5,693242.25,529836.2,
486,146.96594365708827,8.7624235,,,,,,,,,,,1767540.8,6833620.0,8647813.0,3859353.2,6455144.5,2955383.0,
10,154.0622126964298,0.34357718,,,,21,0,[2M+NH4]+,,2,13;10,68.01436,481865.3,514499.38,589537.75,550669.6,645132.25,417909.9,
33,155.00987289469697,0.38555297,,,,11,1,[2M-2H2O+Na]+,,2,33;39,84.02135,830972.44,710015.2,46441.45,908225.6,27065.293,254026.34,
129,156.06662986260415,2.0580752,,,,,,,,,,,724673.44,703287.56,1941036.9,771038.44,2403060.0,2666349.5,
157,157.0505889277025,2.79978,,,,,,,,,,,2195722.8,2727743.2,2776096.2,1959438.5,3133822.5,6316448.0,
5,158.97850095751826,0.31032506,,,,,,,,,,,433178.1,515978.7,500331.0,487392.44,550333.56,449127.34,
537,160.84196715564144,10.437917,,,,,,,,,,,190651.31,314749.5,282082.25,202473.81,287790.3,161181.33,
112,161.04553121163124,0.7879434,,,,,,,,,,,1.058433E7,8697269.0,1.2606812E7,9688956.0,1.2241577E7,1.368014E7,
439,161.91356514543997,7.9445662,,,,,,,,,,,174800.61,155234.14,474334.8,288049.0,224005.78,208435.12,
425,161.91356537408663,7.8389378,,,,,,,,,,,87160.016,167979.33,1657096.5,229180.1,325903.66,226290.42,
464,161.91356536162334,8.281953,,,,,,,,,,,20687.584,256903.55,1077415.6,220376.72,196865.73,144753.62,
470,161.91356575486716,8.413438,,,,,,,,,,,59027.117,423133.5,691550.6,202498.92,425187.38,125479.01,
540,162.83904552613637,10.439723,,,,,,,,,,,198954.77,313666.6,279924.75,207131.19,285779.9,159814.95,
180,164.03530549421805,3.1418352,,,,,,,,,,,1455992.1,1246955.2,1542885.9,1268675.2,1743191.1,3461248.5,
9,164.95699080978082,0.3417498,,,,21,,,,,,,386872.84,384235.56,404923.9,410335.6,446508.2,394718.9,
176,165.05566591336492,3.12911,,,,45,,,,,,,1658753.5,1440537.9,1644299.8,1503679.5,1732001.9,2991095.5,
173,172.09790295321602,3.0794137,,,,,,,,,,,329967.66,260214.19,298350.94,293842.28,311800.25,640666.4,
87,173.00915140035752,0.556662,,,,5,,,,,,,1.6260937E7,8317620.5,2.2642302E7,1.7277946E7,2.0864826E7,1.7171786E7,
48,173.00916206686767,0.3891026,,,,11,,,,,,,7747526.0,7508145.0,1.1160759E7,8913416.0,9564114.0,7624439.0,
88,174.01256691685288,0.5541247,,,,5,,,,,,,803506.8,824995.5,1374326.1,819147.0,927171.56,517204.7,
26,174.01259129088342,0.38461378,,,,11,,,,,,,365650.16,176662.62,740453.8,571270.7,740095.25,439148.3,
23,174.0771258362823,0.365886,,,,,,,,,,,387648.66,1146673.6,556585.75,1452068.9,1903210.4,2126705.2,
127,175.06111918609744,2.0372753,,,,,,,,,,,29108.297,4989.364,33782.637,28534.959,47234.715,59266.492,
140,175.0611448908727,2.4316187,,,,55,,,,,,,143435.8,166376.73,150813.27,130383.63,202875.27,370098.16,
145,175.06117521045925,2.5217192,,,,54,,,,,,,2897240.0,3188423.8,3410724.2,2632955.2,4025306.2,7878366.5,
144,176.0644899087289,2.5188732,,,,,,,,,,,200316.33,220045.6,236457.88,183085.92,277225.12,564928.94,
160,178.05088130361136,2.8680122,,,,49,,,,,,,43091.43,61784.1,70176.69,65609.266,78352.37,93282.74,
150,178.0509244701993,2.7153327,,,,47,,,,,,,732501.5,887527.4,1336737.8,891067.7,1310032.2,1272146.6,
