"MetaboAnalyst_ID","X2024_NEG_CC_1_Run21.mzML","X2024_NEG_CC_2_Run48.mzML","X2024_NEG_CC_3_Run62.mzML","X2024_NEG_CC.AZA_1_Run24.mzML","X2024_NEG_CC.AZA_2_Run39.mzML","X2024_NEG_CC.AZA_3_Run71.mzML","shared_name"
"90/637.0305mz/4.78min",2.82098960374373,2.8363858690073,2.9953261365038,2.82291855543511,2.85926688606943,2.90647492394962,"90"
"91/639.0284mz/4.78min",1.97338536529103,2.02665706496688,2.16745284508204,1.97130751642848,2.01044832556736,2.07505533684519,"91"
"92/481.0421mz/4.92min",2.81817247473785,2.83945131364181,2.96048863899316,2.84558965870499,2.8474359056327,2.86140391328767,"92"
"93/544.0379mz/4.92min",2.4145756356275,2.44878289793744,2.58166414158568,2.47338686900316,2.45414768846228,2.50147426361892,"93"
"94/426.9678mz/4.97min",3.24902266300265,3.25351595409888,3.23323982649076,3.05644261118952,3.10041977309916,3.12176717136713,"94"
"96/396.2154mz/4.99min",2.17623256627911,1.95916762379787,2.13892687615963,2.09082193629633,2.17008952072965,1.94987595495593,"96"
"98/484.2681mz/5.03min",2.3352705747629,2.13164974440599,2.3460354724681,2.31779625838749,2.32944685746663,2.17473516827698,"98"
"101/396.2154mz/5.1min",2.65967328884933,2.46376066379644,2.69174945716919,2.61992754937295,2.6611340782696,2.52638160569209,"101"
"102/397.2189mz/5.1min",1.9298282648583,1.71757278418633,1.96263775247384,1.89116416161509,1.92389593686762,1.79848563239575,"102"
"104/484.2681mz/5.14min",2.77571935821063,2.63424504612812,2.82686291090446,2.77224685708371,2.79192155489569,2.71166866089495,"104"
"105/501.2583mz/5.14min",2.05672037040551,1.91758675316789,2.12057083073557,2.06206262401869,2.05859795003962,1.98642060704635,"105"
"107/779.3652mz/5.29min",2.10508089729751,1.86597541408641,2.00158642505572,2.01587884902731,2.05601393986073,1.83842991094123,"107"
"109/424.2468mz/5.56min",2.12274755293423,1.92960408602739,2.1279767904321,2.05205491213758,2.10932693424099,1.96093859235864,"109"
"112/424.2469mz/5.66min",2.70316434374542,2.54329105584175,2.74324450083943,2.66170762768712,2.71710247424013,2.58183894324659,"112"
"116/512.2994mz/5.71min",1.93311777050078,1.80381213137925,1.97822822283295,1.90670882834209,1.96123715419581,1.88509525600613,"116"
"127/452.2782mz/6.13min",2.18600542567865,2.02831417359192,2.20970978478798,2.12725400166361,2.17961547639859,2.06181807805729,"127"
"130/452.2782mz/6.24min",2.96194131451747,2.79778393101952,2.98122099859983,2.88900357763597,2.91502804058584,2.82342312764867,"130"
"131/540.3309mz/6.3min",2.20080215993943,2.11539939936421,2.26393480126846,2.17308609627917,2.20338271996892,2.17934022592004,"131"
"132/478.2939mz/6.3min",2.69872362023682,2.42711143471104,2.67060496668407,2.63727964101154,2.64536880057495,2.44416746414764,"132"
"139/478.2939mz/6.41min",3.26283335510741,3.02450821827184,3.27491379678806,3.2125908971931,3.21538115479936,3.03720749892336,"139"
"141/566.3466mz/6.47min",2.52089662056195,2.34439611603229,2.55374888640593,2.46758480017542,2.47337486371839,2.38978811085677,"141"
"144/590.1196mz/6.5min",2.06145232941005,1.99468503892477,1.98436893909007,2.02340972793457,1.97120802959773,1.97117267099038,"144"
"145/311.1687mz/6.53min",2.45731739763521,2.2281963619369,2.26642423677201,2.22278580275732,2.23358259378838,2.31954118855382,"145"
"147/297.2436mz/6.61min",2.06590882633807,1.81530352290421,2.01934605574155,1.99972761234952,1.97858916795932,1.78050006741295,"147"
"148/654.1321mz/6.62min",1.98226345410147,1.93174346378237,1.90885492241414,1.87058476545896,1.81368065398811,1.85645895990373,"148"
"149/634.4456mz/6.64min",1.62534588536405,2.42819223250275,1.82593647985406,2.480533639926,1.71170688889111,2.30129559676673,"149"
"150/637.1419mz/6.63min",2.08826205669504,2.00876286345283,2.03260835335324,2.12304827759646,2.12474561707438,1.99148354777601,"150"
"151/311.1687mz/6.64min",2.26641428586785,2.11581254740506,2.17623863090486,2.08960048195103,2.03645734762534,2.10900663348674,"151"
"153/299.2592mz/6.68min",2.74749373313514,2.55082688877036,2.68494330267739,2.65436395271843,2.70350481186602,2.48009381254228,"153"
"154/300.2626mz/6.68min",2.02031690135638,1.82555126077648,1.97940627374374,1.93059125234653,1.9882813577747,1.75916610209515,"154"
"155/573.1294mz/6.68min",2.19136260689768,2.08314722887091,2.10241706769744,2.22138579915573,2.19395532627938,2.07996353940038,"155"
"156/520.3045mz/6.68min",2.00933080360723,1.29538538254007,1.88771618220509,1.99681391650156,1.84180896203573,1.44943450895967,"156"
"157/295.2279mz/6.77min",2.02027371155078,1.85335664997805,2.11462954412294,1.97995622252876,2.0358456499356,1.96067787287605,"157"
"161/701.1544mz/6.71min",1.91133021862775,1.80919816008604,1.8663137459917,1.97803652378663,1.97476436284133,1.86236910810167,"161"
"163/718.1445mz/6.72min",1.89912555685024,1.93869405027909,1.88545136696039,1.81493673811415,1.74842564762959,1.80539579079506,"163"
"166/634.4456mz/6.76min",2.25140396240832,1.92510963407605,2.5872935111388,1.75278117713736,1.73677513144794,1.8241113863468,"166"
"167/654.1321mz/6.8min",2.53227443874426,2.51313702684635,2.48104810971389,2.44215720615808,2.40163899642668,2.40380072079571,"167"
"170/750.5292mz/6.86min",-0.403356452891997,1.61733702327244,0.327196614074412,2.5341343538639,2.94281695713241,2.52361286734723,"170"
"172/480.3096mz/6.83min",2.48259428039206,2.27554745938461,2.45464478381652,2.33608515341352,2.37184857321111,2.2737650259008,"172"
"175/637.1419mz/6.83min",2.25482769561359,2.17401113217377,2.18619506794714,2.44932405316462,2.44977400785113,2.31406015019249,"175"
"179/299.2592mz/6.9min",2.35766899536436,2.12704720989309,2.30220538042919,2.29130514353023,2.31648872630015,2.0860603174797,"179"
"180/718.1446mz/6.91min",2.53550193666912,2.5283460860651,2.50389565180549,2.40687459977366,2.35914899368615,2.40055856628441,"180"
"182/701.1544mz/6.93min",2.38199266332746,2.26637672966525,2.31115094852299,2.51316789204511,2.51437831336979,2.40621216830774,"182"
"187/765.1669mz/6.97min",2.32287889615676,2.22048865790911,2.27108950995914,2.42185652225414,2.43557432812944,2.34763073196473,"187"
"188/325.1844mz/7.02min",2.05088744012256,1.97721783515797,1.69295591855549,1.93689751480807,2.11556548619077,1.96752146453716,"188"
