"MetaboAnalyst_ID","X2024_POS_Y.EV_1_CTRL_Run88.mzML","X2024_POS_Y.EV_2_CTRL_Run117.mzML","X2024_POS_Y.EV_3_CTRL_Run138.mzML","X2024_POS_Y.p10_1_Run103.mzML","X2024_POS_Y.p10_2_Run129.mzML","X2024_POS_Y.p10_3_Run144.mzML","shared_name"
"526/306.1182mz/2.77min",2.65149225011777,2.65903221165886,3.04901738567945,2.7623517708198,2.81816956608434,2.76174887829952,"526"
"527/260.1129mz/2.77min",1.49560929024203,1.49488122066941,1.9515212470306,1.61527811758376,1.67155027999207,1.56515514720679,"527"
"531/190.0895mz/2.76min",1.13333110876548,1.03511046529931,1.64101854492917,1.76875484853297,2.1606495920981,1.47983967551218,"531"
"532/259.2202mz/2.8min",1.50904374046313,1.48955536397723,1.43712971175991,1.50050664765798,1.46493784919887,1.54410633732604,"532"
"533/169.076mz/2.81min",2.93845978524044,2.89933295727795,3.12098305406029,2.88224294746408,2.89198956461893,2.86711420054589,"533"
"545/92.0494mz/2.82min",2.1004295074352,2.09921412806789,2.22274532855836,1.98174647854695,1.38937822557915,1.98910306565119,"545"
"547/328.1001mz/2.79min",1.73154454842591,1.5770898260832,2.18502277947865,1.68389413962581,1.59801381090064,1.76271619042246,"547"
"548/139.0583mz/2.82min",3.02610733704566,3.02532114470662,3.14368015514813,2.9341105247086,2.34273438851576,2.93526616138506,"548"
"550/120.0444mz/2.83min",4.13698466528778,4.12091637517134,4.26248678658058,4.03781732060463,3.4555617969448,4.04076753881674,"550"
"551/121.0477mz/2.83min",3.01436855116361,3.00115955217733,3.13938733751719,2.91449003175802,2.31571743103838,2.92083086440689,"551"
"552/138.055mz/2.83min",4.15061866402435,4.13203311394089,4.25191017182303,4.04906978227087,3.46883110586745,4.04443899785008,"552"
"554/271.0713mz/2.83min",2.25600925620329,2.14017246922049,2.23235847445554,2.01473485484059,1.18991472569261,1.99855697582072,"554"
"556/272.1856mz/2.83min",2.24427211202253,2.28871820501735,2.31913472258482,2.19509091300838,2.19794112741374,2.21254469037755,"556"
"557/261.1444mz/2.83min",1.7057258627673,1.71783349549689,1.55510207165376,1.56119120548536,1.57837264393478,1.59428733245235,"557"
"558/272.0794mz/2.83min",2.35159182194831,2.24848341359282,2.25449945750789,2.14447961841826,1.42430915096025,2.12384844485284,"558"
"561/306.128mz/2.87min",2.03978611223726,2.0510375630447,2.23624655293844,1.91841608850187,1.26913387468147,1.92374748818199,"561"
"562/300.1077mz/2.87min",1.77614464628026,1.79314863949944,1.87284492800031,1.61738175898482,0.228633731697476,1.85249601386903,"562"
"563/391.171mz/2.95min",1.69417856560714,1.79706419694344,2.23077319514715,1.91783482322224,1.96084131517117,1.90136250680058,"563"
"566/321.1478mz/2.93min",1.51078397041043,1.55405244165402,1.86570205272073,1.53843075595264,1.57517972971881,1.43100163226616,"566"
"571/183.0916mz/2.97min",1.96061337167913,1.92990887544216,2.18783340570279,1.9643388053179,1.9899675953333,1.91580144075281,"571"
"572/340.1026mz/2.98min",2.19066662624518,2.21041275532466,2.60388542243714,2.31421806578478,2.36198112584598,2.30481869030971,"572"
