"","filter","2024_POS_Y-EV_1_CTRL_Run88.mzML","2024_POS_Y-EV_2_CTRL_Run117.mzML","2024_POS_Y-EV_3_CTRL_Run138.mzML","2024_POS_Y-p10_1_Run103.mzML","2024_POS_Y-p10_2_Run129.mzML","2024_POS_Y-p10_3_Run144.mzML"
"414/282.1196mz/2.01min",1585163.05,1744130.2,1838192.1,3773860.8,1426195.9,635225.6,1349063.4
"415/256.1767mz/2.0min",340553.28,235431.27,283449.8,938222.4,361694.53,413854.6,319412.03
"417/215.139mz/2.06min",274711.915,175573.56,198562.17,239672.3,309751.53,1372018.9,380935.25
"419/158.0812mz/2.09min",8188223.25,10162038,11787009,12334134,6214408.5,3712640,3911581.5
"420/99.5121mz/2.1min",354155.88,604648.75,186223,371107.56,175316.89,337204.2,504585.56
"421/381.152mz/2.1min",429765.22,570253.94,676393.75,656280.9,289276.5,57817.305,142851.2
"422/380.1485mz/2.1min",3575737.85,4683881,4665987.5,5659207,2485488.2,822647.9,1373999.9
"423/244.1907mz/2.11min",580491.87,637374.56,597833.8,1110399.5,563149.94,538999.1,453363.94
"425/229.1546mz/2.11min",12213.9446,12213.9446,12213.9446,12213.9446,12213.9446,223013.88,61069.723
"426/251.1502mz/2.12min",341774.58,259388.27,314678.3,686335.4,363759.16,398772.5,319790
"427/112.0756mz/2.14min",242462.405,293251.7,386460.12,334832.03,191673.11,159841.62,136869.78
"428/261.1444mz/2.13min",40169.174,20329.219,22692.406,137899.05,43573.133,140248.36,36765.215
"429/247.1076mz/2.16min",48538.035,18237.295,34988.438,124025.78,57300.23,66352.78,39775.84
"431/290.087mz/2.17min",533256.3,428498.4,471581.4,1289858.6,566704.6,803883.4,499808
"433/220.1179mz/2.18min",1145968.575,601485.4,646740.25,901207.75,1883187,2467817.5,1390729.4
"434/302.1961mz/2.18min",101332.937,103122.414,132624.47,218273.6,76047.34,99543.46,69540.625
"435/184.1695mz/2.22min",2599147.3,3007995.8,2634294.8,4312386,2563999.8,2387652.5,2288069
"436/384.1148mz/2.22min",1268277.55,1070292.6,1264514.2,1272040.9,1705453.6,1723962.8,883838.6
"438/242.1862mz/2.24min",783359.2,654354.25,718636.9,1698891.1,842986,992202.25,723732.4
"439/279.1338mz/2.24min",390772.345,350415.66,387855.16,393689.53,453087.4,726001.06,315910.4
"440/443.177mz/2.24min",822307.87,666725.1,726268.7,1767865,869763.44,958566.3,774852.3
"441/205.0971mz/2.25min",4492838.15,3823960.2,4002189.8,4935510.5,6973267.5,10652310,4050165.8
"442/218.1281mz/2.25min",7458837.5,7671792,7707164,7364754,7487888,7156315.5,7429787
"443/217.1247mz/2.25min",533568.7,568641.94,552631.5,524716.56,534596,511110.25,532541.4
"444/188.0706mz/2.25min",5962358.75,4925287.5,5213825.5,6598833.5,8958228,14073424,5325884
"445/200.1045mz/2.25min",6194631,6213858,6351282,6177002.5,6077254.5,6044705.5,6212259.5
"446/229.1547mz/2.26min",37799.6585,4499.0394,4499.0394,22495.197,53104.12,336703.03,82859.71
"447/209.1284mz/2.27min",257453.32,203148.58,250159.14,264747.5,346253.1,1216886,176516.45
"448/434.213mz/2.27min",408386.61,338585.4,369913.38,929497.9,438325.06,483659.66,378448.16
"449/195.1227mz/2.28min",576567.325,664522.94,614242.9,666269.2,538891.75,525076.3,526726.1
"450/217.1046mz/2.28min",244068.495,260846.55,264020.44,276977.16,227290.44,211763.05,213309.94
"451/259.1764mz/2.28min",303501.36,411286.16,449519.7,410409.8,137686.16,27537.232,196592.92
"452/324.0747mz/2.3min",476771.135,506443.8,375136,1200357.5,627218.1,8787.314,447098.47
"453/231.1703mz/2.31min",337188.71,141845.4,156320.86,258546.95,415830.47,12821505,1611659.8
"454/244.2012mz/2.31min",979955.47,985130.06,982838,977072.94,997967.9,862573.06,932602.75
"455/232.1737mz/2.31min",13784.0095,1739.0894,1739.0894,8695.447,18872.572,1513675.6,164726.78
"457/247.1076mz/2.33min",309206.59,245302.19,272186.88,647664.8,334896.88,333177.4,285235.78
"458/190.0497mz/2.33min",41435.4375,31263.107,32114.701,76573.625,52936.02,45743.543,37127.332
"459/292.1026mz/2.33min",1954930.85,1274810.6,1326961.2,4776365.5,2494037.2,2800445,1415824.5
"460/270.1924mz/2.33min",305289.35,274038.66,278203.4,577311.75,321910.2,314793.9,295784.8
"461/392.1484mz/2.35min",402249.52,392422.66,393768.16,538912.4,410730.88,497924.44,276522
"462/239.1026mz/2.35min",108945.705,107900.4,126989.445,209011.16,109991.01,16111.726,80558.63
"463/389.1705mz/2.35min",362932.33,298993.1,327365.4,798872,390063.44,464417.1,335801.22
"464/217.1051mz/2.36min",752710.75,829642.8,754708.25,1332923,750713.25,669682.94,632485.4
"465/355.1862mz/2.35min",6287.6804,6287.6804,6287.6804,6287.6804,31438.402,185694.28,6287.6804
