"","Filename","2024_POS_Y-EV_1_CTRL_Run88.mzML","2024_POS_Y-EV_2_CTRL_Run117.mzML","2024_POS_Y-EV_3_CTRL_Run138.mzML","2024_POS_Y-p10_1_Run103.mzML","2024_POS_Y-p10_2_Run129.mzML","2024_POS_Y-p10_3_Run144.mzML"
"1","Class","CTRL","CTRL","CTRL","EXP","EXP","EXP"
"2","414/282.1196mz/2.01min","1744130.2","1838192.1","3773860.8","1426195.9","635225.6","1349063.4"
"3","415/256.1767mz/2.0min","235431.27","283449.8","938222.4","361694.53","413854.6","319412.03"
"4","417/215.139mz/2.06min","175573.56","198562.17","239672.3","309751.53","1372018.9","380935.25"
"5","419/158.0812mz/2.09min","10162038.0","11787009.0","12334134.0","6214408.5","3712640.0","3911581.5"
"6","420/99.5121mz/2.1min","604648.75","186223.0","371107.56","175316.89","337204.2","504585.56"
"7","421/381.152mz/2.1min","570253.94","676393.75","656280.9","289276.5","57817.305","142851.2"
"8","422/380.1485mz/2.1min","4683881.0","4665987.5","5659207.0","2485488.2","822647.9","1373999.9"
"9","423/244.1907mz/2.11min","637374.56","597833.8","1110399.5","563149.94","538999.1","453363.94"
"10","425/229.1546mz/2.11min","0.0","0.0","0.0","0.0","223013.88","61069.723"
"11","426/251.1502mz/2.12min","259388.27","314678.3","686335.4","363759.16","398772.5","319790.0"
"12","427/112.0756mz/2.14min","293251.7","386460.12","334832.03","191673.11","159841.62","136869.78"
"13","428/261.1444mz/2.13min","20329.219","22692.406","137899.05","43573.133","140248.36","36765.215"
"14","429/247.1076mz/2.16min","18237.295","34988.438","124025.78","57300.23","66352.78","39775.84"
"15","431/290.087mz/2.17min","428498.4","471581.4","1289858.6","566704.6","803883.4","499808.0"
"16","433/220.1179mz/2.18min","601485.4","646740.25","901207.75","1883187.0","2467817.5","1390729.4"
"17","434/302.1961mz/2.18min","103122.414","132624.47","218273.6","76047.34","99543.46","69540.625"
"18","435/184.1695mz/2.22min","3007995.8","2634294.8","4312386.0","2563999.8","2387652.5","2288069.0"
"19","436/384.1148mz/2.22min","1070292.6","1264514.2","1272040.9","1705453.6","1723962.8","883838.6"
"20","438/242.1862mz/2.24min","654354.25","718636.9","1698891.1","842986.0","992202.25","723732.4"
"21","439/279.1338mz/2.24min","350415.66","387855.16","393689.53","453087.4","726001.06","315910.4"
"22","440/443.177mz/2.24min","666725.1","726268.7","1767865.0","869763.44","958566.3","774852.3"
"23","441/205.0971mz/2.25min","3823960.2","4002189.8","4935510.5","6973267.5","10652310.0","4050165.8"
"24","442/218.1281mz/2.25min","7671792.0","7707164.0","7364754.0","7487888.0","7156315.5","7429787.0"
"25","443/217.1247mz/2.25min","568641.94","552631.5","524716.56","534596.0","511110.25","532541.4"
"26","444/188.0706mz/2.25min","4925287.5","5213825.5","6598833.5","8958228.0","14073424.0","5325884.0"
"27","445/200.1045mz/2.25min","6213858.0","6351282.0","6177002.5","6077254.5","6044705.5","6212259.5"
"28","446/229.1547mz/2.26min","0.0","0.0","22495.197","53104.12","336703.03","82859.71"
"29","447/209.1284mz/2.27min","203148.58","250159.14","264747.5","346253.1","1216886.0","176516.45"
"30","448/434.213mz/2.27min","338585.4","369913.38","929497.9","438325.06","483659.66","378448.16"
"31","449/195.1227mz/2.28min","664522.94","614242.9","666269.2","538891.75","525076.3","526726.1"
"32","450/217.1046mz/2.28min","260846.55","264020.44","276977.16","227290.44","211763.05","213309.94"
"33","451/259.1764mz/2.28min","411286.16","449519.7","410409.8","137686.16","0.0","196592.92"
"34","452/324.0747mz/2.3min","506443.8","375136.0","1200357.5","627218.1","8787.314","447098.47"
"35","453/231.1703mz/2.31min","141845.4","156320.86","258546.95","415830.47","12821505.0","1611659.8"
"36","454/244.2012mz/2.31min","985130.06","982838.0","977072.94","997967.9","862573.06","932602.75"
"37","455/232.1737mz/2.31min","0.0","0.0","8695.447","18872.572","1513675.6","164726.78"
"38","457/247.1076mz/2.33min","245302.19","272186.88","647664.8","334896.88","333177.4","285235.78"
"39","458/190.0497mz/2.33min","31263.107","32114.701","76573.625","52936.02","45743.543","37127.332"
"40","459/292.1026mz/2.33min","1274810.6","1326961.2","4776365.5","2494037.2","2800445.0","1415824.5"
"41","460/270.1924mz/2.33min","274038.66","278203.4","577311.75","321910.2","314793.9","295784.8"
"42","461/392.1484mz/2.35min","392422.66","393768.16","538912.4","410730.88","497924.44","276522.0"
"43","462/239.1026mz/2.35min","107900.4","126989.445","209011.16","109991.01","0.0","80558.63"
"44","463/389.1705mz/2.35min","298993.1","327365.4","798872.0","390063.44","464417.1","335801.22"
"45","464/217.1051mz/2.36min","829642.8","754708.25","1332923.0","750713.25","669682.94","632485.4"
"46","465/355.1862mz/2.35min","0.0","0.0","0.0","31438.402","185694.28","0.0"
"47","466/216.1019mz/2.36min","5319719.0","5180499.0","9444457.0","5226205.5","4502961.5","4317088.0"
"48","469/225.087mz/2.37min","1235119.0","1358229.1","1439884.2","530527.75","50357.723","579838.0"
"49","470/244.2012mz/2.37min","1409882.8","1384458.9","1344592.8","1402880.8","1307820.9","1422286.2"
"50","471/302.1961mz/2.37min","746590.0","576012.06","697582.6","639774.4","558943.6","380174.38"
"51","472/443.177mz/2.38min","219987.25","250906.98","639751.75","315464.03","360906.56","269650.9"
"52","473/140.1434mz/2.39min","566729.56","537074.44","619012.6","416693.66","428791.9","436371.66"
"53","474/224.0917mz/2.39min","433195.53","431773.34","901718.44","522616.84","625528.7","476017.03"
"54","475/261.1444mz/2.4min","435759.53","444116.2","484809.75","251946.97","206023.84","218953.7"
"55","477/434.213mz/2.4min","168808.7","185383.75","466725.7","224803.2","261263.73","191595.95"
"56","479/192.0689mz/2.42min","208209.8","145930.72","777006.94","351041.66","171321.33","247952.38"
"57","480/393.223mz/2.41min","472914.12","508051.88","1223840.2","275378.84","259485.12","533814.8"
"58","481/300.0925mz/2.44min","59866.594","57756.17","70400.72","139299.0","513442.1","67187.21"
"59","482/298.0968mz/2.44min","1746409.5","1738247.2","1977154.0","3627665.0","12937112.0","1880285.0"
"60","483/239.139mz/2.45min","71328.53","85606.36","161235.33","282985.25","3821297.5","105230.375"
"61","484/190.0498mz/2.46min","273063.94","299982.72","626873.6","317437.3","545402.06","396028.44"
"62","485/261.1444mz/2.45min","657495.06","669386.06","740211.8","553269.6","231503.22","417879.72"
"63","487/229.1546mz/2.44min","331546.88","398580.0","560279.7","1079545.5","4455311.0","1286209.5"
"64","488/114.0913mz/2.49min","1272100.5","1308511.4","2045529.2","1444646.1","1147259.8","1060537.0"
"65","489/181.1335mz/2.5min","59222.3","76942.71","136377.83","152724.47","486459.62","117631.42"
"66","490/240.1059mz/2.51min","462527.28","530153.06","590010.6","315564.06","0.0","374110.72"
"67","491/244.2012mz/2.51min","367711.0","377230.28","384311.47","374214.12","335677.4","376706.78"
"68","492/239.1026mz/2.52min","4043102.2","4430746.5","4911474.5","2681510.0","196136.66","3178487.8"
"69","493/221.092mz/2.51min","312195.84","379777.78","420990.6","217046.25","0.0","261414.33"
"70","495/443.177mz/2.52min","109542.266","181298.16","340580.72","156076.84","165744.78","195609.88"
"71","496/231.1703mz/2.51min","0.0","4577.3154","35985.184","0.0","781435.3","5407.2573"
"72","497/232.1736mz/2.52min","0.0","0.0","0.0","0.0","59736.25","0.0"
"73","498/184.1695mz/2.54min","357550.3","338632.4","548757.06","320850.16","295674.5","282672.3"
"74","499/434.2131mz/2.54min","347039.3","387763.5","864510.44","448494.25","578578.56","397861.2"
"75","500/153.1022mz/2.57min","28158.625","30918.777","184029.16","19509.098","0.0","52662.22"
"76","502/393.2231mz/2.57min","52984.406","58586.887","177356.66","73362.21","81513.9","60272.15"
"77","503/443.177mz/2.56min","41214.6","125748.13","154708.16","71046.9","85064.516","137607.28"
"78","504/316.2117mz/2.59min","341418.78","411806.38","395376.2","294177.75","319515.25","285538.38"
