"","Filename","2024_POS_CC_1_Run20.mzML","2024_POS_CC_2_Run47.mzML","2024_POS_CC_3_Run61.mzML","2024_POS_CC-AZA_1_Run23.mzML","2024_POS_CC-AZA_2_Run38.mzML","2024_POS_CC-AZA_3_Run70.mzML"
"1","Class","CTRL","CTRL","CTRL","EXP","EXP","EXP"
"2","102/244.1907mz/2.1min","362358.0","378928.16","448430.34","392938.66","392134.53","393101.1"
"3","103/99.5121mz/2.11min","287429.94","646871.1","642649.8","665874.75","702793.7","294337.2"
"4","104/181.0971mz/2.12min","898039.1","811825.75","944581.0","957125.94","909935.06","930572.75"
"5","105/245.0954mz/2.12min","4122480.2","3831443.2","4424619.0","4439472.0","4294543.5","4394836.0"
"6","106/302.1961mz/2.17min","49615.59","63591.703","76567.086","42546.027","49748.24","61438.4"
"7","107/184.1695mz/2.21min","1963623.9","2006927.0","2359434.5","2143597.5","2017430.5","2179055.2"
"8","108/218.1281mz/2.25min","6703308.0","7037200.0","7092236.5","6960655.5","6545084.5","7363443.0"
"9","109/217.1247mz/2.25min","490726.38","512937.16","524780.9","501832.8","480451.34","524414.0"
"10","110/200.1046mz/2.25min","5724253.5","6020740.5","5971879.5","5942917.5","5571293.5","6169442.0"
"11","111/199.1012mz/2.25min","442934.53","478102.5","489736.03","459850.16","441382.16","510563.4"
"12","113/195.1227mz/2.28min","662007.2","661755.6","609265.1","612852.5","660870.75","662278.9"
"13","114/244.2012mz/2.36min","2119867.8","1235168.4","1254858.4","2163086.2","2081247.2","2123997.0"
"14","116/302.1961mz/2.37min","577454.4","460546.97","508644.47","658119.06","524538.0","363781.9"
"15","117/244.2012mz/2.5min","317576.8","316261.53","321047.5","344088.6","311362.53","299249.72"
"16","118/184.1695mz/2.52min","189120.73","199355.02","262391.03","226808.69","180339.3","215935.47"
"17","119/316.2117mz/2.58min","518763.5","555945.0","515751.84","327421.56","321671.38","327123.0"
"18","120/261.1234mz/2.6min","3745073.2","3550931.0","3679835.0","4171253.8","3694634.8","3640695.0"
"19","121/259.2202mz/2.66min","444309.44","450825.1","453464.7","466168.6","443831.28","462735.4"
"20","122/130.159mz/2.69min","415925.8","421903.75","418963.97","416263.16","385447.38","394216.94"
