"","Filename","2024_POS_CC_1_Run20.mzML","2024_POS_CC_2_Run47.mzML","2024_POS_CC_3_Run61.mzML","2024_POS_CC-AZA_1_Run23.mzML","2024_POS_CC-AZA_2_Run38.mzML","2024_POS_CC-AZA_3_Run70.mzML"
"21","123/185.0855mz/2.7min","777895.7","524594.1","382658.53","609377.44","840935.1","124516.04"
"22","124/197.1285mz/2.71min","2253950.2","2233381.2","2507296.8","2626200.8","2466864.2","2340342.2"
"23","125/202.1801mz/2.72min","117968.21","137273.95","177111.53","148619.97","107204.734","124609.78"
"24","126/316.2118mz/2.74min","1072906.8","1166596.2","1235190.8","729428.2","687008.0","727041.6"
"25","127/214.1801mz/2.75min","77211.89","85959.45","88138.39","80991.25","54235.49","54590.168"
"26","128/185.1284mz/2.8min","77001.2","61179.35","73187.625","96173.18","84914.97","89776.555"
"27","129/259.2202mz/2.79min","201252.77","200408.77","200241.4","216257.8","196702.78","209427.38"
"28","130/272.1856mz/2.82min","1246104.6","1329863.4","1344371.1","1029867.5","1018529.4","1052239.0"
"29","131/120.0443mz/2.83min","583206.75","258310.25","378867.56","286276.2","367085.66","229842.12"
"30","132/138.0549mz/2.83min","601815.75","265142.75","393499.62","295281.44","384870.28","239249.08"
"31","133/181.0971mz/2.84min","85198.02","95668.05","72708.77","113174.29","72206.49","54111.28"
"32","134/185.1284mz/2.87min","55443.945","68127.84","79606.73","79450.64","78656.41","75842.99"
"33","135/183.0917mz/2.96min","757174.4","518081.8","571238.75","668993.25","745771.56","448749.7"
"34","136/244.2012mz/3.06min","39026.684","44383.53","44044.227","50446.97","42220.22","36012.52"
"35","137/211.1441mz/3.14min","2833066.5","2714042.2","2883836.8","3288375.8","2911704.2","2760558.8"
"36","138/211.144mz/3.24min","3156233.5","2982399.8","3417069.0","3633643.5","3597371.2","3114641.8"
"37","139/245.1284mz/3.26min","1398522.4","1330699.2","1425901.0","1576807.5","1364764.6","1346210.6"
"38","140/320.1703mz/3.28min","44587.94","36998.15","42043.977","40692.79","39329.465","35864.13"
"39","141/245.1284mz/3.39min","3259170.0","2998391.5","3290411.8","3591314.0","3278307.8","3042570.0"
"40","142/228.2321mz/3.46min","374266.97","387021.8","435638.53","398251.97","354615.0","400984.28"
"41","143/264.1335mz/3.47min","1062805.0","737559.6","876122.44","931127.1","1115428.8","332434.2"
"42","146/214.0499mz/3.54min","27752528.0","21875316.0","26346566.0","25349020.0","28440298.0","21684724.0"
"43","147/274.1648mz/3.54min","835814.9","809188.4","832806.6","797095.9","781406.2","841521.7"
"44","148/228.2321mz/3.54min","147417.58","139505.05","161905.42","156339.56","134636.06","157084.73"
"45","149/215.053mz/3.54min","2483226.5","1904962.6","3271536.0","3084808.8","2279914.5","1791758.5"
"46","150/228.2321mz/3.66min","1943579.0","1970114.9","2159286.5","1904914.0","1776090.4","1964079.0"
"47","151/246.1335mz/3.67min","215748.77","202918.1","201266.3","208701.12","205971.72","218075.44"
"48","152/586.2703mz/3.73min","1014120.25","897805.44","367355.75","786174.75","1025183.75","916003.6"
"49","153/320.1703mz/3.75min","70265.625","54729.83","52197.117","56879.754","54061.273","50556.5"
"50","154/195.1379mz/3.83min","77177.36","83246.664","99103.6","76909.14","131685.69","111584.36"
"51","156/514.2855mz/3.98min","951709.75","1089534.6","1340759.6","950283.9","1006720.4","1190243.1"
"52","158/320.1703mz/4.32min","6276044.5","4979478.0","4532468.0","4362284.5","4630895.5","3681898.0"
"53","159/325.1257mz/4.32min","694140.5","478547.88","467068.2","431794.9","352716.47","405247.1"
"54","160/195.1379mz/4.34min","826656.94","741257.94","812256.3","837890.7","758929.7","779086.2"
"55","161/364.1965mz/4.4min","492407.03","402542.47","407481.97","457882.12","406122.66","361088.9"
"56","162/226.1801mz/4.43min","1213328.6","1208796.8","1239245.2","1331357.4","1288313.8","1135484.0"
"57","163/244.1906mz/4.43min","836944.6","809258.7","819670.94","914699.56","887771.25","791794.0"
"58","165/408.2226mz/4.47min","523569.12","495124.94","503237.3","541230.8","439352.72","426476.78"
"59","166/214.1801mz/4.51min","566948.5","409036.22","281583.0","607663.2","497409.66","183018.36"
"60","167/412.2457mz/4.55min","38495.562","35457.67","43226.742","33171.098","39705.82","42653.29"
"61","168/392.1914mz/4.56min","2679363.2","2131720.2","2003049.5","2285184.8","1995230.9","1726917.1"
"62","169/583.2912mz/4.61min","144715.45","39467.914","25571.318","80653.42","117289.39","5946.8496"
"63","171/246.2427mz/4.69min","421906.94","241016.22","361673.1","353001.22","326136.25","203492.67"
"64","172/583.2911mz/4.72min","80093.15","28315.516","5795.407","33976.406","72922.29","0.0"
"65","173/211.9705mz/4.74min","3010576.2","3086185.2","3181167.0","3258696.5","3180775.8","3073461.8"
"66","174/232.9823mz/4.75min","559345.1","622539.4","637876.25","648051.4","614343.1","626796.6"
"67","175/213.9685mz/4.75min","2951436.0","2976733.5","3062890.5","3137186.0","3079320.2","2988285.0"
"68","176/229.9811mz/4.75min","7010560.0","7350487.0","7657618.0","7691433.0","7537647.0","7466004.5"
"69","177/231.979mz/4.75min","6890246.0","7271303.5","7597168.0","7641884.5","7506423.0","7422870.5"
"70","179/230.9844mz/4.74min","586435.44","618256.9","628901.94","631165.44","639740.75","636843.06"
"71","181/270.2063mz/4.78min","372678.72","331885.22","357785.06","408155.53","372006.97","360349.1"
"72","182/656.071mz/4.79min","1124599.2","1268443.9","1618905.1","1230953.6","1134314.4","1523909.0"
"73","187/551.2695mz/4.81min","427248.25","440641.84","459741.7","469917.78","363841.56","392737.47"
"74","188/568.2961mz/4.81min","14026671.0","13417324.0","14107290.0","14938220.0","12675558.0","12143041.0"
"75","189/573.2513mz/4.81min","1187876.4","1231127.5","1249859.4","1312409.8","1057431.4","1084114.2"
"76","190/570.3016mz/4.81min","881437.44","845784.0","890951.25","937915.9","804559.9","752750.8"
"77","191/274.274mz/4.85min","286962.53","183454.72","226529.44","242767.45","279219.03","179699.19"
"78","192/230.2477mz/4.87min","430348.7","260901.88","379399.28","381745.03","450653.88","258225.55"
"79","193/229.1991mz/4.88min","664404.25","658708.5","552259.4","823355.3","666169.0","400695.16"
"80","194/250.1777mz/4.88min","782530.8","806940.25","665428.2","957253.7","775188.0","466440.56"
"81","195/228.1958mz/4.88min","5062860.0","4957938.5","4184122.5","6272940.0","5061821.0","3085944.5"
"82","196/158.1539mz/4.95min","798888.1","761025.3","778231.94","786935.1","745732.75","740665.56"
"83","197/640.3173mz/4.96min","683654.5","641711.44","712445.0","757109.25","594156.6","569598.44"
"84","198/257.211mz/4.99min","72377.35","40884.07","65931.67","58592.24","58765.805","40824.555"
"85","199/398.23mz/4.99min","986272.94","584495.2","932737.4","851116.56","951600.0","622354.4"
"86","200/371.2742mz/5.0min","56089.42","30918.408","60613.79","35374.39","57073.5","11827.618"
"87","201/440.277mz/5.03min","2661892.5","1602689.8","2627320.8","2300735.5","2644829.0","1763683.4"
"88","202/412.2458mz/5.06min","122609.53","80857.24","115685.586","87495.83","126952.375","86206.195"
"89","203/230.2478mz/5.09min","75506.43","44479.016","0.0","19762.137","5568.1914","29823.21"
"90","204/398.2301mz/5.1min","3267316.8","2135922.0","3356334.2","2995550.2","3312610.0","2297428.5"
"91","205/426.2614mz/5.11min","185890.55","87180.02","172563.95","161812.58","184607.62","90473.47"
"92","206/440.277mz/5.14min","8193631.5","6154331.5","9456741.0","8322971.5","9227597.0","7379945.5"
"93","207/412.2457mz/5.17min","484739.34","358331.8","528420.25","405277.97","483011.66","377576.28"
"94","208/274.274mz/5.2min","416781.6","240222.11","325205.22","308290.16","311616.78","193145.61"
"95","209/387.1801mz/5.21min","435207.62","353825.66","350158.44","282801.66","450711.2","357372.22"
"96","210/404.2066mz/5.21min","452540.28","363168.97","337792.12","293586.75","477284.75","378136.2"
"97","211/426.2614mz/5.21min","334620.34","158632.94","321417.06","291311.5","309640.62","197555.47"
"98","212/752.4mz/5.3min","1024753.75","598757.56","825044.6","828396.44","922427.4","544565.5"
"99","213/583.2914mz/5.31min","0.0","0.0","53795.195","0.0","0.0","44394.03"
"100","214/482.2876mz/5.42min","481890.78","265811.56","451697.53","589187.2","521134.97","347483.25"
