"","filter","2024_POS_CC_1_Run20.mzML","2024_POS_CC_2_Run47.mzML","2024_POS_CC_3_Run61.mzML","2024_POS_CC-AZA_1_Run23.mzML","2024_POS_CC-AZA_2_Run38.mzML","2024_POS_CC-AZA_3_Run70.mzML"
"102/244.1907mz/2.1min",392536.595,362358,378928.16,448430.34,392938.66,392134.53,393101.1
"103/99.5121mz/2.11min",644760.45,287429.94,646871.1,642649.8,665874.75,702793.7,294337.2
"104/181.0971mz/2.12min",920253.905,898039.1,811825.75,944581,957125.94,909935.06,930572.75
"105/245.0954mz/2.12min",4344689.75,4122480.2,3831443.2,4424619,4439472,4294543.5,4394836
"106/302.1961mz/2.17min",55593.32,49615.59,63591.703,76567.086,42546.027,49748.24,61438.4
"107/184.1695mz/2.21min",2080514,1963623.9,2006927,2359434.5,2143597.5,2017430.5,2179055.2
"108/218.1281mz/2.25min",6998927.75,6703308,7037200,7092236.5,6960655.5,6545084.5,7363443
"109/217.1247mz/2.25min",507384.98,490726.38,512937.16,524780.9,501832.8,480451.34,524414
"110/200.1046mz/2.25min",5957398.5,5724253.5,6020740.5,5971879.5,5942917.5,5571293.5,6169442
"111/199.1012mz/2.25min",468976.33,442934.53,478102.5,489736.03,459850.16,441382.16,510563.4
"113/195.1227mz/2.28min",661313.175,662007.2,661755.6,609265.1,612852.5,660870.75,662278.9
"114/244.2012mz/2.36min",2100557.5,2119867.8,1235168.4,1254858.4,2163086.2,2081247.2,2123997
"116/302.1961mz/2.37min",516591.235,577454.4,460546.97,508644.47,658119.06,524538,363781.9
"117/244.2012mz/2.5min",316919.165,317576.8,316261.53,321047.5,344088.6,311362.53,299249.72
"118/184.1695mz/2.52min",207645.245,189120.73,199355.02,262391.03,226808.69,180339.3,215935.47
"119/316.2117mz/2.58min",421586.7,518763.5,555945,515751.84,327421.56,321671.38,327123
"120/261.1234mz/2.6min",3687234.9,3745073.2,3550931,3679835,4171253.8,3694634.8,3640695
"121/259.2202mz/2.66min",452144.9,444309.44,450825.1,453464.7,466168.6,443831.28,462735.4
"122/130.159mz/2.69min",416094.48,415925.8,421903.75,418963.97,416263.16,385447.38,394216.94
"123/185.0855mz/2.7min",566985.77,777895.7,524594.1,382658.53,609377.44,840935.1,124516.04
"124/197.1285mz/2.71min",2403603.2,2253950.2,2233381.2,2507296.8,2626200.8,2466864.2,2340342.2
"125/202.1801mz/2.72min",130941.865,117968.21,137273.95,177111.53,148619.97,107204.734,124609.78
"126/316.2118mz/2.74min",901167.5,1072906.8,1166596.2,1235190.8,729428.2,687008,727041.6
"127/214.1801mz/2.75min",79101.57,77211.89,85959.45,88138.39,80991.25,54235.49,54590.168
"128/185.1284mz/2.8min",80958.085,77001.2,61179.35,73187.625,96173.18,84914.97,89776.555
"129/259.2202mz/2.79min",200830.77,201252.77,200408.77,200241.4,216257.8,196702.78,209427.38
"130/272.1856mz/2.82min",1149171.8,1246104.6,1329863.4,1344371.1,1029867.5,1018529.4,1052239
"131/120.0443mz/2.83min",326680.93,583206.75,258310.25,378867.56,286276.2,367085.66,229842.12
"132/138.0549mz/2.83min",340075.86,601815.75,265142.75,393499.62,295281.44,384870.28,239249.08
"133/181.0971mz/2.84min",78953.395,85198.02,95668.05,72708.77,113174.29,72206.49,54111.28
"134/185.1284mz/2.87min",77249.7,55443.945,68127.84,79606.73,79450.64,78656.41,75842.99
"135/183.0917mz/2.96min",620116,757174.4,518081.8,571238.75,668993.25,745771.56,448749.7
"136/244.2012mz/3.06min",43132.2235,39026.684,44383.53,44044.227,50446.97,42220.22,36012.52
"137/211.1441mz/3.14min",2858451.65,2833066.5,2714042.2,2883836.8,3288375.8,2911704.2,2760558.8
"138/211.144mz/3.24min",3286651.25,3156233.5,2982399.8,3417069,3633643.5,3597371.2,3114641.8
"139/245.1284mz/3.26min",1381643.5,1398522.4,1330699.2,1425901,1576807.5,1364764.6,1346210.6
"140/320.1703mz/3.28min",40011.1275,44587.94,36998.15,42043.977,40692.79,39329.465,35864.13
