"","filter","NEG_TJGI2pt1_EV_gpdA_CTRL_1_Run14.mzML","NEG_TJGI2pt1_EV_gpdA_CTRL_2_Run144.mzML","NEG_TJGI2pt1_EV_gpdA_CTRL_3_Run195.mzML","NEG_TJGIp11_1_Run26.mzML","NEG_TJGIp11_2_Run124.mzML","NEG_TJGIp11_3_Run150.mzML"
"79/144.0666mz/2.14min",486165.38,422667.56,396026.78,402853.25,568130.8,753487.6,549663.2
"80/153.0557mz/2.16min",39027.209,26660.945,38744.57,53826.625,39309.848,42394.49,30097.31
"81/131.0714mz/2.21min",125694.035,137986.11,166555.34,169418.98,78709.38,113401.96,81532.73
"82/180.0336mz/2.26min",19958.798,25159.244,39853.14,40124.16,2951.6704,14758.352,2951.6704
"83/196.0108mz/2.26min",2659116.6,2137854.2,3994986.5,3915618.8,1236838.8,3180379,972395.8
"84/144.0455mz/2.34min",801563.17,869289.56,680520.56,722656.75,792225.44,810900.9,822309.2
"85/158.0823mz/2.36min",160174.54,143659.61,148174.6,168394.48,151954.6,213133.19,183621.34
"86/416.1826mz/2.38min",596019.96,198673.32,198673.32,198673.32,993366.6,1548499.2,1243627.2
"87/188.0353mz/2.4min",636316.38,717033.7,737707.56,786489,532057.44,555599.06,543696.7
"88/167.0349mz/2.43min",80301.384,26767.128,26767.128,26767.128,133835.64,322509.94,232051.72
"89/139.0401mz/2.45min",286442.1,380847.6,1000188.75,1121717.4,127991.305,124541.336,192036.6
"90/121.0295mz/2.57min",433392.67,384503.78,264115.66,300878.12,482281.56,674826.25,559500.1
"91/769.2339mz/2.57min",985057.85,689802.56,981869.2,1100387.2,988246.5,1258414.1,976175.25
"92/815.2395mz/2.57min",755611.75,480706.06,748264.3,877930.06,732646.3,927485,762959.2
"93/195.0298mz/2.58min",74609.8596,24869.9532,24869.9532,24869.9532,124349.766,259419.56,184581.3
"94/213.9639mz/2.63min",357533.295,295934.56,361904.06,332629.38,353162.53,370720.22,2139206.8
"95/178.051mz/2.62min",173596.56,150918.5,179995.73,181987.83,159889.48,218435.84,167197.39
"96/165.0557mz/2.66min",4727.3976,4727.3976,4727.3976,4727.3976,4727.3976,32054.031,23636.988
"97/158.0823mz/2.72min",686324.77,608420.6,534149.56,567824.4,764228.94,1072132.9,786913
"98/444.2003mz/2.73min",32127.16,10987.552,32905.71,31348.61,38505.96,44008.832,29614.871
"99/131.0714mz/2.81min",4401945.25,3969693.8,5380116.5,4644734,3291480.2,5136345,4159156.5
"100/158.0823mz/2.81min",1401702.55,1320021,1062837.8,1061862.4,1483384.1,2040935.5,1566216.5
"101/315.1562mz/2.85min",587980.655,123505.51,516156.75,472470.75,659804.56,858830.44,736061.5
"102/426.1898mz/2.88min",215940.35,120845.28,217184,214696.7,252305.08,236602.33,210344.14
"103/341.1005mz/2.93min",69419.84,12610.019,107723.97,118550.06,68312.06,59012.645,70527.62
"105/167.035mz/2.92min",254528.288,60195.508,46118.234,71221.016,437835.56,611378.9,580268.44
"106/181.0718mz/2.94min",103228.115,65953.75,13190.75,13190.75,400481.28,155820.1,140502.48
"107/171.1027mz/2.95min",79713.41,257055.6,42814.19,37708.93,201062.7,65393.94,94032.88
"108/186.1135mz/2.95min",1054429.5,1674071.9,1777681.5,1475168.5,633690.5,378235.4,391172.28
"109/426.1898mz/2.97min",1398039.55,823611,1445008.5,1351070.6,1629773.6,1450117.8,1299437.1
"110/192.0666mz/2.97min",798350.9,674453.3,478064.7,520074.75,971315.06,1302227.5,922248.5
"111/172.098mz/2.96min",332483.62,260570.53,440715.56,426508.38,297224.44,367742.8,278189.47
"112/153.0557mz/2.98min",149961.07,205231.05,700604.56,825801.06,60872.29,71437.805,94691.09
"113/341.1005mz/2.99min",283723.035,123143.69,162445.8,182483.23,466759.8,384962.84,513821.9
"114/456.2003mz/2.99min",81136.732,69451.23,115060.05,118270.31,92822.234,53302.52,67264.06
"115/165.0557mz/3.02min",728986.63,710869.06,951157.7,894746.1,481049,747104.2,551101.4
"116/195.0663mz/3.06min",178946.7275,2865.3646,14326.823,28879.705,483593.56,329013.75,374888.78
"117/173.0819mz/3.04min",458481.715,484495.03,371902.28,408927.53,534773.7,455490.03,461473.4
"118/164.0354mz/3.05min",595013.825,596248.4,621138.6,616422.75,456223.8,593779.25,507423.9
"119/186.0772mz/3.06min",689531.85,751721.4,827539.5,852534.44,581848.2,627342.3,571161.5
"121/456.2004mz/3.1min",524017.66,479606.62,690616.44,641559.7,568428.7,363640.22,395252.94
"123/227.129mz/3.19min",119179.9075,178045.78,181693.89,193533.22,48792.426,60314.035,24520.217
"124/245.0932mz/3.2min",1978882.3,1894369.5,2654307.2,2527735.5,1642259.2,2063395.1,1644995.1
"125/527.167mz/3.25min",7286.128,7286.128,7286.128,7286.128,7286.128,36430.64,165209.5
"126/329.124mz/3.21min",248051.14,224558.52,176168.56,274336.78,237978.83,258123.45,260001.17
"127/195.0663mz/3.19min",42699.841,33409.28,27895.129,50549.05,120366.44,40774.582,44625.1
"129/178.051mz/3.25min",574884.69,575404.44,568215.5,574364.94,546595.94,691299.6,598221.8
"130/181.0507mz/3.26min",602695.25,218811.7,288029,298500.4,906890.1,1214930.8,1137255.1
"131/187.0976mz/3.3min",61310.601,56617.836,54389.21,143267.12,65836.21,80745.4,56784.992
"132/262.1376mz/3.33min",211351.435,213608.73,209094.14,238543.3,102457.72,421614.12,94546.53
"133/144.0455mz/3.27min",434252.705,513206.5,301320.53,319832.7,515495.7,452597.44,415907.97
"134/261.1343mz/3.27min",605745.89,344645.75,421772.78,395828.06,896742.6,854198.4,789719
"135/527.1669mz/3.3min",148247.412,49415.804,49415.804,49415.804,247079.02,569200.7,420580.97
"136/177.0557mz/3.3min",65315.092,88605.086,74620.5,109777.08,47937.6,47997.45,56009.684
"137/173.082mz/3.31min",17916.348,30709.826,56400.992,29860.58,5972.116,5972.116,5972.116
"138/487.3056mz/3.32min",3178.4982,35397.53,3178.4982,3178.4982,15892.491,3178.4982,3178.4982
"139/121.0295mz/3.32min",88043.538,66558.18,86094.164,87827.99,88259.086,129637.64,109951.78
"140/138.0197mz/3.32min",1538467.5,1879500.2,1327426.9,1155854.9,2190062,1638776.5,1438158.5
"141/265.0716mz/3.34min",98817.745,52174.27,10434.854,10434.854,145461.22,233086.47,165177.7
"142/193.0506mz/3.35min",652170.42,145733.64,86492.84,98646.414,1166417.4,1158607.2,1371411.6
"143/292.1189mz/3.36min",34234.7628,11411.5876,11411.5876,11411.5876,57057.938,62299.42,81757.46
"144/329.1218mz/3.36min",307353.64,136420.83,280547.44,272541.03,334159.84,400446.75,399531.7
"146/261.1344mz/3.36min",5296367.25,3143275,3644073.5,3471753.5,7820008.5,7452219.5,6948661
"147/187.0976mz/3.36min",213366.68,92946.82,125076.46,211190.56,238945.94,238916.6,215542.8
"148/245.0455mz/3.38min",123598.795,30733.21,29190.623,23235.484,216464.38,322787.84,322201.16
"149/269.1031mz/3.41min",21847.6476,36412.746,37768.895,50124.723,7282.5492,7282.5492,7282.5492
