"","FC","log2(FC)","raw.pval","-log10(p)"
"1650/637.4373mz/6.42min",2.0848,1.0599,0.0005378,3.2694
"2881/627.2598mz/8.21min",248.61,7.9577,0.00054231,3.2658
"1652/682.4395mz/6.42min",2.07,1.0497,0.00055334,3.257
"239/652.2164mz/3.92min",11.327,3.5016,0.00058366,3.2338
"1111/443.2081mz/5.32min",0.30813,-1.6984,0.00058398,3.2336
"744/434.2626mz/4.85min",14.592,3.8671,0.00060037,3.2216
"687/853.27mz/4.78min",370.05,8.5316,0.00061298,3.2126
"711/530.1828mz/4.8min",243.55,7.9281,0.00062853,3.2017
"208/517.1713mz/3.79min",0.43877,-1.1885,0.00063213,3.1992
"2961/99.9258mz/8.45min",9.026,3.1741,0.00064473,3.1906
"1655/1126.6584mz/6.42min",5.3458,2.4184,0.00065355,3.1847
"522/423.1814mz/4.57min",0.24718,-2.0164,0.00066552,3.1768
"1651/636.4342mz/6.42min",2.1145,1.0803,0.00068225,3.1661
"238/512.1923mz/3.91min",10.023,3.3253,0.00069981,3.155
"560/498.2134mz/4.63min",229.95,7.8452,0.00071851,3.1436
"1497/668.4236mz/6.06min",3.4858,1.8015,0.00074681,3.1268
"246/718.3345mz/3.92min",11.925,3.5759,0.0007583,3.1202
"1513/526.315mz/6.07min",3.1888,1.673,0.00077862,3.1087
"354/503.1569mz/4.26min",0.36154,-1.4678,0.00077969,3.1081
"281/395.0772mz/4.1min",13.337,3.7374,0.00079941,3.0972
"375/371.0771mz/4.32min",202.16,7.6593,0.00082016,3.0861
"219/718.3345mz/3.84min",11.926,3.576,0.00082124,3.0855
"833/536.3224mz/4.98min",0.44965,-1.1531,0.00083051,3.0807
"1712/566.3464mz/6.58min",2.344,1.229,0.00083207,3.0798
"1559/640.3927mz/6.15min",2.3362,1.2242,0.00084332,3.074
"1722/650.4497mz/6.6min",3.8961,1.962,0.00093492,3.0292
"1654/489.2182mz/6.42min",3.2615,1.7055,0.00096718,3.0145
"665/551.2395mz/4.76min",12.697,3.6664,0.00099705,3.0013
"964/897.37mz/5.15min",0.18739,-2.4159,0.0010022,2.999
"194/718.3345mz/3.78min",15.136,3.9199,0.0010211,2.9909
"197/459.2824mz/3.75min",3.604,1.8496,0.0010472,2.98
