row ID,row m/z,row retention time,row ion mobility,row ion mobility unit,row CCS,correlation group ID,annotation network number,best ion,auto MS2 verify,identified by n=,partners,neutral M mass,NEG_D5-227-C4-a_Run314.mzML Peak area,NEG_D5-227-C4-b_Run317.mzML Peak area,NEG_D5-227-C4-c_Run320.mzML Peak area,Yeast_HE_D5-Ctrl_b_neg_20190515_Run40.mzML Peak area,Yeast_HE_D5-Ctrl_a_neg_20190515_Run37.mzML Peak area,Yeast_HE_D5-Ctrl_c_neg_20190515_Run43.mzML Peak area,
708,80.94785059316085,10.182521,,,,,,,,,,,0,0,0,849612.6,930464.2,815978.7,
390,80.94789550624331,7.77153,,,,54,,,,,,,0,0,0,878339.6,608120.56,868997.2,
435,80.94789805124314,7.8716245,,,,45,,,,,,,0,0,0,766733.0,554205.44,662708.0,
299,80.94791555914604,7.374944,,,,27,,,,,,,0,0,0,605250.75,453578.38,696817.56,
820,81.52050967563817,10.492288,,,,10,,,,,,,0,0,0,2.7274882E7,2.9259034E7,2.7966768E7,
21,84.95978609001521,0.43599412,,,,,,,,,,,0,0,0,2880147.2,4203904.0,1.0379863E7,
35,89.05977239449372,2.7459037,,,,,,,,,,,0,0,0,462431.1,1227202.5,361792.6,
749,89.50665340911765,10.333573,,,,49,,,,,,,0,0,0,1.144064E7,1.1433834E7,1.2806039E7,
777,90.50668872766512,10.374984,,,,49,,,,,,,0,0,0,4709399.5,4638022.0,4725757.5,
825,90.52588585570722,10.506519,,,,10,,,,,,,0,0,0,4.0922364E7,4.135648E7,3.760239E7,
780,91.50438987445584,10.376733,,,,49,,,,,,,0,0,0,1792999.4,1763337.5,1804893.0,
802,94.04510039170087,10.450604,,,,,,,,,,,0,0,0,4974401.0,4939875.0,4732135.5,
22,96.95998139780401,0.43414214,,,,,,,,,,,562334.44,728510.3,1366559.4,0,0,0,
839,96.96000546707178,11.140102,,,,,,,,,,,519716.78,518991.78,1277851.1,0,0,0,
748,97.51440243356647,10.333434,,,,49,,,,,,,0,0,0,1307722.9,1388868.0,1278102.9,
