"","filter","2024_NEG_Anid-EV-gpdA_CTRL_1_Run189.mzML","2024_NEG_Anid-EV-gpdA_CTRL_2_Run209.mzML","2024_NEG_Anid-EV-gpdA_CTRL_3_Run239.mzML","2024_NEG_Anid-TJGIp11_1_Run168.mzML","2024_NEG_Anid-TJGIp11_2_Run206.mzML","2024_NEG_Anid-TJGIp11_3_Run253.mzML"
"130/151.04mz/2.36min",130478.215,178662.47,82293.96,179645.53,232290.16,49506.062,24022.07
"131/153.0193mz/2.38min",361440.75,281949.4,11751.6455,338011.66,1464041.8,384869.84,427965.97
"132/497.1775mz/2.37min",285572.285,107139.07,4048.9906,537579.6,746957.56,464005.5,20244.953
"133/196.0979mz/2.38min",345580.22,75038.305,239042.84,294022,621240.3,416223.72,397138.44
"134/343.0756mz/2.38min",962940.75,476613.34,1149525.6,920749.7,947460.25,978421.25,1146514.2
"135/259.1017mz/2.38min",5593894.5,1215525.9,3704846.5,4624414,8026894,6563375,7222770
"136/102.056mz/2.38min",560119.75,126429.46,318910.78,458060.06,993786.94,662179.44,762479.44
"137/326.0859mz/2.38min",766653.03,260018.92,753785.56,621320.25,855747.94,779520.5,856772.8
"138/517.2039mz/2.38min",4732403.4,215200.1,1942954.1,3347639.8,7191703,6117167,6924359
"139/258.0983mz/2.39min",46078280,10445179,30243790,38100204,66441380,54056356,58883056
"140/539.1859mz/2.39min",1464649.15,103796.11,822965.1,1150496.8,2335910.5,1778801.5,2129326
"141/129.0557mz/2.39min",1032798.65,1629584,1129230.8,867372.56,1772528.9,847378.8,936366.5
"142/535.2146mz/2.38min",336685.775,22234.382,111171.91,237906.3,514279.8,435465.25,489172.16
"143/214.1085mz/2.39min",5061265.75,1160888.5,3325075.8,4225825,8298482.5,5896706.5,6536729
"144/184.0979mz/2.39min",1263881.65,277532.47,772941.06,1028870.8,2096902.4,1498892.5,1643344.2
"145/260.1033mz/2.39min",621882.91,126731.164,402137.44,505332.12,935133.4,738433.7,786741.56
"147/230.1034mz/2.43min",240760.885,57396.426,349658.62,184354.75,288979.66,192542.11,490538
"148/675.2884mz/2.42min",328425.6,162901.23,30545.7,493949.97,1562073.2,1092062.5,152728.5
"149/175.0612mz/2.47min",477260.985,117123.93,615107.75,339414.22,2389958.5,210174.17,1142591.6
"150/224.0644mz/2.43min",225966.465,281068.62,8557.3624,170864.31,479283.53,347477.44,42786.812
"151/223.0612mz/2.43min",2060125.1,2570011.2,200216.19,1550239,4220615.5,3042772,529659.75
"152/301.1406mz/2.43min",56923.4325,4040.9558,241721.33,91643.39,22203.475,5316.909,138734.77
"153/607.2412mz/2.43min",440102.585,715901.25,77619.594,676877.75,388097.97,492107.2,77619.594
"154/416.1825mz/2.43min",6099314.25,7390385.5,167661.712,5832753,6440430,6365875.5,838308.56
"155/833.373mz/2.43min",204038.32,262364.44,35845.66,179228.3,234176.27,228848.34,35845.66
"156/479.1783mz/2.44min",1114129.85,1667347.6,37939.178,1153499.8,1074759.9,1330789.5,189695.89
"157/204.0302mz/2.45min",656891.365,99421.125,207989.19,867152.2,1745204.2,964493.7,446630.53
"158/188.0353mz/2.46min",278784.76,109671.16,1694989.2,144998.45,299024.38,258545.14,1368027.5
"159/213.0404mz/2.44min",180999.125,201749.39,6389.836,160248.86,222566.28,353794.12,1277.9672
"160/228.0877mz/2.45min",232670.22,52272.883,4374.6562,235428.1,519609.28,561011.06,229912.34
"162/158.0822mz/2.46min",270600.075,180777.38,577348.4,319225.88,376643.66,221974.27,184765.8
"165/194.0458mz/2.47min",2091944.65,2185787,2071742.8,2076176.5,2633379.2,2107712.8,1752913.8
"166/259.1299mz/2.47min",3881683.85,852323.44,18700914,2267970.5,4712119.5,3051248.2,6160753.5
"167/260.1331mz/2.47min",461101.3,94205.65,2232311,260988.25,566862.2,355340.4,723954.44
"168/322.1256mz/2.47min",224945.04,25414.344,1136077.4,142249.03,245972.6,203917.48,439093.9
"170/260.114mz/2.48min",987938.1,657422.4,510016.7,2102860.5,1924018.9,1318453.8,591474.3
"171/344.1072mz/2.47min",28111.2915,2319.0636,383895.97,11595.318,32367.113,23855.47,84706.24
"172/144.0455mz/2.48min",375370.98,437616.56,206200.88,507961.06,411038.34,339703.62,199054.38
"173/230.1034mz/2.48min",330745.16,116940.984,332115.88,272870.84,558570.94,362285.22,329374.44
"174/779.318mz/2.49min",1806489.2,1800103.2,522346.03,2007916.6,2078723.6,1812875.2,1111586.8
"175/752.299mz/2.49min",967492.095,956915.75,267976.6,1458153.1,978068.44,1005670.25,709797.1
"176/716.3225mz/2.49min",5108031,5178271.5,1430715.5,5872326,6217098,5037790.5,2886302.2
"178/907.3803mz/2.49min",583439.905,636569.25,9835.242,940853.75,649127.3,530310.56,49176.21
"179/167.0349mz/2.5min",734347.325,461200.66,113377.56,772680.4,2134674.5,1468209.5,696014.25
"180/190.0509mz/2.5min",300044.955,504496.3,5313.3118,561037.9,251416.61,348673.3,26566.559
"181/146.0611mz/2.5min",1869897.8,2389884.5,80791.28,2756698.8,1908432.5,1831363.1,236484.66
"182/285.098mz/2.49min",63108.43,60037.6,883797.56,66179.26,12007.52,12007.52,194998.92
"183/181.0506mz/2.51min",4409622.5,6129953.5,234690.27,4289143.5,4530101.5,6027999,279635.7
"184/182.0539mz/2.51min",394676.08,600040.06,1606.9583,382625.06,406727.1,567034.2,8034.7915
"186/786.2858mz/2.52min",493830.5,675615.7,481800.66,598432,505860.34,446815.22,458808.97
"187/175.0612mz/2.53min",3019516.6,1386378.8,2377844.8,3839409.2,4959144.5,2520565.2,3518468
"188/139.0401mz/2.53min",5467103.75,4737985.5,8704073,5775304.5,5158903,4211257,5775885.5
"190/95.0502mz/2.53min",440281,389554.56,706776.06,421446.06,465807.16,358783.53,459115.94
"191/303.1562mz/2.54min",594713.625,248911.22,1112161,630091.5,559335.75,365944.25,1260367
"192/153.0193mz/2.53min",2285711.35,1671697.9,168625.7,3228403.2,4398986.5,2899724.8,338493.28
"193/492.1987mz/2.55min",151516.8225,273914.9,25761.154,404897.38,219575.02,83458.625,24069.113
"194/286.1492mz/2.55min",429564.91,617425.6,371526.94,728680.7,394109.2,311606.8,465020.62
"195/348.1409mz/2.55min",150408.045,381413.38,62093.863,332900,120884.62,70174.2,179931.47
"197/285.1456mz/2.55min",3200764.5,4474851.5,2732630.2,5358087.5,3039320.8,2399790.8,3362208.2
"201/587.2935mz/2.56min",1523695.6,1086634.4,1997885,2865989.5,1211782.8,771088.25,1835608.4
"202/171.0775mz/2.57min",299845.32,157486.55,433871.4,299151.2,307162.56,174366.38,300539.44
"203/301.1406mz/2.57min",49208657,25216978,73522000,51642104,46775210,30681806,54371812
"204/364.1359mz/2.57min",1680666.85,1376104.9,3069737.5,1886384.1,1474949.6,1358404.5,2211499.8
"205/399.1075mz/2.57min",702396,426584.75,1344508.9,756663.56,648128.44,522581.47,1004153.3
"206/605.2945mz/2.57min",805400.345,238602.8,1865594.2,906146.94,704653.75,351932.56,989512.9
"207/625.2704mz/2.57min",1172612.2,469911.5,1903924.4,1203756.8,1141467.6,656698.56,1271166
"208/303.1458mz/2.57min",815122.88,398604.47,1221573,848840.56,781405.2,507908.38,871794.6
"209/302.1441mz/2.57min",6915861.5,3492414,10358568,7234202.5,6597520.5,4314780,7628015.5
"210/603.2887mz/2.57min",12371645,3363678.2,28278832,14309502,10433788,5445571.5,15693983
"213/927.4186mz/2.57min",174606.69,43615.727,392195,208207.36,141006.02,84104.4,238170.2
"215/548.2462mz/2.59min",271241.56,44223.883,866845.75,187059.62,355423.5,170938.72,702795.4
"216/246.0983mz/2.59min",3494072,811313,6034660,1981529.4,4414399,2573745,6946936
"217/386.1179mz/2.6min",592180.6,605985.1,718695.4,578376.1,568366.3,566091.9,673952.5
"218/214.1085mz/2.6min",866251.2,561235.4,1268595.4,825513.5,1185460.9,906988.9,720853.7
"219/247.1016mz/2.6min",386588.72,54184.26,561953.8,190008.28,492389.38,280788.06,734450.3
"220/196.9761mz/2.59min",406947.1,301248.62,465893.12,405646.5,408247.7,389247.03,466917.06
"222/183.0662mz/2.61min",390156.61,540350.3,132644.8,331445.22,549269.1,448868,151501.72
"224/295.1147mz/2.61min",327552.27,349573.6,412586.5,411388.56,291555.44,305530.94,100826.06
"225/554.2332mz/2.61min",169967.54,38018.344,79497.43,185010.92,281237.62,191249.4,154924.16
"227/532.2513mz/2.61min",205680.68,25320.041,115623.016,212108,320136.8,199253.36,212246
"228/233.1223mz/2.61min",486321.98,326370.97,436401.66,625542,764069.9,536242.3,265043.97
"229/131.0714mz/2.61min",250877.27,106081.914,376062.72,214866.44,286888.1,172349.34,480726.88
"230/232.119mz/2.61min",4517557.35,3193854.8,3927500.2,5810687,7346308.5,5107614.5,2509302.8
"231/464.2335mz/2.61min",62906.235,26547.76,27830.521,157258.45,290287.25,78020,47792.47
"233/463.2302mz/2.62min",487255.265,149767.28,147908.44,719745,1269821,888035.3,254765.53
"236/118.051mz/2.62min",231414.79,93884.59,71693.07,253694.61,698848.75,453164.12,209134.97
"238/100.0404mz/2.62min",307008.27,78777.93,103574.09,354619.7,989315.9,572995.7,259396.84
"239/129.0557mz/2.62min",1805754,1719819.2,1151774.9,1891688.8,4191783.8,2395206.8,1368983.1
"240/461.214mz/2.62min",2336514.25,419519.47,192443.73,2983340,12323824,8903803,1689688.5
"241/230.1034mz/2.62min",26611169,10619597,7432545,30487230,79912584,55138970,22735108
"242/231.1067mz/2.62min",2897269.3,1100848.9,755203.4,3302321.8,8778968,6025314,2492216.8
"245/232.108mz/2.62min",245741.665,90338.33,59297.223,276209.16,751984.6,531390.44,215274.17
"246/258.0982mz/2.61min",554489.43,33701.71,278144.28,429026.06,1070945.8,848190.2,679952.8
"247/356.0983mz/2.63min",128431.257,100307.414,624918.25,156555.1,54598.527,40505.516,351016.4
"249/483.196mz/2.63min",574852.11,163752.9,61942.793,694199.5,2016481.8,1611477.1,455504.72
"251/293.0991mz/2.63min",1665607.8,892685.25,580553.44,1794097.4,2751055.5,2789006.2,1537118.2
"252/1000.3444mz/2.63min",129552.73,117441.19,61307.67,141664.27,281939.25,185686.53,77923.86
"253/315.081mz/2.63min",622429.06,354744.88,191706.05,692027.56,978878.75,1006424.7,552830.56
"254/815.2395mz/2.64min",148799.165,514280.72,383798.2,165683.47,87168.016,89745.78,131914.86
"256/225.0768mz/2.66min",179625.26,223414.23,25277.709,222085.72,228674.67,137164.8,13198.01
"258/211.0612mz/2.65min",695912.83,590102.56,125677.65,801723.1,1284342.9,846352.6,395273.2
"260/298.0908mz/2.65min",322999.51,125201.16,189908.5,294855.8,477886.5,472660.72,351143.22
"261/167.0713mz/2.67min",863730.93,670225.3,2745467.8,1036044.8,691417.06,498569.9,1074727.5
