"","Filename","2024_NEG_Anid-EV-gpdA_CTRL_1_Run189.mzML","2024_NEG_Anid-EV-gpdA_CTRL_2_Run209.mzML","2024_NEG_Anid-EV-gpdA_CTRL_3_Run239.mzML","2024_NEG_Anid-TJGIp11_1_Run168.mzML","2024_NEG_Anid-TJGIp11_2_Run206.mzML","2024_NEG_Anid-TJGIp11_3_Run253.mzML"
"1","Class","CTRL","CTRL","CTRL","EXP","EXP","EXP"
"2","83/158.0822mz/2.03min","1757339.9","849526.0","2704415.0","3127446.8","2064021.2","408615.84"
"3","84/259.1299mz/2.05min","35161.23","649007.56","327979.03","712499.7","218383.8","394663.88"
"4","85/287.0521mz/2.08min","428024.3","0.0","1240835.4","862934.1","634026.44","122798.06"
"5","86/129.0557mz/2.08min","236953.4","316890.3","356303.44","238819.11","186406.78","296252.0"
"6","87/224.0564mz/2.08min","1844548.4","53657.336","4004757.8","3323439.8","2742962.8","384557.38"
"7","88/220.0649mz/2.1min","4612899.0","1579906.5","5325016.5","3016987.5","2916109.2","1607890.2"
"8","89/231.0986mz/2.1min","105233.125","4955452.5","455113.7","1330310.4","732896.4","2233159.0"
"9","91/117.0558mz/2.13min","1755526.6","1451007.2","2344461.5","2114545.0","1270615.2","506727.28"
"10","93/153.0194mz/2.14min","428030.44","65733.805","551949.9","1505157.1","1099842.6","49135.77"
"11","94/167.035mz/2.15min","440209.75","77185.41","483832.0","189221.44","323171.3","148316.22"
"12","97/218.1034mz/2.18min","3617362.2","1247059.8","2371523.8","3969094.8","2189324.2","1301513.1"
"13","98/281.099mz/2.18min","734695.2","195523.22","442941.38","653979.0","441446.84","296868.9"
"14","99/197.0455mz/2.21min","96708.57","4433.881","87082.72","257270.5","167318.3","34187.63"
"15","101/146.054mz/2.22min","0.0","148621.98","74796.29","159625.88","97455.11","768489.94"
"16","102/145.0507mz/2.22min","682620.2","3286541.0","1699586.8","3020562.0","2122624.5","12416666.0"
"17","103/313.0908mz/2.23min","0.0","42083.68","0.0","11412.24","3950.7153","562302.94"
"18","104/144.0666mz/2.23min","225168.8","0.0","315630.38","283550.2","139310.47","0.0"
"19","105/230.0282mz/2.22min","13737.469","250047.78","96711.83","175382.75","147054.22","745987.25"
"20","106/199.0612mz/2.24min","73623.516","833764.1","126215.17","47975.812","59790.92","227172.33"
"21","107/190.0544mz/2.25min","471386.72","17240.754","443645.12","182268.84","213606.86","0.0"
"22","109/125.0245mz/2.27min","2595277.0","725272.4","1992623.1","4670140.0","3182481.0","1414380.9"
"23","110/420.151mz/2.27min","80225.72","189714.14","1049589.8","1501938.9","1247529.0","415002.72"
"24","111/287.1249mz/2.27min","0.0","2802970.2","88198.22","305902.78","142998.5","1912763.0"
"25","112/181.0507mz/2.28min","522474.1","178229.75","536321.06","479480.56","284841.62","98345.98"
"26","113/245.1142mz/2.28min","214729.9","95139.44","436014.12","434949.28","296052.62","41142.01"
"27","114/277.0387mz/2.3min","286371.78","0.0","405806.78","471240.72","476090.47","29921.057"
