CLUSTERID1	CLUSTERID2	ComponentIndex	Cosine	DeltaMZ
1337	1796	3	0.9278	-108.131
1789	2006	3	0.8547	29.027
1189	1739	3	0.8381	-47.084
2046	2047	3	0.9782	-28.031
1803	2006	3	0.8889	2.015
1457	1813	3	0.8814	23.999
1701	1813	3	0.9341	-29.028
1343	1815	3	0.9668	-28.031
1845	2025	3	0.9979	0.000
957	1190	3	0.9315	-27.995
1592	1845	3	0.9878	-0.000
1527	1802	3	0.9719	28.031
1343	1527	3	0.9879	-28.031
1343	1811	3	0.9924	108.130
1776	2046	3	0.9666	14.015
1789	2066	3	0.946	-0.000
1796	1805	3	0.9309	27.995
1554	1805	3	0.9752	27.994
1392	1806	3	0.9605	-27.995
1564	1806	3	0.9931	-0.000
1425	1796	3	0.9354	-108.131
957	1240	3	0.9128	-27.995
1294	1299	3	0.9195	27.995
2047	2049	3	0.9452	14.015
1526	2066	3	0.9124	23.999
1949	2035	3	0.8846	-2.014
1393	1450	3	0.9321	108.130
1450	1763	3	0.9396	-477.309
1526	1755	3	0.8871	87.031
465	1079	3	0.8731	-92.135
957	1070	3	0.9818	-2.016
1526	2025	3	0.889	87.032
1620	1701	3	0.8351	29.027
1450	1577	3	0.952	-108.130
1815	2051	3	0.8383	4.031
1343	2046	3	0.9884	-0.000
1393	1789	3	0.9684	-0.000
1805	2055	3	0.945	0.000
1344	1805	3	0.8676	15.995
1567	1813	3	0.9522	-29.028
1567	2020	3	0.9683	-29.027
1240	1755	3	0.9139	-191.193
1755	1806	3	0.8638	-71.037
1813	2020	3	0.9842	0.001
1567	1620	3	0.8676	-29.027
1282	2020	3	0.8573	91.016
975	1804	3	0.8299	-262.229
1802	1811	3	0.9767	108.130
1189	1701	3	0.9473	1.032
1373	1802	3	0.9317	-108.130
1393	2066	3	0.9367	-0.001
1554	1564	3	0.8567	-24.000
975	2051	3	0.8226	-262.229
1282	1701	3	0.8148	120.043
1425	1539	3	0.8443	-91.016
1804	2047	3	0.862	-4.032
1189	1567	3	0.9458	1.032
1240	1592	3	0.9046	-191.192
1008	1392	3	0.933	-234.199
1776	1815	3	0.9662	-14.015
1799	2034	3	0.9177	-0.001
1079	1189	3	0.8845	24.000
1554	1796	3	0.954	-0.000
498	529	3	0.8892	-27.995
1799	1805	3	0.9009	-1.034
1337	1811	3	0.8392	-91.016
1949	2006	3	0.9958	0.001
1776	2049	3	0.9414	-0.000
529	1457	3	0.9505	-108.131
1536	1815	3	0.9366	-28.031
1660	2069	3	0.9406	-26.015
1291	1337	3	0.9872	0.000
1739	2020	3	0.8253	19.089
254	666	4	0.8455	-112.125
1963	1966	5	0.9939	-124.125
1618	1635	5	0.9459	-38.016
1618	2027	5	0.9888	-14.016
1745	1847	5	0.9838	-108.131
1963	2027	5	0.9928	0.000
1565	2024	5	0.9883	-108.131
1728	1812	5	0.7755	-1.074
1745	1754	5	0.9851	-108.131
1538	1966	5	0.9877	-136.125
1565	1851	5	0.995	-0.000
1754	2024	5	0.9918	-0.000
1847	2027	5	0.9937	108.131
1618	1963	5	0.9823	-14.016
1538	1943	5	0.9909	-12.000
2024	2027	5	0.9886	108.131
1729	1812	5	0.9634	-0.070
1851	1943	5	0.9886	-0.000
1754	1963	5	0.9843	108.131
1603	2027	5	0.9871	108.130
1538	2024	5	0.9877	-120.130
1847	1963	5	0.9868	108.131
1538	1603	5	0.9855	-120.130
1603	2024	5	0.9885	-0.000
