"","Filename","2024_NEG_Y-EV_1_CTRL_Run89.mzML","2024_NEG_Y-EV_2_CTRL_Run118.mzML","2024_NEG_Y-EV_3_CTRL_Run139.mzML","2024_NEG_Y-6MSAS_1_Run92.mzML","2024_NEG_Y-6MSAS_2_Run109.mzML","2024_NEG_Y-6MSAS_3_Run136.mzML"
"1","Class","CTRL","CTRL","CTRL","EXP","EXP","EXP"
"88","224/497.0371mz/4.67min","1529486.2","1528771.4","1537139.2","1492656.4","1569454.4","1911434.5"
"89","227/637.0305mz/4.74min","5148720.0","5728408.5","6099299.0","5595658.0","5597071.0","7260419.5"
"90","229/227.9666mz/4.74min","6044906.0","6444993.5","6507448.5","6251115.5","6381736.5","6115800.0"
"91","230/229.9645mz/4.74min","5962377.5","6257572.0","6281956.0","6118480.5","6242187.5","5932544.0"
"92","231/228.9699mz/4.74min","490618.6","506263.34","503694.16","509148.06","503244.03","490806.75"
"93","232/230.9678mz/4.75min","453998.22","476826.62","507543.5","490452.5","514317.16","458680.66"
"94","233/266.9888mz/4.76min","1341550.4","1477297.2","1509454.0","1542034.8","1465502.4","1477058.2"
"95","234/268.9857mz/4.76min","410500.8","464914.88","482757.22","515233.22","473326.66","480095.34"
"96","235/909.0177mz/4.92min","177093.1","647804.7","295000.0","415086.2","631499.0","598883.5"
"97","236/483.0381mz/4.92min","299999.25","282577.3","344453.97","308611.75","326269.62","360227.1"
"98","237/426.9678mz/4.92min","8612498.0","12882144.0","9713083.0","9593555.0","10365459.0","8841962.0"
"99","239/481.0421mz/4.92min","4716066.0","4431022.5","5408636.0","4890699.5","5162334.0","6007762.0"
"100","240/544.038mz/4.92min","1927776.9","1844131.1","2129204.2","1926983.1","2035126.2","2302882.2"
