"","filter","2024_NEG_Y-EV_1_CTRL_Run89.mzML","2024_NEG_Y-EV_2_CTRL_Run118.mzML","2024_NEG_Y-EV_3_CTRL_Run139.mzML","2024_NEG_Y-6MSAS_1_Run92.mzML","2024_NEG_Y-6MSAS_2_Run109.mzML","2024_NEG_Y-6MSAS_3_Run136.mzML"
"123/175.0611mz/2.04min",34423.8495,33782.637,47234.715,59266.492,35065.062,24922.709,4984.5418
"125/156.0666mz/2.06min",1834645.15,1941036.9,2403060,2666349.5,1524809.4,1728253.4,664302.8
"126/378.1338mz/2.1min",1555994.95,1795059.2,1754215.5,2076771.2,1357774.4,1092948.1,880817.7
"127/328.9796mz/2.11min",1276852.3,1287814.6,1309428.2,1167734.8,1429602,1265890,999467.25
"129/117.0558mz/2.12min",2939190.1,2737682,3140698.2,5628634,2393960.5,3407239.8,2283121.8
"130/288.0725mz/2.17min",419603.68,422992.06,359066.75,1185276.6,381449.22,498494.8,416215.3
"131/322.0603mz/2.29min",411253.47,700599.56,390128.78,1830993.4,303658.16,432378.16,363124.97
"132/272.0776mz/2.33min",103055.7525,101462.875,107388.11,341064.5,81310.836,104648.63,90974.734
"133/290.0882mz/2.33min",2557632.8,2449404.8,2665860.8,6628149.5,1449561.1,2831930.8,1612686
"134/223.0724mz/2.37min",296776.65,315993.7,362429.84,352128.34,277559.6,255402.22,236347.27
"135/190.0548mz/2.41min",140860.705,214606.98,147239.72,1032941.6,77957.94,134481.69,99592.36
"136/175.0611mz/2.43min",176844.27,150813.27,202875.27,370098.16,143417.98,253354.05,108825.93
"137/129.0557mz/2.44min",1215086.05,821257.75,1109955.6,7938902.5,871958.3,2181105.8,1320216.5
"139/237.0881mz/2.52min",961863,961308,972926,1005261.06,962418,780488.06,834002.06
"140/176.0645mz/2.52min",261138.42,236457.88,277225.12,564928.94,245051.72,402543.06,178560.28
"141/175.0612mz/2.52min",3784409.6,3410724.2,4025306.2,7878366.5,3543513,5581184,2650634.2
"142/292.0463mz/2.54min",80300.765,81182.52,86465.484,194920.5,58672.766,79419.01,70469.67
"143/407.1206mz/2.6min",921407.2,1015384.1,1109963.1,1189438.8,827430.3,817057.2,718002.44
"144/373.0055mz/2.7min",1934254.05,1937484.5,1870944.9,1873511.6,1982973.2,2021066.6,1931023.6
"145/298.0933mz/2.72min",1971376.85,2152100.8,2145004,2047585.8,1895167.9,1362944.8,1165269.2
"146/178.0509mz/2.72min",1200415.85,1336737.8,1310032.2,1272146.6,1128685.1,825482,717270.25
"147/272.0776mz/2.74min",142085.07,135736.58,148433.56,356803.3,118966.53,156604.78,126845.59
"148/370.9898mz/2.77min",383989.47,663687.44,384175.6,343667.84,763494,351779.53,383803.34
"149/304.1038mz/2.77min",4194481.1,4091128.2,4297834,10568270,3478854,4483350,3830666.8
"150/286.0932mz/2.77min",261096.835,244878.42,277315.25,710545.56,210270.53,287817.8,222891.14
"151/224.0928mz/2.77min",162508.755,126442.28,176541.03,496896.03,138346.34,181966.77,148476.48
"153/113.0609mz/2.8min",341934.325,313835.66,351036.4,720924.5,332832.25,540174.1,252043.97
"154/157.0506mz/2.8min",3072358.15,2776096.2,3133822.5,6316448,3010893.8,4779762,2233135
"155/265.0176mz/2.83min",1695239.9,1650498.6,1697598.5,1611131,1692958.8,1697521,1707376.2
"156/136.0404mz/2.83min",5513896.75,5554352.5,6091058.5,9360481,5473441,4964485,5322649
"157/178.0509mz/2.87min",74264.53,70176.69,78352.37,93282.74,89517.58,51433.484,62144.83
"158/298.0933mz/2.87min",118325.2475,104070.305,134513,156303.84,132580.19,78273.195,87276.72
"159/180.0576mz/2.87min",192103.71,194758.06,212220.14,311428.88,180602.25,183191.95,189449.36
"161/131.0714mz/2.93min",5139295.25,4909828,5368762.5,8910363,4328811,5368838.5,4158496.8
"163/389.1564mz/2.95min",614188.25,591402.8,636973.7,1668351.4,512084.6,680291.75,557172.44
"164/258.0771mz/2.98min",31111.258,28898.996,38957.68,114398.67,29770.09,32452.426,28717.285
"165/320.0776mz/2.98min",125756.535,123456.59,128056.48,385347.88,103099.875,138969.95,104055.31
"166/338.0883mz/2.98min",1316525.8,1273225.5,1359826.1,3427858.2,1091105.4,1494705.4,1207014.6
"168/292.0463mz/3.0min",201891.6,191136.42,216288.08,504699.72,157803.23,212646.78,161007.6
"169/310.0569mz/3.0min",1871731.25,1837153.6,1906308.9,4493857.5,1547384.4,2044070.1,1658715
"170/172.0979mz/3.08min",305033.8,298350.94,311800.25,640666.4,272054.97,311716.66,276432.78
"171/229.1557mz/3.08min",337604.28,335455.78,339752.78,821279.56,283951.06,360503.03,319531.22
"172/189.0768mz/3.13min",574726.275,532595.44,571095.8,1085541.8,578356.75,776472.3,298513.7
"173/85.0659mz/3.13min",234994.85,200423.47,234140.6,428468.75,235849.1,309159.8,119433.805
"174/397.0055mz/3.13min",289288.39,288246.78,298091.1,278670.6,301320.84,290330,267994.47
"175/165.0557mz/3.13min",1688150.85,1644299.8,1732001.9,2991095.5,1623998.1,1827731,1510418
"176/113.0608mz/3.13min",46078.19,37502.145,41764.9,91464.484,50391.48,64109.266,18512.49
"178/164.0353mz/3.14min",1563207.15,1542885.9,1743191.1,3461248.5,1404999.9,1583528.4,1321342.2
"179/265.0176mz/3.17min",3018928.1,3220640.2,2998618.2,2735092,3167174,3039238,2890536.2
"180/224.0928mz/3.24min",428717.575,445819.62,411615.53,1179200.9,405339.5,493903.38,359512.28
"181/286.0933mz/3.25min",688019.8,676439.1,699600.5,1756810,608380.56,744247.5,635383.75
"182/403.172mz/3.28min",2763703,2711957.8,2815448.2,6745427,2415228,2979164.8,2554983.8
"183/421.0056mz/3.31min",87127.9975,83364.69,70822.27,1108250,90891.305,77314.57,96712.67
"184/238.0721mz/3.34min",173247.775,182107,196388.78,393158.6,164218.5,164388.55,140713.12
"185/178.0509mz/3.36min",310668.73,239134.67,320237.62,426447.7,404780.9,301099.84,188886.27
"186/144.0455mz/3.4min",215032.21,206891.5,207629.9,350988,231738.27,204341.67,222434.52
"187/258.0771mz/3.4min",162865.89,162731.03,163000.75,414691.03,135870.62,190932.78,149465.14
"188/421.0056mz/3.4min",3022400.5,3074538.5,2818251,2790453.5,3031163.2,3021596.8,3023204.2
"189/320.0777mz/3.4min",521840.72,518614.5,525066.94,1321670,445647.6,569439.7,477131.16
"190/292.0463mz/3.43min",46930.5445,45453.562,48407.527,124667.19,37077.082,53932.55,43470.996
"191/249.0227mz/3.49min",6475499.25,6407318.5,6707730,6543680,7056710.5,5915199.5,6221864.5
"192/280.4973mz/3.52min",4610269.25,4525342,4590429,4582421,4630109.5,5061902,5337592
"194/279.9958mz/3.52min",19444812,19185850,18329880,18195384,19776490,21762102,19703774
"195/582.981mz/3.52min",694399.75,692068.7,695000.56,639792.8,693798.94,707606.94,695125.5
"196/560.9991mz/3.52min",3617428.5,3583817.2,3651039.8,3427484,3710933.2,3662216.5,3502029.2
"197/403.172mz/3.54min",23108.298,6695.3677,23232.672,137740.3,1339.07354,47136.594,22983.924
"198/417.1877mz/3.55min",639767.28,649944.56,610076.2,1654156.2,546766.2,739537.06,629590
"199/405.0107mz/3.6min",18946386,18992736,19084708,16496108,18565356,18900036,19284600
"200/407.0044mz/3.6min",1260965.35,1281045.5,1295570.2,1165651.9,1247864.2,1250091.6,1271839.1
"201/811.0292mz/3.6min",333961.25,319416.56,336302.72,282409.06,331619.78,336790.28,348006.28
"202/406.0138mz/3.6min",3472476.5,3849010,3454241.5,3167832.8,3332651.5,3521528.5,3490711.5
"204/151.0401mz/3.83min",753927,251309,251309,251309,2447550.8,1256545,1368017.9
"205/421.0056mz/3.84min",462492.575,470162.9,432973.6,526468.06,565938.06,454822.25,340663.38
