"MetaboAnalyst_ID","X2024_NEG_Y.EV_1_CTRL_Run89.mzML","X2024_NEG_Y.EV_2_CTRL_Run118.mzML","X2024_NEG_Y.EV_3_CTRL_Run139.mzML","X2024_NEG_Y.6MSAS_1_Run92.mzML","X2024_NEG_Y.6MSAS_2_Run109.mzML","X2024_NEG_Y.6MSAS_3_Run136.mzML","shared_name"
"125/156.0666mz/2.06min",2.50664424668165,2.57154213592327,2.61250633976849,2.38725804929341,2.43266856134263,2.0359128688953,"125"
"126/378.1338mz/2.1min",2.47268923217793,2.43486047000345,2.50397791973056,2.33687010788841,2.23366069543168,2.15843279301043,"126"
"127/328.9796mz/2.11min",2.32846380828086,2.30785922331311,2.25393350532469,2.35925763741717,2.29745711894311,2.21331532010092,"127"
"129/117.0558mz/2.12min",2.6559934521647,2.6878037249393,2.93699227089777,2.58315946189542,2.72746383426026,2.57207581138151,"129"
"130/288.0725mz/2.17min",1.84494280926888,1.74595293716442,2.26040899228304,1.78547939962303,1.89272188105465,1.8328649203241,"130"
"131/322.0603mz/2.29min",2.06408036153884,1.78198570079889,2.44927604808051,1.68642773540041,1.83092503624806,1.77360304179608,"131"
"133/290.0882mz/2.33min",2.60767101707861,2.61661498912967,3.00798155641004,2.36527901586056,2.64714377217827,2.4210965514549,"133"
"137/129.0557mz/2.44min",2.13308996775028,2.23608314704515,3.0863497289736,2.14453822938624,2.53373787040621,2.33419189696702,"137"
"139/237.0881mz/2.52min",2.20147303290981,2.17885735706567,2.18886815009606,2.18740624378679,2.08742744295938,2.13471388715427,"139"
"141/175.0612mz/2.52min",2.75145705304532,2.79557644033954,3.08302544093595,2.75347650930136,2.94178747313198,2.63689652639051,"141"
"143/407.1206mz/2.6min",2.22524083192079,2.23608608157447,2.2619313828525,2.12177393789996,2.10731363661923,2.06967269732377,"143"
"144/373.0055mz/2.7min",2.50584869191192,2.46283852234407,2.45924565523732,2.50135932851824,2.50064176379385,2.49933431410721,"144"
"145/298.0933mz/2.72min",2.55147306272225,2.52220562915072,2.49783137648505,2.48169017623976,2.32953941434634,2.2799730125539,"145"
