"","Filename","Anid_HE_TJG15pt3_EV_alcA_CTRL_1_YT_pos_20210511_Run46.mzML","Anid_HE_TJG15pt3_EV_alcA_CTRL_2_YT_pos_20210511_Run102.mzML","Anid_HE_TJG15pt3_EV_alcA_CTRL_3_YT_pos_20210511_Run212.mzML","POS_TJGIp2_1_Run52.mzML","POS_TJGIp2_2_Run120.mzML","POS_TJGIp2_3_Run191.mzML"
"1","Class","CTRL","CTRL","CTRL","EXP","EXP","EXP"
"69","500/246.1699mz/2.57min","7546119.5","5569598.5","7187780.0","9395797.0","8402108.0","7855882.0"
"70","501/172.0968mz/2.56min","406509.4","401505.1","326796.97","537142.3","500704.2","681613.56"
"71","505/249.1232mz/2.59min","356498.94","243375.53","287143.44","349435.56","313342.34","284100.53"
"72","507/287.1599mz/2.59min","787019.56","691634.94","400399.38","1431353.5","1522977.6","1903458.6"
"73","508/200.0917mz/2.6min","394189.16","385048.97","314236.03","519093.25","542345.56","729740.94"
"74","511/231.1202mz/2.61min","0.0","22953.455","136761.31","26802.229","65450.316","8507.35"
"75","512/245.1859mz/2.62min","2159339.8","2612254.8","945779.4","1873182.1","1939901.1","3666885.8"
"76","513/211.1441mz/2.62min","302427.25","418825.06","1920185.1","358153.4","1627424.8","1635702.2"
"77","514/209.1285mz/2.62min","205043.95","205876.45","203026.39","254414.67","276008.7","344654.62"
"78","516/197.1285mz/2.62min","6243726.0","9634080.0","7679469.5","6361860.0","9147673.0","11731196.0"
"79","519/180.0656mz/2.62min","737293.25","647209.7","633424.56","794584.7","819749.1","868200.94"
"80","521/229.1546mz/2.63min","1860461.4","1984703.4","1528752.8","1959292.6","1968693.6","2135859.5"
"81","523/253.1157mz/2.65min","393380.8","157237.88","109273.15","227938.25","184487.11","225418.4"
"82","526/243.1339mz/2.64min","1657313.9","1471748.9","1360186.2","1770887.8","1657629.1","1895855.0"
"83","527/130.1591mz/2.65min","4536869.0","4149278.2","3103394.5","2893277.5","4881161.5","3638614.8"
"84","530/227.139mz/2.65min","404592.1","613979.6","325382.5","328028.84","945162.94","1142024.0"
"85","531/244.1372mz/2.65min","173281.19","148584.45","60109.33","180346.1","165640.19","182383.98"
"86","532/246.189mz/2.62min","292848.4","360027.7","55911.46","262995.47","250423.55","457743.5"
"87","537/202.1801mz/2.68min","121156.52","116500.46","108620.305","122150.13","123155.38","113956.11"
"88","538/120.0807mz/2.66min","172458.34","311901.16","175864.22","169653.67","202823.0","103981.25"
"89","540/263.1388mz/2.69min","2789428.8","2863609.5","1673697.1","3218773.8","3111846.2","4919801.5"
"90","542/188.1281mz/2.69min","112318.81","135117.34","124306.27","198283.47","263034.0","225452.8"
"91","544/86.0964mz/2.71min","500674.3","671661.3","601177.3","121018.05","57272.03","617945.9"
"92","545/132.1019mz/2.72min","1287601.0","1287098.6","902079.25","1335837.0","1683563.8","891305.9"
"93","549/193.1699mz/2.72min","552601.3","477543.4","314195.16","732141.0","626452.3","68266.87"
"94","550/241.1546mz/2.68min","504816.75","540234.25","811137.06","471346.84","482541.47","420732.2"
"95","554/185.1285mz/2.71min","743528.94","1033478.0","736033.4","829077.94","970122.8","1246214.5"
"96","556/193.0972mz/2.71min","303337.0","196848.6","261522.0","1638929.5","2121899.8","1922852.1"
"97","558/183.0917mz/2.72min","279630.25","480185.72","242923.64","358390.88","449647.34","333488.2"
"98","561/114.0914mz/2.73min","1785271.2","1766001.0","1707635.0","2437757.5","2598695.8","3177887.5"
"99","562/160.0969mz/2.73min","530751.1","618577.2","571005.9","751244.8","850894.1","963366.8"
"100","563/120.0444mz/2.73min","2382958.5","2415151.8","2231262.0","3228046.2","3306537.0","4356049.0"
