row ID,row m/z,row retention time,row ion mobility,row ion mobility unit,row CCS,correlation group ID,annotation network number,best ion,auto MS2 verify,identified by n=,partners,neutral M mass,NEG_D5-211-C1-b_Run95.mzML Peak area,NEG_D5-211-C1-a_Run92.mzML Peak area,NEG_D5-Ctrl-c-P-EAMeOH_Run35.mzML Peak area,NEG_D5-Ctrl-a-P-EAMeOH_Run29.mzML Peak area,NEG_D5-211-C1-c_Run98.mzML Peak area,NEG_D5-Ctrl-b-P-EAMeOH_Run32.mzML Peak area,Unnamed: 19
530,132.86783406992558,10.423715,,,,37.0,,,,,,,5864045.0,5964722.5,4769448.5,5175647.0,5679713.0,4993884.5,
287,132.90012492370695,7.9133296,,,,,,,,,,,526069.3,440065.88,207096.33,248538.84,510113.34,195887.75,
306,132.90013567928344,8.224803,,,,25.0,,,,,,,1195238.8,1163779.2,554880.06,185368.62,1305265.6,584894.44,
417,132.9001407233969,8.932780000000001,,,,,,,,,,,748148.9,683371.2,276682.56,354229.03,278377.94,92336.81,
379,132.90014184937846,8.728375999999999,,,,5.0,,,,,,,2690189.5,2278517.5,659736.94,468333.97,2706912.5,659861.7,
394,132.9234011006387,8.791945,,,,38.0,9.0,[2M-H2O+H]+,,2.0,406;394,74.96321999999999,18153306.0,17387604.0,15019782.0,17576664.0,19941430.0,15432818.0,
47,133.01418201112048,0.38615087,,,,27.0,,,,,,,12850389.0,8591213.0,7728688.5,6184486.5,10810378.0,5471281.0,
433,134.86503230892262,8.959263,,,,7.0,,,,,,,585287.75,385927.62,3645039.8,3402182.8,1313881.6,2286220.5,
363,134.86503655267987,8.611332,,,,8.0,,,,,,,2509635.8,2015652.1,219137.81,659744.4,2262075.8,1378044.9,
501,134.86513645543812,10.166858,,,,21.0,,,,,,,739063.7,396554.5,471201.84,477500.56,737552.7,671993.56,
529,134.86546850035248,10.422832000000001,,,,37.0,,,,,,,6060523.5,6167318.0,4781598.0,5224848.5,5913158.5,5058802.5,
418,134.89458905504884,8.920463,,,,,,,,,,,14542632.0,13123990.0,9301686.0,9159188.0,14901844.0,9147141.0,
291,134.89459006257962,7.910692699999999,,,,29.0,,,,,,,10859781.0,8840266.0,8913711.0,6695883.0,9851804.0,9364370.0,
372,134.89459455121724,8.714454,,,,5.0,,,,,,,53911420.0,41005510.0,13199780.0,35567868.0,54770108.0,13348032.0,
338,134.89459477387422,8.280978,,,,,,,,,,,11784553.0,11780427.0,6369324.0,11710992.0,7132846.0,12271997.0,
327,134.89459539229236,8.22392,,,,25.0,,,,,,,22828420.0,22900268.0,10436432.0,11392770.0,25080412.0,10811952.0,
373,135.9708740725205,8.701375,,,,22.0,,,,,,,1195625.4,961512.44,1577413.4,1608053.6,1136490.9,1865696.4,
429,135.9708769432502,8.959273,,,,4.0,,,,,,,1106058.9,855251.9,1895993.0,1715621.1,1176151.2,3004121.8,
528,136.8628783512386,10.421936,,,,37.0,,,,,,,1809073.0,1834341.4,1473447.9,1607167.6,1749537.0,1531360.4,
364,136.8630248884385,8.62165,,,,8.0,,,,,,,927513.6,876595.4,521354.3,332791.5,1057302.1,71675.54,
500,136.86304665298607,10.158252000000001,,,,21.0,,,,,,,291797.88,148142.52,187364.83,190411.97,277376.3,264013.94,
309,137.89169138154858,8.226554,,,,25.0,,,,,,,822997.75,799792.75,368588.9,121016.375,894199.06,293881.5,
342,137.89169758062846,8.28712,,,,,,,,,,,369755.25,399148.84,182324.73,359632.47,251274.75,429940.56,
288,137.89170216237213,7.9102745,,,,,,,,,,,309002.75,303904.28,84160.98,196492.28,357232.66,80424.09,
376,137.89170644053178,8.718816,,,,5.0,,,,,,,1537918.4,1453018.0,471612.97,414499.5,1906174.8,237012.53,
401,139.94444004821932,8.80503,,,,,,,,,,,3547659.0,3487148.5,2680945.2,1672026.0,3633543.0,2717828.0,
421,139.94445339000168,8.903544,,,,,,,,,,,1838680.8,605810.25,1604582.2,2609137.0,761905.9,1286217.6,
460,139.94446917308755,9.057586,,,,9.0,,,,,,,1923748.0,1833440.9,1388615.9,4645120.0,5014085.0,5572134.0,
470,139.94447677689732,9.137838,,,,,,,,,,,1803202.1,1811065.5,5522071.5,1727091.1,1889363.4,1689195.0,
393,142.92887667716704,8.791936,,,,38.0,,,,,,,5355599.5,4232426.0,3514142.2,3958321.5,4653090.0,3354581.2,
397,144.92336862210118,8.798036999999999,,,,38.0,,,,,,,97308210.0,93898424.0,89383070.0,83811496.0,100091630.0,84269500.0,
57,145.0141617919895,0.41546190000000005,,,,27.0,,,,,,,1052053.9,730329.2,288918.12,265139.53,900523.5,91957.61,
91,145.0506684285592,1.0212921,,,,,,,,,,,4269994.0,2379048.8,2754076.5,1848342.5,4233118.5,1668335.2,
13,145.061746624743,0.35234237,,,,,,,,,,,730961.7,348238.28,87901.72,269075.3,248154.69,316250.66,
58,146.0457875454649,0.3913227,,,,27.0,,,,,,,1885061.5,1042045.8,444703.5,192130.05,1002494.3,140113.66,
371,146.96585188268338,8.699639,,,,22.0,,,,,,,31723842.0,28661340.0,29935212.0,28447076.0,31344862.0,32079522.0,
208,146.96587848846627,7.3990974000000005,,,,,,,,,,,5262937.5,4148362.0,3482979.8,4995093.5,5335822.0,3503309.5,
330,150.88941703978102,8.2607565,,,,,,,,,,,2969967.0,231952.6,365984.5,291680.97,3047222.5,291918.4,
378,150.88942515976802,8.737099,,,,,,,,,,,591427.2,2020900.5,521475.66,270332.38,1911273.6,521990.28,
340,150.8894313730683,8.3330345,,,,,,,,,,,1121714.0,2878963.2,734873.44,664006.4,441007.38,715631.4,
423,150.88945938146838,8.905774000000001,,,,,,,,,,,777091.75,294031.72,193824.62,171467.58,331144.28,81968.27,
321,153.86848469522832,8.221326,,,,25.0,,,,,,,296316.7,330345.06,71993.53,48633.655999999995,421545.12,159731.47,
361,153.86848748718236,8.569238,,,,,,,,,,,2045358.1,1975573.8,266551.9,198906.92,1824996.4,306951.9,
520,153.86852204667582,10.339830000000001,,,,,,,,,,,189785.83,182571.45,51921.24,42485.742,199806.75,22938.632999999998,
53,155.00977696669966,0.39131713,,,,27.0,2.0,[2M-2H2O+Na]+,,2.0,53;45,84.02145,1302683.6,1386152.9,8800250.0,1996509.2,1235573.6,2295995.2,
61,156.06658504054883,0.39566877,,,,27.0,,,,,,,5785292.5,5470809.5,3517569.2,2305195.0,5269599.0,2737468.2,
80,156.06661232639192,0.5982050999999999,,,,,,,,,,,192905.2,395114.53,168190.12,65225.14,646111.25,89034.06,
93,156.06662165384182,2.0615284,,,,,,,,,,,3601795.0,3403819.0,2523212.8,1733748.8,3878752.5,1872108.8,
84,156.06662223712382,0.7555993000000001,,,,,,,,,,,94267.3,35845.164,185573.92,100225.945,117920.49,34808.562000000005,
87,156.06663673071446,0.8493649999999999,,,,,,,,,,,38186.684,25077.572,37021.863,31144.277000000002,137857.33,20728.283,
101,158.9784906208174,2.5955923,,,,,,,,,,,176115.94,92544.336,7671.427,3703.0503,73961.875,3427.2007,
1,158.97852806477658,0.31280658,,,,1.0,,,,,,,852738.4,821125.6,1029039.44,1074686.4,813614.8,1016967.6,
107,158.9785405320758,2.7847426,,,,,,,,,,,23125.457000000002,160425.06,48623.93,7764.289000000001,11381.333,3762.651,
532,160.84207415738652,10.44365,,,,3.0,,,,,,,6834076.0,7133488.0,2261991.2,2724201.2,6635699.0,2440695.8,
86,161.04552452125156,0.8123103,,,,,,,,,,,1444442.8,666398.75,1471221.2,795381.0,1866908.5,775255.8,
374,161.91353995996857,8.689109,,,,,,,,,,,3774826.5,1242787.0,949241.9,583853.3,3387833.0,966281.0,
226,161.9135456509194,7.770788700000001,,,,24.0,,,,,,,41815.03,34086.926,156548.1,111120.53,75202.38,152836.78,
310,161.91354589932106,8.217818,,,,,,,,,,,317515.56,357365.3,401190.78,398215.3,427488.78,396871.66,
360,161.91354682562806,8.571879,,,,,,,,,,,1598824.6,3037511.8,2973224.8,1006475.6,1621794.5,3055466.8,
533,162.83907237709897,10.44365,,,,3.0,,,,,,,6365640.0,6601231.0,2123792.2,2555224.5,6190346.5,2298828.2,
534,164.83599433983176,10.44365,,,,3.0,,,,,,,1935980.0,2008436.2,616885.0,757080.3,1872734.0,665122.94,
4,164.93489293662216,0.3244265,,,,,,,,,,,208449.81,201410.94,704333.7,610616.75,225804.89,557760.5,
113,165.05570341203077,3.0945456,,,,,,,,,,,651337.0,565591.1,796677.8,388517.22,880257.8,388555.75,
527,170.8707809229804,10.4276,,,,37.0,,,,,,,959728.56,1010963.1,366153.16,471408.38,946675.0,399911.5,
112,172.09801520447698,3.03516,,,,31.0,,,,,,,821937.2,620840.2,1366140.4,743560.4,792869.9,719284.5,
46,173.0090583478608,0.38610747,,,,27.0,,,,,,,4143105.2,4073797.2,4091736.8,3907252.8,4313782.0,4108047.0,
76,173.00908902431232,0.5870525,,,,20.0,,,,,,,2001582.6,1921685.9,2530315.5,2339143.5,2266392.2,2196779.0,
64,173.0929638464077,0.39741457,,,,,,,,,,,361323.03,814145.3,135845.81,128174.81,921163.3,149190.88,
