row ID,row m/z,row retention time,row ion mobility,row ion mobility unit,row CCS,correlation group ID,annotation network number,best ion,auto MS2 verify,identified by n=,partners,neutral M mass,2024_POS_Y-p12_1_Run94.mzML Peak area,2024_POS_Y-p12_3_Run132.mzML Peak area,2024_POS_Y-EV_1_CTRL_Run88.mzML Peak area,2024_POS_Y-EV_2_CTRL_Run117.mzML Peak area,2024_POS_Y-p12_2_Run111.mzML Peak area,2024_POS_Y-EV_3_CTRL_Run138.mzML Peak area,Unnamed: 19
1392,81.52053369844171,10.604207,,,,22.0,,,,,,,2281733.0,3044294.5,1298430.9,2048135.9,2573620.5,2801214.8,
81,86.05998650355076,0.37095523,,,,49.0,7.0,[M-H2O+NH4]+,,2.0,82;81,86.03671999999999,1563546.9,1626537.6,2535565.2,2146844.8,2037260.1,2376739.0,
304,86.09637507044299,0.75478894,,,,4.0,,,,,,,23612330.0,21721240.0,29222214.0,31438838.0,25366958.0,37559760.0,
14,86.99266657232144,0.31029752,,,,11.0,,,,,,,1814781.0,1873304.5,2191176.2,2075990.8,1997185.1,1898474.2,
82,87.0440061658164,0.37095523,,,,49.0,7.0,[M+H]+,,3.0,83;82;81,86.03671999999999,2854704.8,2817554.8,4662048.0,3150667.2,3115034.8,2122963.5,
15,88.99020207324703,0.31029752,,,,11.0,,,,,,,257780.84,250828.7,284126.22,257233.16,267346.9,230743.7,
1387,89.50666869107175,10.452221,,,,36.0,,,,,,,3768807.0,4366439.5,3121094.2,4038837.2,3254920.2,4362821.5,
1395,89.50668067795593,11.265476,,,,,,,,,,,770092.75,520005.0,824199.3,782090.94,1230905.6,3885134.8,
106,90.05489578661518,0.38234547,,,,49.0,,,,,,,2616167.0,1840547.0,1768891.8,3453285.0,2573547.8,2021661.2,
1263,90.97658111068563,9.970964,,,,,,,,,,,5808.286999999999,136609.73,415365.56,251695.27,83794.766,10318.33,
44,90.9765857250773,0.34410682,,,,71.0,,,,,,,678418.8,642808.9,665725.7,614941.9,639662.2,751666.2,
1327,90.97658688412993,10.276263,,,,60.0,,,,,,,117036.63,389519.38,1107538.2,677817.06,420237.9,282108.38,
489,92.0493797353562,2.8222609,,,,5.0,,,,,,,827007.0,814957.9,983452.44,1039924.25,762295.8,1323065.5,
307,92.11016320683548,0.7576406,,,,4.0,20.0,[M-H2O+H]+,,2.0,307;306,109.11306,3543085.8,3861039.0,3373048.2,3355009.5,3711958.2,2930042.2,
380,99.51213750977915,2.1349313,,,,,,,,,,,276522.53,193171.17,604648.75,148713.84,571821.2,371107.56,
1393,102.03376895822271,10.606003999999999,,,,22.0,,,,,,,5232850.0,5150702.5,2721007.0,3663893.2,4902166.5,5065212.0,
83,104.0705221615254,0.37095523,,,,49.0,7.0,[M+NH4]+,,2.0,83;82,86.03671999999999,13682008.0,13225419.0,25588516.0,21944868.0,15813860.0,12695111.0,
67,104.10690815645096,0.36200655,,,,49.0,,,,,,,9197225.0,7217378.0,11136255.0,9964729.0,9793694.0,8563206.0,
18,105.00321442752713,0.3111095,,,,11.0,,,,,,,3421127.8,3414002.2,3790231.0,3840637.2,3605488.8,3004909.2,
13,110.00862587962843,0.30945456,,,,11.0,,,,,,,604061.7,653175.2,692179.25,567547.2,664867.8,622955.7,
958,110.0199571862167,8.111171,,,,,,,,,,,490202.97,1727985.2,7271506.5,7289523.0,953697.6,928183.75,
1376,110.01996931582244,10.420407,,,,36.0,,,,,,,9977592.0,9255876.0,8090847.5,8484945.0,8791385.0,11015573.0,
1074,111.02014543985024,8.67796,,,,,,,,,,,31888.334,127851.0,2129466.5,532977.94,89810.37,114679.836,
1383,111.0201625653593,10.437377,,,,36.0,,,,,,,8269973.0,8346275.5,8019495.5,7834245.0,8013446.0,8275968.0,
1381,112.01787030404944,10.436082,,,,36.0,,,,,,,3217075.8,3183954.0,3091126.5,3062900.0,3177914.5,3176359.8,
1075,112.01787092617737,8.651994,,,,,,,,,,,6475.4873,18799.732,814643.44,32639.832000000002,15469.121000000001,41970.78,
952,112.01787110886221,8.101399,,,,,,,,,,,83315.445,128837.516,352391.4,525682.5,69507.62,83759.61,
379,112.0756190470759,2.1204447999999996,,,,,,,,,,,220602.9,179872.25,293251.7,386460.12,219157.52,334832.03,
1384,113.96361747897205,10.436716,,,,,,,,,,,430782.25,950718.75,280581.88,465841.53,915834.7,357756.75,
1,113.96364327523004,0.032254748,,,,,,,,,,,379274.38,438982.22,366060.0,381924.66,444012.9,402133.38,
434,114.09128145562346,2.4846728,,,,,,,,,,,1198316.5,1066260.9,1272100.5,1308511.4,1168753.9,2045529.2,
78,115.03651668515616,0.36932835,,,,49.0,,,,,,,927782.94,817110.25,940564.8,1076824.2,722143.25,1984607.1,
90,115.04790362177937,0.37258232,,,,49.0,,,,,,,3491380.8,4940258.0,3213370.5,3015107.5,3503909.2,3110078.0,
116,116.07054671285488,0.3839729,,,,49.0,,,,,,,63447770.0,49230456.0,59866676.0,62976950.0,58414064.0,96599704.0,
117,117.07389703759272,0.3839729,,,,49.0,,,,,,,2821222.5,2558925.2,1935351.0,2765347.8,2046685.6,4185785.5,
201,118.08619559627071,0.48209688,,,,77.0,,,,,,,31447072.0,26697692.0,34147224.0,58048256.0,54837216.0,68447420.0,
175,118.08619589871658,0.4306759,,,,49.0,,,,,,,55563410.0,46424508.0,58750940.0,16115295.0,23228612.0,25568578.0,
370,118.94255791984286,1.7692343000000001,,,,,,,,,,,247795.67,898549.44,1101445.1,983436.8,246573.81,52453.293,
367,118.94255799025007,1.6529008,,,,,,,,,,,907006.75,35517.504,114823.38,194549.9,636717.2,90882.95,
359,118.94256512261968,1.4809955,,,,,,,,,,,118827.02,64929.835999999996,104330.1,37864.28,291508.88,126871.375,
2,118.9425772591983,0.032254748,,,,0.0,,,,,,,2599784.8,2749416.0,2765334.0,2740714.2,2808483.2,2635529.5,
196,119.08956025336387,0.45989108,,,,77.0,,,,,,,360430.3,2152296.5,2729126.2,2796365.0,2594153.2,3001247.8,
141,119.08956326904377,0.40024364,,,,,,,,,,,810731.3,515824.4,744889.44,850849.4,744252.56,364465.06,
491,120.04438421271436,2.8233740000000003,,,,5.0,,,,,,,92834350.0,87078560.0,106981460.0,109321090.0,88537460.0,144984910.0,
152,120.06547233241359,0.39129475,,,,49.0,,,,,,,944263.6,2281646.5,1142717.9,1994891.5,1204726.6,1990415.8,
363,120.08073052741936,1.4646663999999998,,,,25.0,,,,,,,8666390.0,7340914.0,10021885.0,10843091.0,8788122.0,13674307.0,
492,121.04769212597401,2.8233740000000003,,,,5.0,,,,,,,6897388.0,6533478.0,8066635.0,8297497.5,6711447.5,10920018.0,
25,123.01380621154608,0.31192303,,,,11.0,,,,,,,451207.84,414441.34,479867.3,516081.0,432085.44,330723.8,
172,124.10002403741687,0.43146825,,,,49.0,,,,,,,1793475.0,2276076.5,577050.3,1899566.0,2154539.8,1330321.0,
71,126.0525048892265,0.36281994,,,,49.0,,,,,,,513501.8,363576.8,832221.25,776241.25,547013.25,610392.0,
315,127.03893874931887,0.7934982,,,,,,,,,,,477927.97,608213.25,1676050.9,1436435.9,608168.1,1906413.1,
21,128.01924126661817,0.3111095,,,,11.0,,,,,,,2454057.8,2540815.8,2667887.2,2437472.0,2562332.0,2193273.0,
234,129.018192332544,0.54080904,,,,77.0,,,,,,,7026099.5,7152215.0,5982573.5,5686520.5,6879818.5,7138178.5,
354,129.0545933691453,0.9880081000000001,,,,,,,,,,,664285.5,559436.56,615921.06,678306.0,622973.4,2079300.0,
174,130.0498425362989,0.40024352,,,,,,,,,,,2547393.0,1837980.1,2358760.0,2598814.5,2429529.2,3090671.5,
257,130.04985221756223,0.60132605,,,,20.0,,,,,,,5355052.0,5454331.5,8046560.0,8367043.0,9160968.0,11896864.0,
126,130.08623123745159,0.38478646,,,,49.0,,,,,,,3011559.8,3416463.5,3055945.0,3116207.2,1311618.8,2801525.0,
457,130.15900333865096,2.7072608,,,,,,,,,,,450446.9,466948.47,663148.06,553576.4,553509.2,803681.94,
951,131.5334608714378,8.0855,,,,,,,,,,,107222.03,42446.72,156622.83,57802.555,28847.596,65491.215,
1067,131.5334689628398,8.65352,,,,,,,,,,,0.0,6996.29,405537.44,14508.487,0.0,0.0,
1379,131.53348626452146,10.428569,,,,36.0,,,,,,,1010716.2,1003316.6,979353.8,834569.1,946670.94,1008744.6,
306,132.1018938751208,0.75754243,,,,4.0,20.0,[M+Na]+,,2.0,307;306,109.11306,103911450.0,91652800.0,119556216.0,128471530.0,104802700.0,150929250.0,
23,132.99817293279713,0.3111095,,,,11.0,,,,,,,1030698.56,1068177.4,1235512.4,1206333.5,1143308.2,941922.75,
34,133.09713775599658,0.33816433,,,,85.0,,,,,,,1000164.3,1123172.4,400826.47,468440.8,443970.47,109206.47,
305,133.10523159774638,0.75657266,,,,4.0,,,,,,,6632779.5,5794894.0,7534994.0,8171764.5,6635889.5,9457292.0,
176,134.04475964109454,0.40512455,,,,49.0,,,,,,,4839002.0,3752670.5,5838095.5,6570833.5,5333849.5,688998.6,
210,134.04476156800158,0.52138036,,,,,,,,,,,209606.89,532516.1,2319184.5,426053.38,1722952.9,3084767.0,
325,134.06100369920327,0.8170469,,,,,,,,,,,2781696.8,2960354.0,2788516.0,3017735.8,2863548.2,2090633.1,
6,136.95318381822563,0.033886928,,,,0.0,,,,,,,1071838.1,1103580.0,1148977.6,1040261.6,1144958.8,1047353.2,
80,138.05250978759344,0.37014174,,,,49.0,,,,,,,1896937.4,1751422.6,1670317.4,1975618.9,1630482.8,3638009.0,
460,138.05494198033006,2.7229958,,,,,,,,,,,266791.03,273026.38,330858.22,305869.62,300030.88,448197.47,
493,138.05497818896058,2.8233740000000003,,,,5.0,,,,,,,94899464.0,89109064.0,110393250.0,112155530.0,90423940.0,141496660.0,
233,139.00256501413344,0.540008,,,,77.0,,,,,,,1039518.94,960344.3,1185512.4,1190062.2,1001245.44,1050572.2,
490,139.05827440455172,2.8225523999999997,,,,5.0,,,,,,,7291959.5,6850121.5,8287646.0,8772204.0,7033746.5,11028493.0,
308,139.11905376092304,0.7586031,,,,4.0,,,,,,,16363533.0,17422658.0,15964569.0,16352605.0,17024134.0,14125780.0,
1076,139.9878768589588,8.69608,,,,,,,,,,,16903.264,242153.64,1084345.1,255405.67,113779.02,16030.936000000002,
968,139.9878833712244,8.1717005,,,,,,,,,,,4517.165,47720.184,158370.67,93052.234,6543.5586,6405.865,
1385,139.98790067476298,10.433235,,,,,,,,,,,684856.94,786594.6,796935.8,649411.6,455687.8,684689.5,
184,140.06818442574112,0.41278279999999995,,,,49.0,,,,,,,1151236.8,70828.42,1085478.1,1175870.1,1085465.8,1793605.0,
421,140.14335948038868,2.3874705,,,,38.0,,,,,,,406287.2,394644.03,566729.56,537074.44,411970.6,619012.6,
181,141.03390788927686,0.40837917,,,,,,,,,,,451814.66,554627.7,379388.66,145289.2,579495.3,252839.28,
339,141.03391393619202,0.8807879999999999,,,,21.0,,,,,,,3151244.5,3484900.8,3291563.0,3235098.8,3158446.5,2657339.2,
243,141.03391475075918,0.55591774,,,,,,,,,,,1845624.6,1725803.8,1474355.9,1782978.9,1709735.9,1073929.1,
179,141.04692652174188,0.4043114,,,,49.0,,,,,,,5162375.5,6041657.5,1941864.9,5081589.5,5901423.5,4984005.5,
1388,141.95858381219557,10.429872,,,,,,,,,,,184225.7,123468.56,322621.7,184082.25,89241.87,644538.75,
8,141.95858944302225,0.30622643,,,,,,,,,,,530128.6,297563.16,597979.8,504540.72,561364.8,520089.34,
3,141.9586174426644,0.033054452000000005,,,,0.0,,,,,,,3869949.0,3872826.0,3871553.0,3752142.0,3967633.8,3709670.5,
36,142.9480548069323,0.33757854,,,,71.0,1.0,[M+H]+,,1.0,40,141.94077,398932.97,366152.9,404180.75,404963.47,403884.38,449482.75,
1062,144.98217770972062,8.643985,,,,81.0,,,,,,,29399394.0,31534982.0,38669720.0,34776324.0,30186432.0,28158360.0,
1297,144.9821887406581,10.167182,,,,,,,,,,,6274133.5,6067975.5,7703780.0,6014458.5,7417950.0,4794500.5,
24,146.02984279040462,0.31192303,,,,11.0,,,,,,,277811.88,282959.7,299095.38,256810.48,256719.94,222331.88,
