"MetaboAnalyst_ID","POS_D5.Ctrl.a.P.EAMeOH_Run28.mzML","POS_D5.Ctrl.b.P.EAMeOH_Run31.mzML","POS_D5.Ctrl.c.P.EAMeOH_Run34.mzML","POS_D5.211.C1.a_Run91.mzML","POS_D5.211.C1.b_Run94.mzML","POS_D5.211.C1.c_Run97.mzML","shared_name"
"192/158.0812mz/2.06min",2.60828061357554,2.63403749968914,2.75196449835608,2.89506941616916,2.91427692714547,2.9261169814694,"192"
"194/380.1481mz/2.09min",2.2049321475476,2.20978667806982,2.2342522758606,2.19066346091742,2.19292564036531,2.10449228304314,"194"
"195/205.0972mz/2.24min",2.37157543674152,2.38427386805334,2.71083165829771,2.02245682040867,1.86683317812398,2.03800890076206,"195"
"196/188.0706mz/2.24min",2.51915554949862,2.54459900638964,2.86286861250861,2.17031118436459,2.06621314636314,2.19878496728484,"196"
"198/217.1046mz/2.24min",2.22714521275213,2.1953124652674,2.23347816361856,2.14001384905954,2.12367483572469,2.03186915545528,"198"
"201/206.0448mz/2.3min",2.02030543915289,2.05497716914263,2.13934862567909,1.98294918951657,1.99355431782196,2.08660305323138,"201"
"203/190.0498mz/2.43min",2.12807280941592,2.1275358762598,2.26958829442057,2.10634526887635,2.14847854722779,2.17247288483853,"203"
"208/232.1159mz/2.61min",2.59255575622727,2.5592564922076,2.70057493450595,2.44193472503635,2.56999385346792,2.47671376005268,"208"
"210/214.0862mz/2.61min",2.45887365832708,2.43899144978541,2.58153313983901,2.29107087655135,2.42979868639762,2.32617575300784,"210"
"211/158.0964mz/2.61min",2.56070217147991,2.54263351513232,2.68376046776286,2.40199362085159,2.53816575914102,2.43950116893601,"211"
"212/231.1128mz/2.61min",3.43368936109503,3.40072820600634,3.54221603122505,3.28552390212339,3.41220888212858,3.31645610102423,"212"
"213/130.1591mz/2.64min",2.78604571347441,2.75009688994338,2.85821018179113,2.83715976996409,2.93794460852797,2.93914875036627,"213"
"214/158.0964mz/2.73min",2.31567581172926,2.27481223187745,2.4291868081165,2.13952865274536,2.26382103102692,2.18333643112568,"214"
