"","filter","POS_D5-Ctrl-a-P-EAMeOH_Run28.mzML","POS_D5-Ctrl-b-P-EAMeOH_Run31.mzML","POS_D5-Ctrl-c-P-EAMeOH_Run34.mzML","POS_D5-211-C1-a_Run91.mzML","POS_D5-211-C1-b_Run94.mzML","POS_D5-211-C1-c_Run97.mzML"
"187/140.0682mz/2.02min",77394.52,56098.25,66494.78,64886.594,124058.69,88294.26,97910.72
"188/216.1958mz/2.05min",247811.005,123451.92,854342,682929.5,247709.2,143013.4,247912.81
"190/159.0845mz/2.06min",418279.89,221095.39,244161.97,329342.25,507217.53,532584.5,582058.3
"191/112.0757mz/2.06min",70572.6175,3592.8801,25713.598,38588.535,103774.28,102556.7,117628.266
"192/158.0812mz/2.06min",5818025.75,3258711.5,3564773,4621429.5,7014622,7403879.5,8072075.5
"194/380.1481mz/2.09min",1363781,1287352.4,1342088.2,1403020.8,1385473.8,1406397.4,1217196
"195/205.0972mz/2.24min",1466948.95,1889473.2,2005710.5,4203814,940571.2,663766.9,1044424.7
"196/188.0706mz/2.24min",2083237.45,2654121.8,2901305,5965961.5,1322044.4,1050498.8,1512353.1
"197/118.065mz/2.24min",11242.128,18736.88,27449.295,91962.84,3747.376,3747.376,3747.376
"198/217.1046mz/2.24min",1265527.65,1354910.2,1298096.1,1400522.2,1232959.2,1199105.1,1029763.25
"201/206.0448mz/2.3min",914162,841532.2,939661.75,1127614,858784.2,888662.25,1168076.5
"202/261.1443mz/2.42min",347044.22,347879.97,417489.34,571921.5,293257.1,286627.8,346208.47
"203/190.0498mz/2.43min",1205284.05,1078544.6,1110529.9,1521949.1,1140985.5,1269582.6,1423446.4
"204/114.0913mz/2.47min",335103.375,446847.9,425655.5,710169.8,244551.25,166940.23,232305.72
"207/82.5371mz/2.62min",390358.545,369712.12,411004.97,439768.28,186919.88,2432424,287287.25
"208/232.1159mz/2.61min",3071863.35,3142831.2,3000895.5,4105695.8,2470982,3351014.2,2868018.8
"209/188.0705mz/2.61min",440440.55,441238,439643.1,613662.3,321849.44,448910.78,387417.06
"210/214.0862mz/2.61min",2292583.35,2310143.5,2275023.2,3121368,1745845.2,2426504.5,2027888.1
"211/158.0964mz/2.61min",2904386.6,2920569,2888204.2,3949774.5,2253868,3114212,2632506.2
"212/231.1128mz/2.61min",21315753,21799908,20831598,28512012,17236884,23301898,19830074
"213/130.1591mz/2.64min",6020633.75,4906943,4656839.5,5902310,6138957.5,7818564.5,8317963
"214/158.0964mz/2.73min",1607320.65,1661273.4,1558858.2,2197853,1231582.5,1655783.1,1459501.9
"215/214.0862mz/2.73min",1162995.5,1191871.6,1134119.4,1627504.1,894015.6,1204669.6,1037984.3
