"","Filename","POS_D5-Ctrl-a-P-EAMeOH_Run28.mzML","POS_D5-Ctrl-b-P-EAMeOH_Run31.mzML","POS_D5-Ctrl-c-P-EAMeOH_Run34.mzML","POS_D5-211-C1-a_Run91.mzML","POS_D5-211-C1-b_Run94.mzML","POS_D5-211-C1-c_Run97.mzML"
"1","Class","CTRL","CTRL","CTRL","EXP","EXP","EXP"
"2","187/140.0682mz/2.02min","56098.25","66494.78","64886.594","124058.69","88294.26","97910.72"
"3","188/216.1958mz/2.05min","123451.92","854342.0","682929.5","247709.2","143013.4","247912.81"
"4","190/159.0845mz/2.06min","221095.39","244161.97","329342.25","507217.53","532584.5","582058.3"
"5","191/112.0757mz/2.06min","3592.8801","25713.598","38588.535","103774.28","102556.7","117628.266"
"6","192/158.0812mz/2.06min","3258711.5","3564773.0","4621429.5","7014622.0","7403879.5","8072075.5"
"7","194/380.1481mz/2.09min","1287352.4","1342088.2","1403020.8","1385473.8","1406397.4","1217196.0"
"8","195/205.0972mz/2.24min","1889473.2","2005710.5","4203814.0","940571.2","663766.9","1044424.7"
"9","196/188.0706mz/2.24min","2654121.8","2901305.0","5965961.5","1322044.4","1050498.8","1512353.1"
"10","197/118.065mz/2.24min","18736.88","27449.295","91962.84","0.0","0.0","0.0"
"11","198/217.1046mz/2.24min","1354910.2","1298096.1","1400522.2","1232959.2","1199105.1","1029763.25"
"12","201/206.0448mz/2.3min","841532.2","939661.75","1127614.0","858784.2","888662.25","1168076.5"
"13","202/261.1443mz/2.42min","347879.97","417489.34","571921.5","293257.1","286627.8","346208.47"
"14","203/190.0498mz/2.43min","1078544.6","1110529.9","1521949.1","1140985.5","1269582.6","1423446.4"
"15","204/114.0913mz/2.47min","446847.9","425655.5","710169.8","244551.25","166940.23","232305.72"
"16","207/82.5371mz/2.62min","369712.12","411004.97","439768.28","186919.88","2432424.0","287287.25"
"17","208/232.1159mz/2.61min","3142831.2","3000895.5","4105695.8","2470982.0","3351014.2","2868018.8"
"18","209/188.0705mz/2.61min","441238.0","439643.1","613662.3","321849.44","448910.78","387417.06"
"19","210/214.0862mz/2.61min","2310143.5","2275023.2","3121368.0","1745845.2","2426504.5","2027888.1"
"20","211/158.0964mz/2.61min","2920569.0","2888204.2","3949774.5","2253868.0","3114212.0","2632506.2"
"21","212/231.1128mz/2.61min","21799908.0","20831598.0","28512012.0","17236884.0","23301898.0","19830074.0"
"22","213/130.1591mz/2.64min","4906943.0","4656839.5","5902310.0","6138957.5","7818564.5","8317963.0"
"23","214/158.0964mz/2.73min","1661273.4","1558858.2","2197853.0","1231582.5","1655783.1","1459501.9"
"24","215/214.0862mz/2.73min","1191871.6","1134119.4","1627504.1","894015.6","1204669.6","1037984.3"
"25","216/231.1127mz/2.73min","12102498.0","10989282.0","15640242.0","9405845.0","12783521.0","10946898.0"
"26","217/188.0705mz/2.73min","213001.58","202611.86","297273.78","159977.28","279114.44","198203.17"
"27","218/140.0682mz/2.75min","157618.16","225053.98","81816.42","87594.74","151411.06","30030.578"
"28","220/272.1853mz/2.77min","532850.94","390768.22","356902.2","236048.2","243722.8","325531.72"
"29","221/257.0993mz/2.8min","1258433.4","1022689.6","2232620.2","1340437.5","1684738.8","2094274.1"
"30","222/217.107mz/2.8min","506157.47","397873.1","885208.25","572197.44","709892.94","788804.5"
"31","223/92.0495mz/2.83min","58409.67","57984.383","52229.88","241193.3","424538.0","475777.72"
"32","224/120.0444mz/2.83min","2543060.2","2441997.0","2199576.0","8185471.5","13368967.0","15006147.0"
