CLUSTERID1	CLUSTERID2	ComponentIndex	Cosine	DeltaMZ
7215	7691	4	0.9669	-0.000
7073	7690	4	0.9709	0.000
7377	7691	4	0.9778	0.000
6258	6866	4	0.9124	-54.290
6864	8047	4	0.986	-26.020
7082	8041	4	0.9515	23.996
6877	7099	4	0.9506	1.003
7215	7326	4	0.9399	-29.977
7255	7691	4	0.953	-1.012
7098	8047	4	0.9925	-52.030
7093	7224	4	0.9761	1.007
7154	7463	4	0.9396	-23.998
7140	7341	4	0.9395	0.035
5468	7926	4	0.9591	-262.229
6830	7391	4	0.9703	0.003
4855	5697	4	0.9622	-4.031
6864	7407	4	0.9835	23.995
8047	8051	4	0.9838	50.017
7667	7950	4	0.9459	-24.665
4855	5259	4	0.9534	-2.016
6852	7060	4	0.9304	-1.004
7130	7408	4	0.9833	-5.042
5697	7668	4	0.9577	-234.198
7102	7510	4	0.9529	4.029
6864	8051	4	0.98	23.997
7130	8047	4	0.999	-27.027
6845	7431	4	0.981	-0.001
7120	7549	4	0.9639	0.000
5468	5697	4	0.9653	-26.016
7341	7425	4	0.9186	-0.036
6899	7224	4	0.9792	-0.000
6899	8051	4	0.9758	22.990
7431	8022	4	0.9575	0.507
7690	8022	4	0.9752	-0.506
7104	7668	4	0.9577	54.046
6830	7407	4	0.9758	-2.013
7120	7215	4	0.9789	0.000
7120	7255	4	0.9116	1.012
7123	7279	4	0.9669	-1.014
7093	7400	4	0.9756	1.007
6877	7690	4	0.9601	0.001
7668	8056	4	0.9613	-1.004
7549	7691	4	0.9788	0.000
7130	7224	4	0.9872	-0.000
7098	7400	4	0.9767	-25.003
7120	7377	4	0.972	0.000
6823	6853	4	0.9525	0.071
7123	7463	4	0.9702	-1.013
6857	7463	4	0.9358	-23.998
7279	7463	4	0.9813	0.001
7154	7265	4	0.9542	-0.077
7224	7408	4	0.975	-5.042
7275	8036	4	0.9455	-13.942
5468	7510	4	0.9602	-260.215
8056	8070	4	0.9889	-1.012
7082	8036	4	0.9801	0.001
7275	7425	4	0.936	-0.001
6857	7154	4	0.9799	0.000
7611	7668	4	0.9605	26.016
8036	8041	4	0.9333	23.995
7099	7296	4	0.9475	24.000
7098	7130	4	0.9912	-25.003
7275	7950	4	0.9518	-13.671
7275	7512	4	0.9456	11.999
