sample_name,filepath
POS_D5-227-C3-a_Run274.mzML,POS_D5-227-C3-a_Run274.mzML
POS_D5-227-C3-b_Run277.mzML,POS_D5-227-C3-b_Run277.mzML
POS_D5-227-C3-c_Run280.mzML,POS_D5-227-C3-c_Run280.mzML
Yeast_HE_D5-Ctrl_a_pos_20190515_Run37.mzML,Yeast_HE_D5-Ctrl_a_pos_20190515_Run37.mzML
Yeast_HE_D5-Ctrl_b_pos_20190515_Run40.mzML,Yeast_HE_D5-Ctrl_b_pos_20190515_Run40.mzML
Yeast_HE_D5-Ctrl_c_pos_20190515_Run43.mzML,Yeast_HE_D5-Ctrl_c_pos_20190515_Run43.mzML
2024_POS_Anid-p2_1_Run179.mzML,2024_POS_Anid-p2_1_Run179.mzML
2024_POS_Anid-p2_1_Run220.mzML,2024_POS_Anid-p2_1_Run220.mzML
2024_POS_Anid-p2_1_Run241.mzML,2024_POS_Anid-p2_1_Run241.mzML
2024_POS_Anid-EV-alcA_CTRL_1_Run176.mzML,2024_POS_Anid-EV-alcA_CTRL_1_Run176.mzML
2024_POS_Anid-EV-alcA_CTRL_2_Run197.mzML,2024_POS_Anid-EV-alcA_CTRL_2_Run197.mzML
2024_POS_Anid-EV-alcA_CTRL_3_Run229.mzML,2024_POS_Anid-EV-alcA_CTRL_3_Run229.mzML
