#SampleID	BarcodeSequence	LinkerPrimerSequence	filename	ATTRIBUTE_GNPSDefaultGroup
POS_D5-227-C3-a_Run274.mzML	GATACA	GATACA	POS_D5-227-C3-a_Run274.mzML	G1
POS_D5-227-C3-b_Run277.mzML	GATACA	GATACA	POS_D5-227-C3-b_Run277.mzML	G1
POS_D5-227-C3-c_Run280.mzML	GATACA	GATACA	POS_D5-227-C3-c_Run280.mzML	G1
Yeast_HE_D5-Ctrl_a_pos_20190515_Run37.mzML	GATACA	GATACA	Yeast_HE_D5-Ctrl_a_pos_20190515_Run37.mzML	G2
Yeast_HE_D5-Ctrl_b_pos_20190515_Run40.mzML	GATACA	GATACA	Yeast_HE_D5-Ctrl_b_pos_20190515_Run40.mzML	G2
Yeast_HE_D5-Ctrl_c_pos_20190515_Run43.mzML	GATACA	GATACA	Yeast_HE_D5-Ctrl_c_pos_20190515_Run43.mzML	G2
2024_POS_Anid-p2_1_Run179.mzML	GATACA	GATACA	2024_POS_Anid-p2_1_Run179.mzML	G3
2024_POS_Anid-p2_1_Run220.mzML	GATACA	GATACA	2024_POS_Anid-p2_1_Run220.mzML	G3
2024_POS_Anid-p2_1_Run241.mzML	GATACA	GATACA	2024_POS_Anid-p2_1_Run241.mzML	G3
2024_POS_Anid-EV-alcA_CTRL_1_Run176.mzML	GATACA	GATACA	2024_POS_Anid-EV-alcA_CTRL_1_Run176.mzML	G4
2024_POS_Anid-EV-alcA_CTRL_2_Run197.mzML	GATACA	GATACA	2024_POS_Anid-EV-alcA_CTRL_2_Run197.mzML	G4
2024_POS_Anid-EV-alcA_CTRL_3_Run229.mzML	GATACA	GATACA	2024_POS_Anid-EV-alcA_CTRL_3_Run229.mzML	G4
