#SampleID	BarcodeSequence	LinkerPrimerSequence	filename	ATTRIBUTE_GNPSDefaultGroup
2024_POS_Y-p11_1_Run97.mzML	GATACA	GATACA	2024_POS_Y-p11_1_Run97.mzML	G1
2024_POS_Y-p11_2_Run126.mzML	GATACA	GATACA	2024_POS_Y-p11_2_Run126.mzML	G1
2024_POS_Y-p11_3_Run150.mzML	GATACA	GATACA	2024_POS_Y-p11_3_Run150.mzML	G1
2024_POS_Y-EV_1_CTRL_Run88.mzML	GATACA	GATACA	2024_POS_Y-EV_1_CTRL_Run88.mzML	G2
2024_POS_Y-EV_2_CTRL_Run117.mzML	GATACA	GATACA	2024_POS_Y-EV_2_CTRL_Run117.mzML	G2
2024_POS_Y-EV_3_CTRL_Run138.mzML	GATACA	GATACA	2024_POS_Y-EV_3_CTRL_Run138.mzML	G2
POS_TJGIp2_1_Run37.mzML	GATACA	GATACA	POS_TJGIp2_1_Run37.mzML	G3
POS_TJGIp2_2_Run93.mzML	GATACA	GATACA	POS_TJGIp2_2_Run93.mzML	G3
POS_TJGIp2_3_Run161.mzML	GATACA	GATACA	POS_TJGIp2_3_Run161.mzML	G3
POS_TJGI15pt3_EV_alcA-Control_1_Run31.mzML	GATACA	GATACA	POS_TJGI15pt3_EV_alcA-Control_1_Run31.mzML	G4
POS_TJGI15pt3_EV_alcA-Control_2_Run114.mzML	GATACA	GATACA	POS_TJGI15pt3_EV_alcA-Control_2_Run114.mzML	G4
POS_TJGI15pt3_EV_alcA-Control_3_Run203.mzML	GATACA	GATACA	POS_TJGI15pt3_EV_alcA-Control_3_Run203.mzML	G4
POS_TJGIp8_1_Run19.mzML	GATACA	GATACA	POS_TJGIp8_1_Run19.mzML	G5
POS_TJGIp8_2_Run84.mzML	GATACA	GATACA	POS_TJGIp8_2_Run84.mzML	G5
POS_TJGIp8_3_Run206.mzML	GATACA	GATACA	POS_TJGIp8_3_Run206.mzML	G5
POS_TJGI2pt1_EV_gpdA_CTRL_1_Run13.mzML	GATACA	GATACA	POS_TJGI2pt1_EV_gpdA_CTRL_1_Run13.mzML	G6
POS_TJGI2pt1_EV_gpdA_CTRL_2_Run143.mzML	GATACA	GATACA	POS_TJGI2pt1_EV_gpdA_CTRL_2_Run143.mzML	G6
POS_TJGI2pt1_EV_gpdA_CTRL_3_Run194.mzML	GATACA	GATACA	POS_TJGI2pt1_EV_gpdA_CTRL_3_Run194.mzML	G6
