sample_name,filepath
2024_POS_Y-p11_1_Run97.mzML,2024_POS_Y-p11_1_Run97.mzML
2024_POS_Y-p11_2_Run126.mzML,2024_POS_Y-p11_2_Run126.mzML
2024_POS_Y-p11_3_Run150.mzML,2024_POS_Y-p11_3_Run150.mzML
2024_POS_Y-EV_1_CTRL_Run88.mzML,2024_POS_Y-EV_1_CTRL_Run88.mzML
2024_POS_Y-EV_2_CTRL_Run117.mzML,2024_POS_Y-EV_2_CTRL_Run117.mzML
2024_POS_Y-EV_3_CTRL_Run138.mzML,2024_POS_Y-EV_3_CTRL_Run138.mzML
POS_TJGIp2_1_Run37.mzML,POS_TJGIp2_1_Run37.mzML
POS_TJGIp2_2_Run93.mzML,POS_TJGIp2_2_Run93.mzML
POS_TJGIp2_3_Run161.mzML,POS_TJGIp2_3_Run161.mzML
POS_TJGI15pt3_EV_alcA-Control_1_Run31.mzML,POS_TJGI15pt3_EV_alcA-Control_1_Run31.mzML
POS_TJGI15pt3_EV_alcA-Control_2_Run114.mzML,POS_TJGI15pt3_EV_alcA-Control_2_Run114.mzML
POS_TJGI15pt3_EV_alcA-Control_3_Run203.mzML,POS_TJGI15pt3_EV_alcA-Control_3_Run203.mzML
POS_TJGIp8_1_Run19.mzML,POS_TJGIp8_1_Run19.mzML
POS_TJGIp8_2_Run84.mzML,POS_TJGIp8_2_Run84.mzML
POS_TJGIp8_3_Run206.mzML,POS_TJGIp8_3_Run206.mzML
POS_TJGI2pt1_EV_gpdA_CTRL_1_Run13.mzML,POS_TJGI2pt1_EV_gpdA_CTRL_1_Run13.mzML
POS_TJGI2pt1_EV_gpdA_CTRL_2_Run143.mzML,POS_TJGI2pt1_EV_gpdA_CTRL_2_Run143.mzML
POS_TJGI2pt1_EV_gpdA_CTRL_3_Run194.mzML,POS_TJGI2pt1_EV_gpdA_CTRL_3_Run194.mzML
