row ID,row m/z,row retention time,row ion mobility,row ion mobility unit,row CCS,correlation group ID,annotation network number,best ion,auto MS2 verify,identified by n=,partners,neutral M mass,POS_D5-211-C4-c_Run187.mzML Peak area,POS_D5-211-C4-b_Run184.mzML Peak area,Yeast_HE_D5-Ctrl_b_pos_20190515_Run40.mzML Peak area,Yeast_HE_D5-Ctrl_a_pos_20190515_Run37.mzML Peak area,Yeast_HE_D5-Ctrl_c_pos_20190515_Run43.mzML Peak area,POS_D5-211-C4-a_Run181.mzML Peak area,
565,80.94786647229753,10.181989,,,,,,,,,,,462853.88,478364.62,849612.6,930464.2,815978.7,437233.8,
375,80.94791117242912,7.785071,,,,43,,,,,,,229216.5,357906.75,878339.6,608120.56,868997.2,354765.06,
407,80.94791151383289,7.870995,,,,17,,,,,,,482820.3,449485.34,766733.0,554205.44,662708.0,499604.06,
283,80.94793090724083,7.3703094,,,,31,,,,,,,367083.84,390327.06,605250.75,453578.38,696817.56,350434.16,
656,81.52052473251953,10.483014,,,,3,,,,,,,3.1202588E7,3.1752428E7,2.7274882E7,2.9259034E7,2.7966768E7,3.0221124E7,
22,84.9598050289502,0.4312221,,,,,,,,,,,4302388.5,9902532.0,2980972.5,4149120.0,1.0379863E7,1551973.2,
34,89.05978739369756,2.738861,,,,,,,,,,,350682.2,480765.53,453200.8,1227202.5,361792.6,1349534.2,
600,89.5066736414736,10.326346,,,,2,,,,,,,1.6515385E7,1.6545495E7,1.144064E7,1.1433834E7,1.2806039E7,1.6385452E7,
624,90.50670393087421,10.36761,,,,2,,,,,,,4505494.5,4529682.0,4709399.5,4638022.0,4725757.5,4381909.0,
660,90.52590376254805,10.500298,,,,3,,,,,,,4.3891892E7,5.099283E7,4.0922364E7,4.135648E7,3.760239E7,5.1603344E7,
408,90.9767017394613,7.8718762,,,,17,41,[M-H2O+2H]+2,,2,408;406,197.94962,1023897.25,1174227.9,1133448.1,912886.9,1185922.0,1097780.9,
266,90.97672645152223,7.3703027,,,,31,33,[M-H2O+2H]+2,,2,266;265,197.94965,1564687.9,1651694.9,1378564.1,1160519.4,1555573.4,1605036.6,
626,91.5044060364679,10.368484,,,,2,,,,,,,1718537.8,1722242.6,1792999.4,1763337.5,1804893.0,1633968.0,
647,94.04511496479735,10.441511,,,,,,,,,,,4274946.0,5081892.5,4974401.0,4939875.0,4732135.5,5285492.5,
601,97.51442167253147,10.328021,,,,2,52,[M+NH4]+,,2,593;601,79.48076,1714690.6,1656329.0,1307722.9,1388868.0,1278102.9,1681960.9,
2,97.96884495492561,0.0340647,,,,0,,,,,,,391998.78,453267.75,110124.95,84880.164,114579.016,415927.72,
11,97.96885556448689,0.3190438,,,,5,,,,,,,251040.77,242933.84,158515.05,189730.44,188352.1,267287.12,
662,97.99137752535542,10.502512,,,,3,,,,,,,1.0371939E7,1.0171144E7,9588389.0,9013835.0,9387882.0,1.0574037E7,
596,98.51205619954162,10.325475,,,,2,,,,,,,3.0487026E7,3.2139104E7,2.3580524E7,2.2551964E7,2.2928398E7,3.2033502E7,
562,101.0709492610484,10.173526,,,,,,,,,,,2293156.2,2276102.8,2060736.9,2096919.2,2015990.6,2250648.0,
649,102.03388152692332,10.473569,,,,3,,,,,,,1.4852774E8,1.5039642E8,1.4028165E8,1.3853955E8,1.4515152E8,1.5238595E8,
659,102.53544837911646,10.48732,,,,3,,,,,,,1.2895136E7,1.3167226E7,1.2205041E7,1.1980027E7,1.2592613E7,1.3239199E7,
655,104.03023326990747,10.481202,,,,3,,,,,,,3816878.5,3787624.5,3615046.0,3202513.0,3703096.5,3823550.5,
138,105.03352699233348,5.6734166,,,,56,,,,,,,1455588.9,1725879.1,2467678.5,1846915.0,2597630.5,1609863.9,
604,109.02246399819894,10.328165,,,,2,51,[M+NH4]+,,2,594;604,90.98879,7852561.0,7801340.5,7381046.5,5669208.0,5644671.0,7944072.0,
639,109.52169478965436,10.377004,,,,2,,,,,,,5175831.0,5272156.0,5096003.0,4941068.0,5259094.5,5251185.5,
597,110.02007623162491,10.325475,,,,2,,,,,,,1.23401224E8,9.586967E7,9.046508E7,8.930242E7,9.133548E7,1.261676E8,
602,110.52174792539955,10.328082,,,,2,53,[M+Na]+,,2,603;602,87.5323,8329337.0,9278973.0,6168187.0,6615303.0,7821718.5,8741221.0,
632,111.0201922600151,10.371099,,,,2,60,[M+NH4]+,,2,632;614,92.98659,7.676316E7,7.7142104E7,7.939425E7,7.915511E7,8.0734264E7,7.56958E7,
