"","filter","POS_TJGI15pt3_EV_alcA-Control_1_Run31.mzML","POS_TJGI15pt3_EV_alcA-Control_2_Run114.mzML","POS_TJGI15pt3_EV_alcA-Control_3_Run203.mzML","POS_TJGIp4_1_Run43.mzML","POS_TJGIp4_2_Run108.mzML","POS_TJGIp4_3_Run188.mzML"
"212/158.0813mz/2.06min",119891.53,96805.695,137071.31,76734.2,102711.75,147879.14,167299.92
"215/254.1386mz/2.09min",343691.155,286896.9,349850.28,457142.88,304461.84,389269.22,337532.03
"216/220.118mz/2.11min",2466559.25,2242184.8,2411842.5,2951196.8,2153243.8,2845356,2521276
"217/242.0998mz/2.11min",706400,677451.94,679867.8,832747.56,632628.75,907416.5,732932.2
"218/232.1543mz/2.11min",3184066.25,2754381,2901140.5,3614448,2876529.5,3700322.8,3466992
"219/184.1697mz/2.16min",473522.21,712975.9,356551.06,556374.6,377514.75,516820.22,430224.2
"221/102.0914mz/2.15min",275793.535,537449.56,148235.6,496745.84,122356.84,403351.47,62969.6
"222/217.1047mz/2.21min",937574.875,554829.8,959562.75,1301841.9,506743.3,915587,1038632.56
"223/185.0785mz/2.16min",1269001.75,1107766.2,1033045.75,1262392.4,1275611.1,1676823.1,1685175.8
"224/241.1182mz/2.19min",429867.3,225913.67,400780.7,517053.34,377206.06,713324.44,458953.9
"225/195.1228mz/2.21min",301195.225,463643.88,305555.2,170739.58,296835.25,309686.66,198942.1
"226/171.1129mz/2.2min",639749.65,533909.75,970361.6,1228321.2,378392.12,642012.3,637487
"228/188.0706mz/2.21min",1269272.45,1326572.4,1438303.2,2124009,670427.6,1211972.5,1129611.1
"229/205.0973mz/2.2min",907682.65,876230.3,1074487.6,1723674,362750.9,939135,834998.75
"231/113.0597mz/2.22min",996634.78,893760.75,669370.4,1426653.4,916235.56,1327266.8,1077034
"232/245.1495mz/2.24min",110737.675,122205.57,126782.38,200704.08,99269.78,89425.21,64147.016
"233/231.1703mz/2.25min",1034856.43,793100.2,1004926.06,1261099.6,775179.44,1111253.8,1064786.8
"235/220.1193mz/2.3min",110978.885,112269.79,101928.87,124975.46,97045.05,117157.23,109687.98
"236/152.0707mz/2.34min",246644.055,196566.61,177837.22,283627.88,223459.11,306133.66,269829
"237/86.0965mz/2.35min",144351.59,27838.797,298194.7,82993.58,135147.45,350463.7,153555.73
"238/116.0706mz/2.35min",422516,299333.34,343098.7,413963.75,431068.25,671428.3,578243.8
"239/146.0601mz/2.35min",1711567.05,1554936.9,1747175.2,2389945,1445147.9,1756791.8,1675958.9
